MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N128,45,LaplacianOperator,OpenFOAM,64045.4,OpenFOAM,with Allocation,1.0
2DSquare,N128,46,LaplacianOperator,SerialExecutor,740453.0,NeoN,with Allocation,0.08649488893960859
2DSquare,N128,47,LaplacianOperator,SerialExecutor,585434.0,NeoN,No allocation,0.10939815589801755
2DSquare,N128,48,LaplacianOperator,GPUExecutor,592459.0,NeoN,with Allocation,0.10810098251524579
2DSquare,N128,49,LaplacianOperator,GPUExecutor,19129.5,NeoN,No allocation,3.347991322303249
2DSquare,N16,15,LaplacianOperator,OpenFOAM,2532.63,OpenFOAM,with Allocation,1.0
2DSquare,N16,16,LaplacianOperator,SerialExecutor,60950.0,NeoN,with Allocation,0.041552584085315834
2DSquare,N16,17,LaplacianOperator,SerialExecutor,10687.9,NeoN,No allocation,0.23696235930351148
2DSquare,N16,18,LaplacianOperator,GPUExecutor,584928.0,NeoN,with Allocation,0.004329814951583785
2DSquare,N16,19,LaplacianOperator,GPUExecutor,17546.9,NeoN,No allocation,0.14433489676239109
2DSquare,N256,95,LaplacianOperator,OpenFOAM,366334.0,OpenFOAM,with Allocation,1.0
2DSquare,N256,96,LaplacianOperator,SerialExecutor,2863880.0,NeoN,with Allocation,0.12791527577971143
2DSquare,N256,97,LaplacianOperator,SerialExecutor,2335600.0,NeoN,No allocation,0.15684791916424046
2DSquare,N256,98,LaplacianOperator,GPUExecutor,602060.0,NeoN,with Allocation,0.6084675945919011
2DSquare,N256,99,LaplacianOperator,GPUExecutor,24696.1,NeoN,No allocation,14.833678192103207
2DSquare,N32,65,LaplacianOperator,OpenFOAM,5851.23,OpenFOAM,with Allocation,1.0
2DSquare,N32,66,LaplacianOperator,SerialExecutor,94851.8,NeoN,with Allocation,0.0616881282168604
2DSquare,N32,67,LaplacianOperator,SerialExecutor,38321.2,NeoN,No allocation,0.1526891120319823
2DSquare,N32,68,LaplacianOperator,GPUExecutor,600557.0,NeoN,with Allocation,0.00974300524346565
2DSquare,N32,69,LaplacianOperator,GPUExecutor,18200.0,NeoN,No allocation,0.3214961538461538
2DSquare,N512,105,LaplacianOperator,OpenFOAM,1598170.0,OpenFOAM,with Allocation,1.0
2DSquare,N512,106,LaplacianOperator,SerialExecutor,11554800.0,NeoN,with Allocation,0.13831221656800638
2DSquare,N512,107,LaplacianOperator,SerialExecutor,9383750.0,NeoN,No allocation,0.1703125083255628
2DSquare,N512,108,LaplacianOperator,GPUExecutor,746103.0,NeoN,with Allocation,2.1420232863290996
2DSquare,N512,109,LaplacianOperator,GPUExecutor,47927.8,NeoN,No allocation,33.345365320336
2DSquare,N64,115,LaplacianOperator,OpenFOAM,15893.6,OpenFOAM,with Allocation,1.0
2DSquare,N64,116,LaplacianOperator,SerialExecutor,209407.0,NeoN,with Allocation,0.07589813139006815
2DSquare,N64,117,LaplacianOperator,SerialExecutor,147000.0,NeoN,No allocation,0.10811972789115647
2DSquare,N64,118,LaplacianOperator,GPUExecutor,608931.0,NeoN,with Allocation,0.02610082258909466
2DSquare,N64,119,LaplacianOperator,GPUExecutor,18198.5,NeoN,No allocation,0.8733467043987142
2DSquare,N8,25,LaplacianOperator,OpenFOAM,1736.88,OpenFOAM,with Allocation,1.0
2DSquare,N8,26,LaplacianOperator,SerialExecutor,54407.2,NeoN,with Allocation,0.03192371597876752
2DSquare,N8,27,LaplacianOperator,SerialExecutor,3817.04,NeoN,No allocation,0.4550332194580094
2DSquare,N8,28,LaplacianOperator,GPUExecutor,578914.0,NeoN,with Allocation,0.003000238377375569
2DSquare,N8,29,LaplacianOperator,GPUExecutor,17415.3,NeoN,No allocation,0.09973299340235312
3DCube,N128,75,LaplacianOperator,OpenFOAM,45562600.0,OpenFOAM,with Allocation,1.0
3DCube,N128,76,LaplacianOperator,SerialExecutor,197568000.0,NeoN,with Allocation,0.2306173064463881
3DCube,N128,77,LaplacianOperator,SerialExecutor,114728000.0,NeoN,No allocation,0.39713583432117705
3DCube,N128,78,LaplacianOperator,GPUExecutor,2315100.0,NeoN,with Allocation,19.68061854779491
3DCube,N128,79,LaplacianOperator,GPUExecutor,427662.0,NeoN,No allocation,106.53880868536368
3DCube,N16,85,LaplacianOperator,OpenFOAM,23654.5,OpenFOAM,with Allocation,1.0
3DCube,N16,86,LaplacianOperator,SerialExecutor,290570.0,NeoN,with Allocation,0.08140723405719792
3DCube,N16,87,LaplacianOperator,SerialExecutor,217652.0,NeoN,No allocation,0.10868037049969677
3DCube,N16,88,LaplacianOperator,GPUExecutor,594649.0,NeoN,with Allocation,0.03977892840986868
3DCube,N16,89,LaplacianOperator,GPUExecutor,18366.8,NeoN,No allocation,1.2878944617461943
3DCube,N32,55,LaplacianOperator,OpenFOAM,288929.0,OpenFOAM,with Allocation,1.0
3DCube,N32,56,LaplacianOperator,SerialExecutor,2120290.0,NeoN,with Allocation,0.13626862363167302
3DCube,N32,57,LaplacianOperator,SerialExecutor,1722470.0,NeoN,No allocation,0.16774109273311
3DCube,N32,58,LaplacianOperator,GPUExecutor,616877.0,NeoN,with Allocation,0.4683737600850737
3DCube,N32,59,LaplacianOperator,GPUExecutor,22526.6,NeoN,No allocation,12.82612555822894
3DCube,N64,5,LaplacianOperator,OpenFOAM,2376740.0,OpenFOAM,with Allocation,1.0
3DCube,N64,6,LaplacianOperator,SerialExecutor,17273800.0,NeoN,with Allocation,0.13759219164283482
3DCube,N64,7,LaplacianOperator,SerialExecutor,13621400.0,NeoN,No allocation,0.1744857356806202
3DCube,N64,8,LaplacianOperator,GPUExecutor,714770.0,NeoN,with Allocation,3.325181526924745
3DCube,N64,9,LaplacianOperator,GPUExecutor,68255.4,NeoN,No allocation,34.82127421420137
3DCube,N8,35,LaplacianOperator,OpenFOAM,5205.53,OpenFOAM,with Allocation,1.0
3DCube,N8,36,LaplacianOperator,SerialExecutor,84817.5,NeoN,with Allocation,0.06137330150028001
3DCube,N8,37,LaplacianOperator,SerialExecutor,29856.2,NeoN,No allocation,0.17435340063370422
3DCube,N8,38,LaplacianOperator,GPUExecutor,694070.0,NeoN,with Allocation,0.007500007203884334
3DCube,N8,39,LaplacianOperator,GPUExecutor,18033.0,NeoN,No allocation,0.288666888482227
