MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N128,36,advection–diffusion-equation_scalar,OpenFOAM,242309.0,OpenFOAM,explicit-time-integration,1.0
2DSquare,N128,37,advection–diffusion-equation_scalar,OpenFOAM,290835.0,OpenFOAM,implicit-time-integration,0.8331493802327781
2DSquare,N128,38,advection–diffusion-equation_scalar,SerialExecutor,281488.0,NeoN,explicit-time-integration,0.8608146706076281
2DSquare,N128,39,advection–diffusion-equation_scalar,SerialExecutor,1119580.0,NeoN,implicit-time-integration,0.21642848210936244
2DSquare,N16,0,advection–diffusion-equation_scalar,OpenFOAM,8458.92,OpenFOAM,explicit-time-integration,1.0
2DSquare,N16,1,advection–diffusion-equation_scalar,OpenFOAM,7389.86,OpenFOAM,implicit-time-integration,1.1446657988108029
2DSquare,N16,2,advection–diffusion-equation_scalar,SerialExecutor,73331.3,NeoN,explicit-time-integration,0.11535210749025314
2DSquare,N16,3,advection–diffusion-equation_scalar,SerialExecutor,68282.9,NeoN,implicit-time-integration,0.12388050302491548
2DSquare,N256,28,advection–diffusion-equation_scalar,OpenFOAM,1014600.0,OpenFOAM,explicit-time-integration,1.0
2DSquare,N256,29,advection–diffusion-equation_scalar,OpenFOAM,1406510.0,OpenFOAM,implicit-time-integration,0.7213599618914903
2DSquare,N256,30,advection–diffusion-equation_scalar,SerialExecutor,1073460.0,NeoN,explicit-time-integration,0.9451679615449109
2DSquare,N256,31,advection–diffusion-equation_scalar,SerialExecutor,4471650.0,NeoN,implicit-time-integration,0.22689611217335884
2DSquare,N32,16,advection–diffusion-equation_scalar,OpenFOAM,16525.2,OpenFOAM,explicit-time-integration,1.0
2DSquare,N32,17,advection–diffusion-equation_scalar,OpenFOAM,15911.9,OpenFOAM,implicit-time-integration,1.0385434800369535
2DSquare,N32,18,advection–diffusion-equation_scalar,SerialExecutor,48719.6,NeoN,explicit-time-integration,0.33918997692920305
2DSquare,N32,19,advection–diffusion-equation_scalar,SerialExecutor,114877.0,NeoN,implicit-time-integration,0.14385124959739548
2DSquare,N512,40,advection–diffusion-equation_scalar,OpenFOAM,4823500.0,OpenFOAM,explicit-time-integration,1.0
2DSquare,N512,41,advection–diffusion-equation_scalar,OpenFOAM,6778600.0,OpenFOAM,implicit-time-integration,0.7115776118962618
2DSquare,N512,42,advection–diffusion-equation_scalar,SerialExecutor,4227010.0,NeoN,explicit-time-integration,1.141113931597039
2DSquare,N512,43,advection–diffusion-equation_scalar,SerialExecutor,18678900.0,NeoN,implicit-time-integration,0.25823255116735994
2DSquare,N64,32,advection–diffusion-equation_scalar,OpenFOAM,65057.8,OpenFOAM,explicit-time-integration,1.0
2DSquare,N64,33,advection–diffusion-equation_scalar,OpenFOAM,54453.8,OpenFOAM,implicit-time-integration,1.1947338845039281
2DSquare,N64,34,advection–diffusion-equation_scalar,SerialExecutor,67821.1,NeoN,explicit-time-integration,0.9592560427359627
2DSquare,N64,35,advection–diffusion-equation_scalar,SerialExecutor,294657.0,NeoN,implicit-time-integration,0.22079163230467969
2DSquare,N8,4,advection–diffusion-equation_scalar,OpenFOAM,6007.67,OpenFOAM,explicit-time-integration,1.0
2DSquare,N8,5,advection–diffusion-equation_scalar,OpenFOAM,4680.46,OpenFOAM,implicit-time-integration,1.2835640086658149
2DSquare,N8,6,advection–diffusion-equation_scalar,SerialExecutor,41524.8,NeoN,explicit-time-integration,0.14467667514352867
2DSquare,N8,7,advection–diffusion-equation_scalar,SerialExecutor,57406.5,NeoN,implicit-time-integration,0.10465138965099771
3DCube,N128,20,advection–diffusion-equation_scalar,OpenFOAM,79700900.0,OpenFOAM,explicit-time-integration,1.0
3DCube,N128,21,advection–diffusion-equation_scalar,OpenFOAM,150137000.0,OpenFOAM,implicit-time-integration,0.5308544862359046
3DCube,N128,22,advection–diffusion-equation_scalar,SerialExecutor,119665000.0,NeoN,explicit-time-integration,0.6660335102160198
3DCube,N128,23,advection–diffusion-equation_scalar,SerialExecutor,305017000.0,NeoN,implicit-time-integration,0.2612998619749063
3DCube,N16,8,advection–diffusion-equation_scalar,OpenFOAM,68745.5,OpenFOAM,explicit-time-integration,1.0
3DCube,N16,9,advection–diffusion-equation_scalar,OpenFOAM,78278.0,OpenFOAM,implicit-time-integration,0.8782224890773909
3DCube,N16,10,advection–diffusion-equation_scalar,SerialExecutor,78072.0,NeoN,explicit-time-integration,0.8805397581719439
3DCube,N16,11,advection–diffusion-equation_scalar,SerialExecutor,433331.0,NeoN,implicit-time-integration,0.15864431577708496
3DCube,N32,24,advection–diffusion-equation_scalar,OpenFOAM,706904.0,OpenFOAM,explicit-time-integration,1.0
3DCube,N32,25,advection–diffusion-equation_scalar,OpenFOAM,952031.0,OpenFOAM,implicit-time-integration,0.7425220397234964
3DCube,N32,26,advection–diffusion-equation_scalar,SerialExecutor,786709.0,NeoN,explicit-time-integration,0.898558425033907
3DCube,N32,27,advection–diffusion-equation_scalar,SerialExecutor,3357490.0,NeoN,implicit-time-integration,0.21054537764818362
3DCube,N64,44,advection–diffusion-equation_scalar,OpenFOAM,6519230.0,OpenFOAM,explicit-time-integration,1.0
3DCube,N64,45,advection–diffusion-equation_scalar,OpenFOAM,10783200.0,OpenFOAM,implicit-time-integration,0.604572854069293
3DCube,N64,46,advection–diffusion-equation_scalar,SerialExecutor,7299750.0,NeoN,explicit-time-integration,0.89307579026679
3DCube,N64,47,advection–diffusion-equation_scalar,SerialExecutor,28603500.0,NeoN,implicit-time-integration,0.22791721292848777
3DCube,N8,12,advection–diffusion-equation_scalar,OpenFOAM,16052.2,OpenFOAM,explicit-time-integration,1.0
3DCube,N8,13,advection–diffusion-equation_scalar,OpenFOAM,14469.9,OpenFOAM,implicit-time-integration,1.1093511358060526
3DCube,N8,14,advection–diffusion-equation_scalar,SerialExecutor,47828.5,NeoN,explicit-time-integration,0.33561997553759787
3DCube,N8,15,advection–diffusion-equation_scalar,SerialExecutor,103400.0,NeoN,implicit-time-integration,0.15524371373307544
