MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N128,16,advection–diffusion-equation_scalar,OpenFOAM,198597.0,OpenFOAM,explicit-time-integration,1.0
2DSquare,N128,17,advection–diffusion-equation_scalar,OpenFOAM,270265.0,OpenFOAM,implicit-time-integration,0.7348232290529665
2DSquare,N128,18,advection–diffusion-equation_scalar,SerialExecutor,379582.0,NeoN,explicit-time-integration,0.5231992033341939
2DSquare,N128,19,advection–diffusion-equation_scalar,SerialExecutor,1333330.0,NeoN,implicit-time-integration,0.1489481223703059
2DSquare,N16,4,advection–diffusion-equation_scalar,OpenFOAM,8888.1,OpenFOAM,explicit-time-integration,1.0
2DSquare,N16,5,advection–diffusion-equation_scalar,OpenFOAM,8258.89,OpenFOAM,implicit-time-integration,1.0761857828352237
2DSquare,N16,6,advection–diffusion-equation_scalar,SerialExecutor,73413.1,NeoN,explicit-time-integration,0.1210696728513031
2DSquare,N16,7,advection–diffusion-equation_scalar,SerialExecutor,111957.0,NeoN,implicit-time-integration,0.07938851523352716
2DSquare,N256,36,advection–diffusion-equation_scalar,OpenFOAM,977212.0,OpenFOAM,explicit-time-integration,1.0
2DSquare,N256,37,advection–diffusion-equation_scalar,OpenFOAM,1439930.0,OpenFOAM,implicit-time-integration,0.6786524344933434
2DSquare,N256,38,advection–diffusion-equation_scalar,SerialExecutor,1502100.0,NeoN,explicit-time-integration,0.6505638772385327
2DSquare,N256,39,advection–diffusion-equation_scalar,SerialExecutor,5279240.0,NeoN,implicit-time-integration,0.1851046741576439
2DSquare,N32,24,advection–diffusion-equation_scalar,OpenFOAM,17228.3,OpenFOAM,explicit-time-integration,1.0
2DSquare,N32,25,advection–diffusion-equation_scalar,OpenFOAM,16294.2,OpenFOAM,implicit-time-integration,1.057327147083011
2DSquare,N32,26,advection–diffusion-equation_scalar,SerialExecutor,86349.8,NeoN,explicit-time-integration,0.19951754375806313
2DSquare,N32,27,advection–diffusion-equation_scalar,SerialExecutor,166998.0,NeoN,implicit-time-integration,0.10316470855938394
