MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N128,40,DivOperator,OpenFOAM,83686.4,OpenFOAM,with Allocation,1.0
2DSquare,N128,41,DivOperator,SerialExecutor,824169.0,NeoN,with Allocation,0.10154033942067706
2DSquare,N128,42,DivOperator,SerialExecutor,665955.0,NeoN,No allocation,0.1256637460489072
2DSquare,N128,43,DivOperator,GPUExecutor,907379.0,NeoN,with Allocation,0.09222871589490168
2DSquare,N128,44,DivOperator,GPUExecutor,296591.0,NeoN,No allocation,0.2821609556594772
2DSquare,N16,10,DivOperator,OpenFOAM,2188.95,OpenFOAM,with Allocation,1.0
2DSquare,N16,11,DivOperator,SerialExecutor,80215.5,NeoN,with Allocation,0.027288366961497463
2DSquare,N16,12,DivOperator,SerialExecutor,35084.5,NeoN,No allocation,0.062390799355840895
2DSquare,N16,13,DivOperator,GPUExecutor,910404.0,NeoN,with Allocation,0.00240437212490279
2DSquare,N16,14,DivOperator,GPUExecutor,287790.0,NeoN,No allocation,0.007606066923798603
2DSquare,N256,90,DivOperator,OpenFOAM,472591.0,OpenFOAM,with Allocation,1.0
2DSquare,N256,91,DivOperator,SerialExecutor,3166600.0,NeoN,with Allocation,0.14924240510326534
2DSquare,N256,92,DivOperator,SerialExecutor,2617450.0,NeoN,No allocation,0.180553974287952
2DSquare,N256,93,DivOperator,GPUExecutor,919917.0,NeoN,with Allocation,0.5137322171456773
2DSquare,N256,94,DivOperator,GPUExecutor,303997.0,NeoN,No allocation,1.554590999253282
2DSquare,N32,60,DivOperator,OpenFOAM,5055.76,OpenFOAM,with Allocation,1.0
2DSquare,N32,61,DivOperator,SerialExecutor,113382.0,NeoN,with Allocation,0.04459049937379831
2DSquare,N32,62,DivOperator,SerialExecutor,64870.2,NeoN,No allocation,0.07793655638490402
2DSquare,N32,63,DivOperator,GPUExecutor,926002.0,NeoN,with Allocation,0.005459772225113985
2DSquare,N32,64,DivOperator,GPUExecutor,292800.0,NeoN,No allocation,0.017266939890710382
2DSquare,N512,100,DivOperator,OpenFOAM,2172450.0,OpenFOAM,with Allocation,1.0
2DSquare,N512,101,DivOperator,SerialExecutor,12571100.0,NeoN,with Allocation,0.17281303943171242
2DSquare,N512,102,DivOperator,SerialExecutor,10367400.0,NeoN,No allocation,0.20954627003877538
2DSquare,N512,103,DivOperator,GPUExecutor,1077060.0,NeoN,with Allocation,2.0170185504985794
2DSquare,N512,104,DivOperator,GPUExecutor,332394.0,NeoN,No allocation,6.535767793642485
2DSquare,N64,110,DivOperator,OpenFOAM,20626.2,OpenFOAM,with Allocation,1.0
2DSquare,N64,111,DivOperator,SerialExecutor,239628.0,NeoN,with Allocation,0.08607591767239221
2DSquare,N64,112,DivOperator,SerialExecutor,185172.0,NeoN,No allocation,0.11138941092605793
2DSquare,N64,113,DivOperator,GPUExecutor,921779.0,NeoN,with Allocation,0.02237651324232815
2DSquare,N64,114,DivOperator,GPUExecutor,297616.0,NeoN,No allocation,0.06930474168055481
2DSquare,N8,20,DivOperator,OpenFOAM,1099.89,OpenFOAM,with Allocation,1.0
2DSquare,N8,21,DivOperator,SerialExecutor,69943.8,NeoN,with Allocation,0.015725339486845152
2DSquare,N8,22,DivOperator,SerialExecutor,27971.9,NeoN,No allocation,0.03932124739470683
2DSquare,N8,23,DivOperator,GPUExecutor,898008.0,NeoN,with Allocation,0.0012248109148248123
2DSquare,N8,24,DivOperator,GPUExecutor,291035.0,NeoN,No allocation,0.0037792361743432925
3DCube,N128,70,DivOperator,OpenFOAM,64386300.0,OpenFOAM,with Allocation,1.0
3DCube,N128,71,DivOperator,SerialExecutor,221140000.0,NeoN,with Allocation,0.29115628108890296
3DCube,N128,72,DivOperator,SerialExecutor,137139000.0,NeoN,No allocation,0.46949664209305886
3DCube,N128,73,DivOperator,GPUExecutor,2834440.0,NeoN,with Allocation,22.715703983855718
3DCube,N128,74,DivOperator,GPUExecutor,1007180.0,NeoN,No allocation,63.927301971842176
3DCube,N16,80,DivOperator,OpenFOAM,32217.5,OpenFOAM,with Allocation,1.0
3DCube,N16,81,DivOperator,SerialExecutor,337302.0,NeoN,with Allocation,0.0955152948989333
3DCube,N16,82,DivOperator,SerialExecutor,269835.0,NeoN,No allocation,0.1193970389311987
3DCube,N16,83,DivOperator,GPUExecutor,918938.0,NeoN,with Allocation,0.03505949258818332
3DCube,N16,84,DivOperator,GPUExecutor,298488.0,NeoN,No allocation,0.10793566240518881
3DCube,N32,50,DivOperator,OpenFOAM,309019.0,OpenFOAM,with Allocation,1.0
3DCube,N32,51,DivOperator,SerialExecutor,2369770.0,NeoN,with Allocation,0.13040041860602505
3DCube,N32,52,DivOperator,SerialExecutor,2002650.0,NeoN,No allocation,0.15430504581429605
3DCube,N32,53,DivOperator,GPUExecutor,928372.0,NeoN,with Allocation,0.3328611806474129
3DCube,N32,54,DivOperator,GPUExecutor,313469.0,NeoN,No allocation,0.9858040188982005
3DCube,N64,0,DivOperator,OpenFOAM,3237310.0,OpenFOAM,with Allocation,1.0
3DCube,N64,1,DivOperator,SerialExecutor,18963000.0,NeoN,with Allocation,0.1707171860992459
3DCube,N64,2,DivOperator,SerialExecutor,15501200.0,NeoN,No allocation,0.20884254122261503
3DCube,N64,3,DivOperator,GPUExecutor,1041590.0,NeoN,with Allocation,3.108046352211523
3DCube,N64,4,DivOperator,GPUExecutor,372778.0,NeoN,No allocation,8.684283943794966
3DCube,N8,30,DivOperator,OpenFOAM,4449.22,OpenFOAM,with Allocation,1.0
3DCube,N8,31,DivOperator,SerialExecutor,104015.0,NeoN,with Allocation,0.042774792097293665
3DCube,N8,32,DivOperator,SerialExecutor,57579.2,NeoN,No allocation,0.0772713063050546
3DCube,N8,33,DivOperator,GPUExecutor,1021770.0,NeoN,with Allocation,0.004354424185482056
3DCube,N8,34,DivOperator,GPUExecutor,291737.0,NeoN,No allocation,0.015250790952124688
