MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N128,45,LaplacianOperator,OpenFOAM,67791.6,OpenFOAM,with Allocation,1.0
2DSquare,N128,46,LaplacianOperator,SerialExecutor,741697.0,NeoN,with Allocation,0.09140066630982734
2DSquare,N128,47,LaplacianOperator,SerialExecutor,585339.0,NeoN,No allocation,0.11581596305730527
2DSquare,N128,48,LaplacianOperator,GPUExecutor,632322.0,NeoN,with Allocation,0.10721056676819722
2DSquare,N128,49,LaplacianOperator,GPUExecutor,20214.5,NeoN,No allocation,3.353612505874496
2DSquare,N16,15,LaplacianOperator,OpenFOAM,2522.0,OpenFOAM,with Allocation,1.0
2DSquare,N16,16,LaplacianOperator,SerialExecutor,61691.1,NeoN,with Allocation,0.040881099542721726
2DSquare,N16,17,LaplacianOperator,SerialExecutor,10726.5,NeoN,No allocation,0.23511863142684006
2DSquare,N16,18,LaplacianOperator,GPUExecutor,622351.0,NeoN,with Allocation,0.004052375588695125
2DSquare,N16,19,LaplacianOperator,GPUExecutor,18604.7,NeoN,No allocation,0.13555714416249656
2DSquare,N256,95,LaplacianOperator,OpenFOAM,380549.0,OpenFOAM,with Allocation,1.0
2DSquare,N256,96,LaplacianOperator,SerialExecutor,2880570.0,NeoN,with Allocation,0.13210892288678977
2DSquare,N256,97,LaplacianOperator,SerialExecutor,2326690.0,NeoN,No allocation,0.16355810185284675
2DSquare,N256,98,LaplacianOperator,GPUExecutor,632344.0,NeoN,with Allocation,0.6018069278747011
2DSquare,N256,99,LaplacianOperator,GPUExecutor,25361.2,NeoN,No allocation,15.005165370723782
2DSquare,N32,65,LaplacianOperator,OpenFOAM,5044.33,OpenFOAM,with Allocation,1.0
2DSquare,N32,66,LaplacianOperator,SerialExecutor,94336.2,NeoN,with Allocation,0.05347183795828113
2DSquare,N32,67,LaplacianOperator,SerialExecutor,38206.5,NeoN,No allocation,0.1320280580529491
2DSquare,N32,68,LaplacianOperator,GPUExecutor,625618.0,NeoN,with Allocation,0.008062955349750166
2DSquare,N32,69,LaplacianOperator,GPUExecutor,18984.7,NeoN,No allocation,0.26570501509109967
2DSquare,N512,105,LaplacianOperator,OpenFOAM,1609990.0,OpenFOAM,with Allocation,1.0
2DSquare,N512,106,LaplacianOperator,SerialExecutor,11644600.0,NeoN,with Allocation,0.1382606530065438
2DSquare,N512,107,LaplacianOperator,SerialExecutor,9347280.0,NeoN,No allocation,0.1722415504831352
2DSquare,N512,108,LaplacianOperator,GPUExecutor,773866.0,NeoN,with Allocation,2.080450620650087
2DSquare,N512,109,LaplacianOperator,GPUExecutor,48435.4,NeoN,No allocation,33.23994433823195
2DSquare,N64,115,LaplacianOperator,OpenFOAM,17855.9,OpenFOAM,with Allocation,1.0
2DSquare,N64,116,LaplacianOperator,SerialExecutor,213656.0,NeoN,with Allocation,0.08357312689557046
2DSquare,N64,117,LaplacianOperator,SerialExecutor,146979.0,NeoN,No allocation,0.12148606263479818
2DSquare,N64,118,LaplacianOperator,GPUExecutor,636379.0,NeoN,with Allocation,0.028058594013944522
2DSquare,N64,119,LaplacianOperator,GPUExecutor,19347.2,NeoN,No allocation,0.9229190787297387
2DSquare,N8,25,LaplacianOperator,OpenFOAM,1759.58,OpenFOAM,with Allocation,1.0
2DSquare,N8,26,LaplacianOperator,SerialExecutor,52908.8,NeoN,with Allocation,0.03325684952219668
2DSquare,N8,27,LaplacianOperator,SerialExecutor,3749.32,NeoN,No allocation,0.4693064342334076
2DSquare,N8,28,LaplacianOperator,GPUExecutor,609159.0,NeoN,with Allocation,0.002888539773687986
2DSquare,N8,29,LaplacianOperator,GPUExecutor,18569.7,NeoN,No allocation,0.09475543492894338
3DCube,N128,75,LaplacianOperator,OpenFOAM,45534700.0,OpenFOAM,with Allocation,1.0
3DCube,N128,76,LaplacianOperator,SerialExecutor,198250000.0,NeoN,with Allocation,0.22968322824716267
3DCube,N128,77,LaplacianOperator,SerialExecutor,114998000.0,NeoN,No allocation,0.395960799318249
3DCube,N128,78,LaplacianOperator,GPUExecutor,2367020.0,NeoN,with Allocation,19.237142060481112
3DCube,N128,79,LaplacianOperator,GPUExecutor,425869.0,NeoN,No allocation,106.92184685901063
3DCube,N16,85,LaplacianOperator,OpenFOAM,24708.7,OpenFOAM,with Allocation,1.0
3DCube,N16,86,LaplacianOperator,SerialExecutor,290223.0,NeoN,with Allocation,0.0851369464170655
3DCube,N16,87,LaplacianOperator,SerialExecutor,217198.0,NeoN,No allocation,0.11376117643808875
3DCube,N16,88,LaplacianOperator,GPUExecutor,626585.0,NeoN,with Allocation,0.0394339155900636
3DCube,N16,89,LaplacianOperator,GPUExecutor,19431.9,NeoN,No allocation,1.2715534764999818
3DCube,N32,55,LaplacianOperator,OpenFOAM,295539.0,OpenFOAM,with Allocation,1.0
3DCube,N32,56,LaplacianOperator,SerialExecutor,2129120.0,NeoN,with Allocation,0.13880805215300218
3DCube,N32,57,LaplacianOperator,SerialExecutor,1725250.0,NeoN,No allocation,0.17130213012606868
3DCube,N32,58,LaplacianOperator,GPUExecutor,639607.0,NeoN,with Allocation,0.46206342332088296
3DCube,N32,59,LaplacianOperator,GPUExecutor,23297.5,NeoN,No allocation,12.68543835175448
3DCube,N64,5,LaplacianOperator,OpenFOAM,2466830.0,OpenFOAM,with Allocation,1.0
3DCube,N64,6,LaplacianOperator,SerialExecutor,17384900.0,NeoN,with Allocation,0.14189497782558427
3DCube,N64,7,LaplacianOperator,SerialExecutor,13576000.0,NeoN,No allocation,0.1817052150854449
3DCube,N64,8,LaplacianOperator,GPUExecutor,744063.0,NeoN,with Allocation,3.3153509850644367
3DCube,N64,9,LaplacianOperator,GPUExecutor,68038.3,NeoN,No allocation,36.25649082942989
3DCube,N8,35,LaplacianOperator,OpenFOAM,5268.4,OpenFOAM,with Allocation,1.0
3DCube,N8,36,LaplacianOperator,SerialExecutor,84723.2,NeoN,with Allocation,0.062183675781840156
3DCube,N8,37,LaplacianOperator,SerialExecutor,29046.4,NeoN,No allocation,0.1813787595020381
3DCube,N8,38,LaplacianOperator,GPUExecutor,726975.0,NeoN,with Allocation,0.007247016747480999
3DCube,N8,39,LaplacianOperator,GPUExecutor,19124.9,NeoN,No allocation,0.27547333580829175
