MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N128,16,advection-diffusion-equation_scalar,OpenFOAM,195554.0,OpenFOAM,explicit-time-integration,1.0
2DSquare,N128,17,advection-diffusion-equation_scalar,OpenFOAM,263745.0,OpenFOAM,implicit-time-integration,0.7414510227682042
2DSquare,N128,18,advection-diffusion-equation_scalar,SerialExecutor,374624.0,NeoN,explicit-time-integration,0.5220007260613309
2DSquare,N128,19,advection-diffusion-equation_scalar,SerialExecutor,1339120.0,NeoN,implicit-time-integration,0.14603172232510903
2DSquare,N16,4,advection-diffusion-equation_scalar,OpenFOAM,8842.03,OpenFOAM,explicit-time-integration,1.0
2DSquare,N16,5,advection-diffusion-equation_scalar,OpenFOAM,9197.97,OpenFOAM,implicit-time-integration,0.9613023308403921
2DSquare,N16,6,advection-diffusion-equation_scalar,SerialExecutor,72860.9,NeoN,explicit-time-integration,0.12135493797084583
2DSquare,N16,7,advection-diffusion-equation_scalar,SerialExecutor,111630.0,NeoN,implicit-time-integration,0.07920836692645347
2DSquare,N256,36,advection-diffusion-equation_scalar,OpenFOAM,975199.0,OpenFOAM,explicit-time-integration,1.0
2DSquare,N256,37,advection-diffusion-equation_scalar,OpenFOAM,1449660.0,OpenFOAM,implicit-time-integration,0.6727087730916215
2DSquare,N256,38,advection-diffusion-equation_scalar,SerialExecutor,1498950.0,NeoN,explicit-time-integration,0.6505880783214917
2DSquare,N256,39,advection-diffusion-equation_scalar,SerialExecutor,5310720.0,NeoN,implicit-time-integration,0.18362839690286817
2DSquare,N32,24,advection-diffusion-equation_scalar,OpenFOAM,17253.2,OpenFOAM,explicit-time-integration,1.0
2DSquare,N32,25,advection-diffusion-equation_scalar,OpenFOAM,16229.3,OpenFOAM,implicit-time-integration,1.0630895972099845
2DSquare,N32,26,advection-diffusion-equation_scalar,SerialExecutor,87124.8,NeoN,explicit-time-integration,0.19802857510146366
2DSquare,N32,27,advection-diffusion-equation_scalar,SerialExecutor,168676.0,NeoN,implicit-time-integration,0.10228603950769523
2DSquare,N512,40,advection-diffusion-equation_scalar,OpenFOAM,4907600.0,OpenFOAM,explicit-time-integration,1.0
2DSquare,N512,41,advection-diffusion-equation_scalar,OpenFOAM,7107560.0,OpenFOAM,implicit-time-integration,0.6904760564807051
2DSquare,N512,42,advection-diffusion-equation_scalar,SerialExecutor,5832300.0,NeoN,explicit-time-integration,0.8414519143391115
2DSquare,N512,43,advection-diffusion-equation_scalar,SerialExecutor,21377000.0,NeoN,implicit-time-integration,0.22957384104411283
2DSquare,N64,44,advection-diffusion-equation_scalar,OpenFOAM,50497.9,OpenFOAM,explicit-time-integration,1.0
2DSquare,N64,45,advection-diffusion-equation_scalar,OpenFOAM,56591.8,OpenFOAM,implicit-time-integration,0.8923183217356578
2DSquare,N64,46,advection-diffusion-equation_scalar,SerialExecutor,127807.0,NeoN,explicit-time-integration,0.39511059644620405
2DSquare,N64,47,advection-diffusion-equation_scalar,SerialExecutor,386635.0,NeoN,implicit-time-integration,0.13060871364465193
2DSquare,N8,8,advection-diffusion-equation_scalar,OpenFOAM,5802.13,OpenFOAM,explicit-time-integration,1.0
2DSquare,N8,9,advection-diffusion-equation_scalar,OpenFOAM,4919.94,OpenFOAM,implicit-time-integration,1.1793090972654139
2DSquare,N8,10,advection-diffusion-equation_scalar,SerialExecutor,70767.4,NeoN,explicit-time-integration,0.08198874057828888
2DSquare,N8,11,advection-diffusion-equation_scalar,SerialExecutor,98721.6,NeoN,implicit-time-integration,0.05877264955187112
3DCube,N128,28,advection-diffusion-equation_scalar,OpenFOAM,89830300.0,OpenFOAM,explicit-time-integration,1.0
3DCube,N128,29,advection-diffusion-equation_scalar,OpenFOAM,169069000.0,OpenFOAM,implicit-time-integration,0.5313233058692013
3DCube,N128,30,advection-diffusion-equation_scalar,SerialExecutor,158949000.0,NeoN,explicit-time-integration,0.5651517153300745
3DCube,N128,31,advection-diffusion-equation_scalar,SerialExecutor,353733000.0,NeoN,implicit-time-integration,0.25394944774731226
3DCube,N16,32,advection-diffusion-equation_scalar,OpenFOAM,68912.5,OpenFOAM,explicit-time-integration,1.0
3DCube,N16,33,advection-diffusion-equation_scalar,OpenFOAM,79860.0,OpenFOAM,implicit-time-integration,0.862916353618833
3DCube,N16,34,advection-diffusion-equation_scalar,SerialExecutor,148399.0,NeoN,explicit-time-integration,0.4643730752902648
3DCube,N16,35,advection-diffusion-equation_scalar,SerialExecutor,535720.0,NeoN,implicit-time-integration,0.12863529455685807
3DCube,N32,20,advection-diffusion-equation_scalar,OpenFOAM,627382.0,OpenFOAM,explicit-time-integration,1.0
3DCube,N32,21,advection-diffusion-equation_scalar,OpenFOAM,916250.0,OpenFOAM,implicit-time-integration,0.6847279672578445
3DCube,N32,22,advection-diffusion-equation_scalar,SerialExecutor,1007780.0,NeoN,explicit-time-integration,0.6225386493083808
3DCube,N32,23,advection-diffusion-equation_scalar,SerialExecutor,3887290.0,NeoN,implicit-time-integration,0.16139315564313442
3DCube,N64,0,advection-diffusion-equation_scalar,OpenFOAM,6524980.0,OpenFOAM,explicit-time-integration,1.0
3DCube,N64,1,advection-diffusion-equation_scalar,OpenFOAM,11470600.0,OpenFOAM,implicit-time-integration,0.5688438268268443
3DCube,N64,2,advection-diffusion-equation_scalar,SerialExecutor,8533580.0,NeoN,explicit-time-integration,0.7646239913377504
3DCube,N64,3,advection-diffusion-equation_scalar,SerialExecutor,32194700.0,NeoN,implicit-time-integration,0.20267248957126482
3DCube,N8,12,advection-diffusion-equation_scalar,OpenFOAM,15236.5,OpenFOAM,explicit-time-integration,1.0
3DCube,N8,13,advection-diffusion-equation_scalar,OpenFOAM,15285.4,OpenFOAM,implicit-time-integration,0.99680086880291
3DCube,N8,14,advection-diffusion-equation_scalar,SerialExecutor,82658.6,NeoN,explicit-time-integration,0.1843304870878529
3DCube,N8,15,advection-diffusion-equation_scalar,SerialExecutor,151669.0,NeoN,implicit-time-integration,0.1004588940389928
