MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N128,36,advection–diffusion-equation_scalar,OpenFOAM,197575.0,OpenFOAM,explicit-time-integration,1.0
2DSquare,N128,37,advection–diffusion-equation_scalar,OpenFOAM,251935.0,OpenFOAM,implicit-time-integration,0.784230059340703
2DSquare,N128,38,advection–diffusion-equation_scalar,SerialExecutor,243887.0,NeoN,explicit-time-integration,0.8101087798857668
2DSquare,N128,39,advection–diffusion-equation_scalar,SerialExecutor,1105620.0,NeoN,implicit-time-integration,0.17870063855574247
2DSquare,N16,0,advection–diffusion-equation_scalar,OpenFOAM,8438.84,OpenFOAM,explicit-time-integration,1.0
2DSquare,N16,1,advection–diffusion-equation_scalar,OpenFOAM,7565.31,OpenFOAM,implicit-time-integration,1.115465195742144
2DSquare,N16,2,advection–diffusion-equation_scalar,SerialExecutor,42591.8,NeoN,explicit-time-integration,0.1981329739527327
2DSquare,N16,3,advection–diffusion-equation_scalar,SerialExecutor,68985.7,NeoN,implicit-time-integration,0.12232738089198197
2DSquare,N256,28,advection–diffusion-equation_scalar,OpenFOAM,987906.0,OpenFOAM,explicit-time-integration,1.0
2DSquare,N256,29,advection–diffusion-equation_scalar,OpenFOAM,1441810.0,OpenFOAM,implicit-time-integration,0.6851845943640286
2DSquare,N256,30,advection–diffusion-equation_scalar,SerialExecutor,1095810.0,NeoN,explicit-time-integration,0.9015303747912503
2DSquare,N256,31,advection–diffusion-equation_scalar,SerialExecutor,4547230.0,NeoN,implicit-time-integration,0.21725446040776472
2DSquare,N32,16,advection–diffusion-equation_scalar,OpenFOAM,16897.2,OpenFOAM,explicit-time-integration,1.0
2DSquare,N32,17,advection–diffusion-equation_scalar,OpenFOAM,15927.8,OpenFOAM,implicit-time-integration,1.0608621404085938
2DSquare,N32,18,advection–diffusion-equation_scalar,SerialExecutor,49563.7,NeoN,explicit-time-integration,0.3409188579545111
2DSquare,N32,19,advection–diffusion-equation_scalar,SerialExecutor,115553.0,NeoN,implicit-time-integration,0.14622900314141563
2DSquare,N512,40,advection–diffusion-equation_scalar,OpenFOAM,5395880.0,OpenFOAM,explicit-time-integration,1.0
2DSquare,N512,41,advection–diffusion-equation_scalar,OpenFOAM,6827470.0,OpenFOAM,implicit-time-integration,0.7903191079565344
2DSquare,N512,42,advection–diffusion-equation_scalar,SerialExecutor,4328760.0,NeoN,explicit-time-integration,1.2465186335116754
2DSquare,N512,43,advection–diffusion-equation_scalar,SerialExecutor,18955400.0,NeoN,implicit-time-integration,0.28466189054306423
2DSquare,N64,32,advection–diffusion-equation_scalar,OpenFOAM,51843.6,OpenFOAM,explicit-time-integration,1.0
2DSquare,N64,33,advection–diffusion-equation_scalar,OpenFOAM,56276.5,OpenFOAM,implicit-time-integration,0.9212299983119063
2DSquare,N64,34,advection–diffusion-equation_scalar,SerialExecutor,69007.5,NeoN,explicit-time-integration,0.7512748614281056
2DSquare,N64,35,advection–diffusion-equation_scalar,SerialExecutor,292910.0,NeoN,implicit-time-integration,0.17699498139360212
2DSquare,N8,4,advection–diffusion-equation_scalar,OpenFOAM,5948.32,OpenFOAM,explicit-time-integration,1.0
2DSquare,N8,5,advection–diffusion-equation_scalar,OpenFOAM,4694.82,OpenFOAM,implicit-time-integration,1.2669963917679485
2DSquare,N8,6,advection–diffusion-equation_scalar,SerialExecutor,40771.7,NeoN,explicit-time-integration,0.14589335249695254
2DSquare,N8,7,advection–diffusion-equation_scalar,SerialExecutor,56887.3,NeoN,implicit-time-integration,0.10456323291841939
3DCube,N128,20,advection–diffusion-equation_scalar,OpenFOAM,80215800.0,OpenFOAM,explicit-time-integration,1.0
3DCube,N128,21,advection–diffusion-equation_scalar,OpenFOAM,150811000.0,OpenFOAM,implicit-time-integration,0.5318962144671144
3DCube,N128,22,advection–diffusion-equation_scalar,SerialExecutor,122966000.0,NeoN,explicit-time-integration,0.652341297594457
3DCube,N128,23,advection–diffusion-equation_scalar,SerialExecutor,306634000.0,NeoN,implicit-time-integration,0.2616011270765799
3DCube,N16,8,advection–diffusion-equation_scalar,OpenFOAM,67392.5,OpenFOAM,explicit-time-integration,1.0
3DCube,N16,9,advection–diffusion-equation_scalar,OpenFOAM,77449.9,OpenFOAM,implicit-time-integration,0.8701431506044554
3DCube,N16,10,advection–diffusion-equation_scalar,SerialExecutor,80855.4,NeoN,explicit-time-integration,0.8334941141840867
3DCube,N16,11,advection–diffusion-equation_scalar,SerialExecutor,434097.0,NeoN,implicit-time-integration,0.15524755987717032
3DCube,N32,24,advection–diffusion-equation_scalar,OpenFOAM,691004.0,OpenFOAM,explicit-time-integration,1.0
3DCube,N32,25,advection–diffusion-equation_scalar,OpenFOAM,966062.0,OpenFOAM,implicit-time-integration,0.715279143574636
3DCube,N32,26,advection–diffusion-equation_scalar,SerialExecutor,752058.0,NeoN,explicit-time-integration,0.9188174316342622
3DCube,N32,27,advection–diffusion-equation_scalar,SerialExecutor,3412180.0,NeoN,implicit-time-integration,0.20251100469494576
3DCube,N64,44,advection–diffusion-equation_scalar,OpenFOAM,6497620.0,OpenFOAM,explicit-time-integration,1.0
3DCube,N64,45,advection–diffusion-equation_scalar,OpenFOAM,9979540.0,OpenFOAM,implicit-time-integration,0.6510941386075911
3DCube,N64,46,advection–diffusion-equation_scalar,SerialExecutor,6711300.0,NeoN,explicit-time-integration,0.9681611610269247
3DCube,N64,47,advection–diffusion-equation_scalar,SerialExecutor,31539300.0,NeoN,implicit-time-integration,0.20601662053374678
3DCube,N8,12,advection–diffusion-equation_scalar,OpenFOAM,15051.2,OpenFOAM,explicit-time-integration,1.0
3DCube,N8,13,advection–diffusion-equation_scalar,OpenFOAM,14543.2,OpenFOAM,implicit-time-integration,1.0349304142142033
3DCube,N8,14,advection–diffusion-equation_scalar,SerialExecutor,48824.0,NeoN,explicit-time-integration,0.3082746190398165
3DCube,N8,15,advection–diffusion-equation_scalar,SerialExecutor,105289.0,NeoN,implicit-time-integration,0.14295130545451093
