MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N128,16,advection–diffusion-equation_scalar,OpenFOAM,196486.0,OpenFOAM,explicit-time-integration,1.0
2DSquare,N128,17,advection–diffusion-equation_scalar,OpenFOAM,265147.0,OpenFOAM,implicit-time-integration,0.7410455332325088
2DSquare,N128,18,advection–diffusion-equation_scalar,SerialExecutor,379736.0,NeoN,explicit-time-integration,0.5174278972760022
2DSquare,N128,19,advection–diffusion-equation_scalar,SerialExecutor,1357110.0,NeoN,implicit-time-integration,0.14478266315921332
2DSquare,N16,4,advection–diffusion-equation_scalar,OpenFOAM,8252.7,OpenFOAM,explicit-time-integration,1.0
2DSquare,N16,5,advection–diffusion-equation_scalar,OpenFOAM,8197.94,OpenFOAM,implicit-time-integration,1.0066797268582108
2DSquare,N16,6,advection–diffusion-equation_scalar,SerialExecutor,73760.4,NeoN,explicit-time-integration,0.11188523923406057
2DSquare,N16,7,advection–diffusion-equation_scalar,SerialExecutor,110968.0,NeoN,implicit-time-integration,0.0743700886742124
2DSquare,N256,36,advection–diffusion-equation_scalar,OpenFOAM,935882.0,OpenFOAM,explicit-time-integration,1.0
2DSquare,N256,37,advection–diffusion-equation_scalar,OpenFOAM,1398410.0,OpenFOAM,implicit-time-integration,0.6692472164815755
2DSquare,N256,38,advection–diffusion-equation_scalar,SerialExecutor,1463890.0,NeoN,explicit-time-integration,0.6393116969171181
2DSquare,N256,39,advection–diffusion-equation_scalar,SerialExecutor,5286890.0,NeoN,implicit-time-integration,0.17701938190505193
2DSquare,N32,24,advection–diffusion-equation_scalar,OpenFOAM,17154.0,OpenFOAM,explicit-time-integration,1.0
2DSquare,N32,25,advection–diffusion-equation_scalar,OpenFOAM,16266.1,OpenFOAM,implicit-time-integration,1.0545859179520598
2DSquare,N32,26,advection–diffusion-equation_scalar,SerialExecutor,85116.2,NeoN,explicit-time-integration,0.2015362527932403
2DSquare,N32,27,advection–diffusion-equation_scalar,SerialExecutor,169699.0,NeoN,implicit-time-integration,0.10108486202040083
2DSquare,N512,40,advection–diffusion-equation_scalar,OpenFOAM,4278250.0,OpenFOAM,explicit-time-integration,1.0
2DSquare,N512,41,advection–diffusion-equation_scalar,OpenFOAM,7252260.0,OpenFOAM,implicit-time-integration,0.5899195561107847
2DSquare,N512,42,advection–diffusion-equation_scalar,SerialExecutor,5833950.0,NeoN,explicit-time-integration,0.7333367615423513
2DSquare,N512,43,advection–diffusion-equation_scalar,SerialExecutor,21276700.0,NeoN,implicit-time-integration,0.20107676472385286
2DSquare,N64,44,advection–diffusion-equation_scalar,OpenFOAM,53324.5,OpenFOAM,explicit-time-integration,1.0
2DSquare,N64,45,advection–diffusion-equation_scalar,OpenFOAM,54687.9,OpenFOAM,implicit-time-integration,0.9750694394920997
2DSquare,N64,46,advection–diffusion-equation_scalar,SerialExecutor,127857.0,NeoN,explicit-time-integration,0.4170635944844631
2DSquare,N64,47,advection–diffusion-equation_scalar,SerialExecutor,382520.0,NeoN,implicit-time-integration,0.13940316846177978
2DSquare,N8,8,advection–diffusion-equation_scalar,OpenFOAM,5937.95,OpenFOAM,explicit-time-integration,1.0
2DSquare,N8,9,advection–diffusion-equation_scalar,OpenFOAM,4955.2,OpenFOAM,implicit-time-integration,1.1983270100096868
2DSquare,N8,10,advection–diffusion-equation_scalar,SerialExecutor,70544.2,NeoN,explicit-time-integration,0.08417346854879636
2DSquare,N8,11,advection–diffusion-equation_scalar,SerialExecutor,98323.8,NeoN,implicit-time-integration,0.06039178713597318
3DCube,N128,28,advection–diffusion-equation_scalar,OpenFOAM,91043000.0,OpenFOAM,explicit-time-integration,1.0
3DCube,N128,29,advection–diffusion-equation_scalar,OpenFOAM,170223000.0,OpenFOAM,implicit-time-integration,0.5348454674162716
3DCube,N128,30,advection–diffusion-equation_scalar,SerialExecutor,159657000.0,NeoN,explicit-time-integration,0.5702412045823233
3DCube,N128,31,advection–diffusion-equation_scalar,SerialExecutor,359559000.0,NeoN,implicit-time-integration,0.253207401288801
3DCube,N16,32,advection–diffusion-equation_scalar,OpenFOAM,100098.0,OpenFOAM,explicit-time-integration,1.0
3DCube,N16,33,advection–diffusion-equation_scalar,OpenFOAM,116702.0,OpenFOAM,implicit-time-integration,0.8577230895785848
3DCube,N16,34,advection–diffusion-equation_scalar,SerialExecutor,210911.0,NeoN,explicit-time-integration,0.47459829027409667
3DCube,N16,35,advection–diffusion-equation_scalar,SerialExecutor,777303.0,NeoN,implicit-time-integration,0.1287760371438165
3DCube,N32,20,advection–diffusion-equation_scalar,OpenFOAM,633391.0,OpenFOAM,explicit-time-integration,1.0
3DCube,N32,21,advection–diffusion-equation_scalar,OpenFOAM,921867.0,OpenFOAM,implicit-time-integration,0.6870741657961507
3DCube,N32,22,advection–diffusion-equation_scalar,SerialExecutor,1003640.0,NeoN,explicit-time-integration,0.6310938185006576
