MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N128,36,advection-diffusion-equation_scalar,OpenFOAM,205351.0,OpenFOAM,explicit-time-integration,1.0
2DSquare,N128,37,advection-diffusion-equation_scalar,OpenFOAM,266897.0,OpenFOAM,implicit-time-integration,0.7694016792995051
2DSquare,N128,38,advection-diffusion-equation_scalar,SerialExecutor,256572.0,NeoN,explicit-time-integration,0.8003640303696429
2DSquare,N128,39,advection-diffusion-equation_scalar,SerialExecutor,1120690.0,NeoN,implicit-time-integration,0.18323622054270136
2DSquare,N16,0,advection-diffusion-equation_scalar,OpenFOAM,8264.33,OpenFOAM,explicit-time-integration,1.0
2DSquare,N16,1,advection-diffusion-equation_scalar,OpenFOAM,7782.48,OpenFOAM,implicit-time-integration,1.061914710991869
2DSquare,N16,2,advection-diffusion-equation_scalar,SerialExecutor,42249.8,NeoN,explicit-time-integration,0.19560636973429457
2DSquare,N16,3,advection-diffusion-equation_scalar,SerialExecutor,68340.4,NeoN,implicit-time-integration,0.1209289088152835
2DSquare,N256,28,advection-diffusion-equation_scalar,OpenFOAM,950812.0,OpenFOAM,explicit-time-integration,1.0
2DSquare,N256,29,advection-diffusion-equation_scalar,OpenFOAM,1381750.0,OpenFOAM,implicit-time-integration,0.6881215849466257
2DSquare,N256,30,advection-diffusion-equation_scalar,SerialExecutor,1062430.0,NeoN,explicit-time-integration,0.8949408431614319
2DSquare,N256,31,advection-diffusion-equation_scalar,SerialExecutor,4509350.0,NeoN,implicit-time-integration,0.2108534489449699
2DSquare,N32,16,advection-diffusion-equation_scalar,OpenFOAM,16394.5,OpenFOAM,explicit-time-integration,1.0
2DSquare,N32,17,advection-diffusion-equation_scalar,OpenFOAM,15735.1,OpenFOAM,implicit-time-integration,1.0419063113675795
2DSquare,N32,18,advection-diffusion-equation_scalar,SerialExecutor,49139.0,NeoN,explicit-time-integration,0.3336351981114797
2DSquare,N32,19,advection-diffusion-equation_scalar,SerialExecutor,115298.0,NeoN,implicit-time-integration,0.1421924057659283
2DSquare,N512,40,advection-diffusion-equation_scalar,OpenFOAM,5016440.0,OpenFOAM,explicit-time-integration,1.0
2DSquare,N512,41,advection-diffusion-equation_scalar,OpenFOAM,7188500.0,OpenFOAM,implicit-time-integration,0.6978423871461362
2DSquare,N512,42,advection-diffusion-equation_scalar,SerialExecutor,4384920.0,NeoN,explicit-time-integration,1.1440208715324338
2DSquare,N512,43,advection-diffusion-equation_scalar,SerialExecutor,19193400.0,NeoN,implicit-time-integration,0.26136276011545634
2DSquare,N64,32,advection-diffusion-equation_scalar,OpenFOAM,49315.0,OpenFOAM,explicit-time-integration,1.0
2DSquare,N64,33,advection-diffusion-equation_scalar,OpenFOAM,54675.5,OpenFOAM,implicit-time-integration,0.9019579153368511
2DSquare,N64,34,advection-diffusion-equation_scalar,SerialExecutor,68193.3,NeoN,explicit-time-integration,0.7231648856999148
2DSquare,N64,35,advection-diffusion-equation_scalar,SerialExecutor,293822.0,NeoN,implicit-time-integration,0.16783971247898388
2DSquare,N8,4,advection-diffusion-equation_scalar,OpenFOAM,6314.95,OpenFOAM,explicit-time-integration,1.0
2DSquare,N8,5,advection-diffusion-equation_scalar,OpenFOAM,4656.43,OpenFOAM,implicit-time-integration,1.3561784457191453
2DSquare,N8,6,advection-diffusion-equation_scalar,SerialExecutor,41705.7,NeoN,explicit-time-integration,0.15141695259880544
2DSquare,N8,7,advection-diffusion-equation_scalar,SerialExecutor,58208.4,NeoN,implicit-time-integration,0.10848863737879756
3DCube,N128,20,advection-diffusion-equation_scalar,OpenFOAM,82917600.0,OpenFOAM,explicit-time-integration,1.0
3DCube,N128,21,advection-diffusion-equation_scalar,OpenFOAM,155434000.0,OpenFOAM,implicit-time-integration,0.5334585740571561
3DCube,N128,22,advection-diffusion-equation_scalar,SerialExecutor,125777000.0,NeoN,explicit-time-integration,0.6592429458486051
3DCube,N128,23,advection-diffusion-equation_scalar,SerialExecutor,298901000.0,NeoN,implicit-time-integration,0.27740823884831434
3DCube,N16,8,advection-diffusion-equation_scalar,OpenFOAM,67838.2,OpenFOAM,explicit-time-integration,1.0
3DCube,N16,9,advection-diffusion-equation_scalar,OpenFOAM,76580.6,OpenFOAM,implicit-time-integration,0.8858405392488437
3DCube,N16,10,advection-diffusion-equation_scalar,SerialExecutor,78788.9,NeoN,explicit-time-integration,0.8610121476502401
3DCube,N16,11,advection-diffusion-equation_scalar,SerialExecutor,425219.0,NeoN,implicit-time-integration,0.15953708559589294
3DCube,N32,24,advection-diffusion-equation_scalar,OpenFOAM,689367.0,OpenFOAM,explicit-time-integration,1.0
3DCube,N32,25,advection-diffusion-equation_scalar,OpenFOAM,940675.0,OpenFOAM,implicit-time-integration,0.7328429053605124
3DCube,N32,26,advection-diffusion-equation_scalar,SerialExecutor,751157.0,NeoN,explicit-time-integration,0.9177402327343018
3DCube,N32,27,advection-diffusion-equation_scalar,SerialExecutor,3415280.0,NeoN,implicit-time-integration,0.20184787191679746
3DCube,N64,44,advection-diffusion-equation_scalar,OpenFOAM,7126440.0,OpenFOAM,explicit-time-integration,1.0
3DCube,N64,45,advection-diffusion-equation_scalar,OpenFOAM,10398800.0,OpenFOAM,implicit-time-integration,0.6853136900411586
3DCube,N64,46,advection-diffusion-equation_scalar,SerialExecutor,6632400.0,NeoN,explicit-time-integration,1.074488872806224
3DCube,N64,47,advection-diffusion-equation_scalar,SerialExecutor,29290200.0,NeoN,implicit-time-integration,0.24330458651699202
3DCube,N8,12,advection-diffusion-equation_scalar,OpenFOAM,16019.9,OpenFOAM,explicit-time-integration,1.0
3DCube,N8,13,advection-diffusion-equation_scalar,OpenFOAM,14799.9,OpenFOAM,implicit-time-integration,1.0824329894120905
3DCube,N8,14,advection-diffusion-equation_scalar,SerialExecutor,48406.3,NeoN,explicit-time-integration,0.33094659166265544
3DCube,N8,15,advection-diffusion-equation_scalar,SerialExecutor,103934.0,NeoN,implicit-time-integration,0.15413531664325436
