MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N128,36,advection-diffusion-equation_scalar,OpenFOAM,204516.0,OpenFOAM,explicit-time-integration,1.0
2DSquare,N128,37,advection-diffusion-equation_scalar,OpenFOAM,261059.0,OpenFOAM,implicit-time-integration,0.7834091144147491
2DSquare,N128,38,advection-diffusion-equation_scalar,SerialExecutor,253934.0,NeoN,explicit-time-integration,0.8053903770271015
2DSquare,N128,39,advection-diffusion-equation_scalar,SerialExecutor,1114900.0,NeoN,implicit-time-integration,0.18343887344156426
2DSquare,N16,0,advection-diffusion-equation_scalar,OpenFOAM,8623.92,OpenFOAM,explicit-time-integration,1.0
2DSquare,N16,1,advection-diffusion-equation_scalar,OpenFOAM,7951.97,OpenFOAM,implicit-time-integration,1.0845010733189386
2DSquare,N16,2,advection-diffusion-equation_scalar,SerialExecutor,42519.4,NeoN,explicit-time-integration,0.20282318188873785
2DSquare,N16,3,advection-diffusion-equation_scalar,SerialExecutor,68602.6,NeoN,implicit-time-integration,0.12570835507692127
2DSquare,N256,28,advection-diffusion-equation_scalar,OpenFOAM,1777700.0,OpenFOAM,explicit-time-integration,1.0
2DSquare,N256,29,advection-diffusion-equation_scalar,OpenFOAM,2611550.0,OpenFOAM,implicit-time-integration,0.680706859910781
2DSquare,N256,30,advection-diffusion-equation_scalar,SerialExecutor,1099160.0,NeoN,explicit-time-integration,1.6173259580042942
2DSquare,N256,31,advection-diffusion-equation_scalar,SerialExecutor,4589230.0,NeoN,implicit-time-integration,0.3873634574863321
2DSquare,N32,16,advection-diffusion-equation_scalar,OpenFOAM,18032.6,OpenFOAM,explicit-time-integration,1.0
2DSquare,N32,17,advection-diffusion-equation_scalar,OpenFOAM,16084.5,OpenFOAM,implicit-time-integration,1.1211166029407191
2DSquare,N32,18,advection-diffusion-equation_scalar,SerialExecutor,48668.2,NeoN,explicit-time-integration,0.3705212027566255
2DSquare,N32,19,advection-diffusion-equation_scalar,SerialExecutor,115609.0,NeoN,implicit-time-integration,0.15597920577117697
2DSquare,N512,40,advection-diffusion-equation_scalar,OpenFOAM,10071900.0,OpenFOAM,explicit-time-integration,1.0
2DSquare,N512,41,advection-diffusion-equation_scalar,OpenFOAM,8015610.0,OpenFOAM,implicit-time-integration,1.256535684745141
2DSquare,N512,42,advection-diffusion-equation_scalar,SerialExecutor,5486080.0,NeoN,explicit-time-integration,1.8359010440970602
2DSquare,N512,43,advection-diffusion-equation_scalar,SerialExecutor,20687800.0,NeoN,implicit-time-integration,0.4868521544098454
2DSquare,N64,32,advection-diffusion-equation_scalar,OpenFOAM,52448.9,OpenFOAM,explicit-time-integration,1.0
2DSquare,N64,33,advection-diffusion-equation_scalar,OpenFOAM,56405.4,OpenFOAM,implicit-time-integration,0.9298560066943945
2DSquare,N64,34,advection-diffusion-equation_scalar,SerialExecutor,69311.1,NeoN,explicit-time-integration,0.7567171780566172
2DSquare,N64,35,advection-diffusion-equation_scalar,SerialExecutor,295930.0,NeoN,implicit-time-integration,0.1772341432095428
2DSquare,N8,4,advection-diffusion-equation_scalar,OpenFOAM,6448.5,OpenFOAM,explicit-time-integration,1.0
2DSquare,N8,5,advection-diffusion-equation_scalar,OpenFOAM,4649.68,OpenFOAM,implicit-time-integration,1.3868696340393316
2DSquare,N8,6,advection-diffusion-equation_scalar,SerialExecutor,41351.7,NeoN,explicit-time-integration,0.1559428028351918
