MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N128,40,DivOperator,OpenFOAM,115227.0,OpenFOAM,with Allocation,1.0
2DSquare,N128,41,DivOperator,SerialExecutor,1167160.0,NeoN,with Allocation,0.09872425374413105
2DSquare,N128,42,DivOperator,SerialExecutor,654757.0,NeoN,No allocation,0.17598437282839283
2DSquare,N128,43,DivOperator,GPUExecutor,906853.0,NeoN,with Allocation,0.12706248973097073
2DSquare,N128,44,DivOperator,GPUExecutor,294318.0,NeoN,No allocation,0.39150510672130145
2DSquare,N16,10,DivOperator,OpenFOAM,2088.64,OpenFOAM,with Allocation,1.0
2DSquare,N16,11,DivOperator,SerialExecutor,77374.1,NeoN,with Allocation,0.026994045811195216
2DSquare,N16,12,DivOperator,SerialExecutor,33894.8,NeoN,No allocation,0.0616212516374193
2DSquare,N16,13,DivOperator,GPUExecutor,909401.0,NeoN,with Allocation,0.002296720588607226
2DSquare,N16,14,DivOperator,GPUExecutor,288724.0,NeoN,No allocation,0.007234036657846247
2DSquare,N256,90,DivOperator,OpenFOAM,454645.0,OpenFOAM,with Allocation,1.0
2DSquare,N256,91,DivOperator,SerialExecutor,3097920.0,NeoN,with Allocation,0.1467581474021279
2DSquare,N256,92,DivOperator,SerialExecutor,2555700.0,NeoN,No allocation,0.1778945103102868
2DSquare,N256,93,DivOperator,GPUExecutor,915080.0,NeoN,with Allocation,0.4968363421777331
2DSquare,N256,94,DivOperator,GPUExecutor,302536.0,NeoN,No allocation,1.5027798344659808
2DSquare,N32,60,DivOperator,OpenFOAM,5084.58,OpenFOAM,with Allocation,1.0
2DSquare,N32,61,DivOperator,SerialExecutor,111466.0,NeoN,with Allocation,0.045615524016291965
2DSquare,N32,62,DivOperator,SerialExecutor,64737.0,NeoN,No allocation,0.07854210111682654
2DSquare,N32,63,DivOperator,GPUExecutor,924299.0,NeoN,with Allocation,0.005501012118372951
2DSquare,N32,64,DivOperator,GPUExecutor,291821.0,NeoN,No allocation,0.017423626126975098
2DSquare,N512,100,DivOperator,OpenFOAM,2099040.0,OpenFOAM,with Allocation,1.0
2DSquare,N512,101,DivOperator,SerialExecutor,12257100.0,NeoN,with Allocation,0.1712509484298896
2DSquare,N512,102,DivOperator,SerialExecutor,10177500.0,NeoN,No allocation,0.20624318349299928
2DSquare,N512,103,DivOperator,GPUExecutor,1068650.0,NeoN,with Allocation,1.9641978196790344
2DSquare,N512,104,DivOperator,GPUExecutor,331506.0,NeoN,No allocation,6.331831098079673
2DSquare,N64,110,DivOperator,OpenFOAM,20394.3,OpenFOAM,with Allocation,1.0
2DSquare,N64,111,DivOperator,SerialExecutor,240404.0,NeoN,with Allocation,0.08483344703083143
2DSquare,N64,112,DivOperator,SerialExecutor,181845.0,NeoN,No allocation,0.11215210756413428
2DSquare,N64,113,DivOperator,GPUExecutor,926836.0,NeoN,with Allocation,0.022004216495690714
2DSquare,N64,114,DivOperator,GPUExecutor,298592.0,NeoN,No allocation,0.06830156199764227
2DSquare,N8,20,DivOperator,OpenFOAM,1097.51,OpenFOAM,with Allocation,1.0
2DSquare,N8,21,DivOperator,SerialExecutor,69550.0,NeoN,with Allocation,0.01578015815959741
2DSquare,N8,22,DivOperator,SerialExecutor,26797.1,NeoN,No allocation,0.040956297509805166
2DSquare,N8,23,DivOperator,GPUExecutor,898170.0,NeoN,with Allocation,0.001221940167228921
2DSquare,N8,24,DivOperator,GPUExecutor,289593.0,NeoN,No allocation,0.003789836080291996
3DCube,N128,70,DivOperator,OpenFOAM,62447800.0,OpenFOAM,with Allocation,1.0
3DCube,N128,71,DivOperator,SerialExecutor,222009000.0,NeoN,with Allocation,0.2812849929507362
3DCube,N128,72,DivOperator,SerialExecutor,136098000.0,NeoN,No allocation,0.4588443621508031
3DCube,N128,73,DivOperator,GPUExecutor,2699280.0,NeoN,with Allocation,23.13498414391986
3DCube,N128,74,DivOperator,GPUExecutor,979770.0,NeoN,No allocation,63.737203629423234
3DCube,N16,80,DivOperator,OpenFOAM,29557.4,OpenFOAM,with Allocation,1.0
3DCube,N16,81,DivOperator,SerialExecutor,334604.0,NeoN,with Allocation,0.08833546520663232
3DCube,N16,82,DivOperator,SerialExecutor,264271.0,NeoN,No allocation,0.11184503785886458
3DCube,N16,83,DivOperator,GPUExecutor,922486.0,NeoN,with Allocation,0.0320410282649276
3DCube,N16,84,DivOperator,GPUExecutor,298584.0,NeoN,No allocation,0.0989919084746671
3DCube,N32,50,DivOperator,OpenFOAM,296327.0,OpenFOAM,with Allocation,1.0
3DCube,N32,51,DivOperator,SerialExecutor,2317640.0,NeoN,with Allocation,0.12785721682401063
3DCube,N32,52,DivOperator,SerialExecutor,1946570.0,NeoN,No allocation,0.15223033335559472
3DCube,N32,53,DivOperator,GPUExecutor,927841.0,NeoN,with Allocation,0.3193726080222797
3DCube,N32,54,DivOperator,GPUExecutor,310701.0,NeoN,No allocation,0.9537368724271889
3DCube,N64,0,DivOperator,OpenFOAM,3980090.0,OpenFOAM,with Allocation,1.0
3DCube,N64,1,DivOperator,SerialExecutor,20074000.0,NeoN,with Allocation,0.19827089767858921
3DCube,N64,2,DivOperator,SerialExecutor,15373000.0,NeoN,No allocation,0.25890132049697523
3DCube,N64,3,DivOperator,GPUExecutor,1036860.0,NeoN,with Allocation,3.8385992322975135
3DCube,N64,4,DivOperator,GPUExecutor,371120.0,NeoN,No allocation,10.724536538046992
3DCube,N8,30,DivOperator,OpenFOAM,6361.21,OpenFOAM,with Allocation,1.0
3DCube,N8,31,DivOperator,SerialExecutor,148020.0,NeoN,with Allocation,0.04297534117011215
3DCube,N8,32,DivOperator,SerialExecutor,56574.6,NeoN,No allocation,0.1124393278962644
3DCube,N8,33,DivOperator,GPUExecutor,1016960.0,NeoN,with Allocation,0.006255123112020138
3DCube,N8,34,DivOperator,GPUExecutor,291730.0,NeoN,No allocation,0.0218051280293422
