MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N128,16,advection-diffusion-equation_scalar,OpenFOAM,192403.0,OpenFOAM,explicit-time-integration,1.0
2DSquare,N128,17,advection-diffusion-equation_scalar,OpenFOAM,260336.0,OpenFOAM,implicit-time-integration,0.7390564501259911
2DSquare,N128,18,advection-diffusion-equation_scalar,SerialExecutor,346635.0,NeoN,explicit-time-integration,0.5550593563835158
2DSquare,N128,19,advection-diffusion-equation_scalar,SerialExecutor,1303440.0,NeoN,implicit-time-integration,0.14761170441293808
2DSquare,N16,4,advection-diffusion-equation_scalar,OpenFOAM,8817.19,OpenFOAM,explicit-time-integration,1.0
2DSquare,N16,5,advection-diffusion-equation_scalar,OpenFOAM,8821.23,OpenFOAM,implicit-time-integration,0.9995420139821772
2DSquare,N16,6,advection-diffusion-equation_scalar,SerialExecutor,70862.9,NeoN,explicit-time-integration,0.1244260395778327
2DSquare,N16,7,advection-diffusion-equation_scalar,SerialExecutor,109643.0,NeoN,implicit-time-integration,0.08041726329998268
2DSquare,N256,36,advection-diffusion-equation_scalar,OpenFOAM,959998.0,OpenFOAM,explicit-time-integration,1.0
2DSquare,N256,37,advection-diffusion-equation_scalar,OpenFOAM,1429620.0,OpenFOAM,implicit-time-integration,0.6715057148053328
2DSquare,N256,38,advection-diffusion-equation_scalar,SerialExecutor,1401550.0,NeoN,explicit-time-integration,0.6849545146445007
2DSquare,N256,39,advection-diffusion-equation_scalar,SerialExecutor,5165590.0,NeoN,implicit-time-integration,0.18584479217282052
2DSquare,N32,24,advection-diffusion-equation_scalar,OpenFOAM,17725.4,OpenFOAM,explicit-time-integration,1.0
2DSquare,N32,25,advection-diffusion-equation_scalar,OpenFOAM,15758.8,OpenFOAM,implicit-time-integration,1.1247937660227938
2DSquare,N32,26,advection-diffusion-equation_scalar,SerialExecutor,86809.9,NeoN,explicit-time-integration,0.20418638887960938
2DSquare,N32,27,advection-diffusion-equation_scalar,SerialExecutor,167843.0,NeoN,implicit-time-integration,0.10560702561322188
2DSquare,N512,40,advection-diffusion-equation_scalar,OpenFOAM,4887550.0,OpenFOAM,explicit-time-integration,1.0
2DSquare,N512,41,advection-diffusion-equation_scalar,OpenFOAM,9235600.0,OpenFOAM,implicit-time-integration,0.5292076313395989
2DSquare,N512,42,advection-diffusion-equation_scalar,SerialExecutor,6408760.0,NeoN,explicit-time-integration,0.7626358297080871
2DSquare,N512,43,advection-diffusion-equation_scalar,SerialExecutor,22786900.0,NeoN,implicit-time-integration,0.2144894654384756
2DSquare,N64,44,advection-diffusion-equation_scalar,OpenFOAM,51052.8,OpenFOAM,explicit-time-integration,1.0
2DSquare,N64,45,advection-diffusion-equation_scalar,OpenFOAM,57046.1,OpenFOAM,implicit-time-integration,0.8949393560646566
2DSquare,N64,46,advection-diffusion-equation_scalar,SerialExecutor,122422.0,NeoN,explicit-time-integration,0.4170230840861937
2DSquare,N64,47,advection-diffusion-equation_scalar,SerialExecutor,374430.0,NeoN,implicit-time-integration,0.1363480490345325
2DSquare,N8,8,advection-diffusion-equation_scalar,OpenFOAM,5901.65,OpenFOAM,explicit-time-integration,1.0
