MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N128,75,DivOperator,OpenFOAM,64201.0,OpenFOAM,with Allocation,1.0
2DSquare,N128,76,DivOperator,SerialExecutor,107600.0,NeoN,with Allocation,0.5966635687732342
2DSquare,N128,77,DivOperator,SerialExecutor,87837.7,NeoN,No allocation,0.7309048392660555
2DSquare,N128,78,DivOperator,GPUExecutor,1670000.0,NeoN,with Allocation,0.0384437125748503
2DSquare,N128,79,DivOperator,GPUExecutor,701443.0,NeoN,No allocation,0.09152703783486328
2DSquare,N512,100,DivOperator,OpenFOAM,1756960.0,OpenFOAM,with Allocation,1.0
2DSquare,N512,101,DivOperator,SerialExecutor,1677730.0,NeoN,with Allocation,1.0472245236122617
2DSquare,N512,102,DivOperator,SerialExecutor,1561400.0,NeoN,No allocation,1.1252465735878059
2DSquare,N512,103,DivOperator,GPUExecutor,1572560.0,NeoN,with Allocation,1.1172610266062981
2DSquare,N512,104,DivOperator,GPUExecutor,846980.0,NeoN,No allocation,2.0743819216510424
2DSquare,N64,50,DivOperator,OpenFOAM,18136.2,OpenFOAM,with Allocation,1.0
2DSquare,N64,51,DivOperator,SerialExecutor,46983.6,NeoN,with Allocation,0.38601128904553933
2DSquare,N64,52,DivOperator,SerialExecutor,32813.0,NeoN,No allocation,0.5527138634077957
2DSquare,N64,53,DivOperator,GPUExecutor,1294220.0,NeoN,with Allocation,0.014013228044691012
2DSquare,N64,54,DivOperator,GPUExecutor,699249.0,NeoN,No allocation,0.025936683499011084
3DCube,N16,0,DivOperator,OpenFOAM,27301.9,OpenFOAM,with Allocation,1.0
3DCube,N16,1,DivOperator,SerialExecutor,58998.0,NeoN,with Allocation,0.4627597545679515
3DCube,N16,2,DivOperator,SerialExecutor,42576.2,NeoN,No allocation,0.6412479272457383
3DCube,N16,3,DivOperator,GPUExecutor,1366380.0,NeoN,with Allocation,0.019981191176685842
3DCube,N16,4,DivOperator,GPUExecutor,731102.0,NeoN,No allocation,0.037343489690904966
3DCube,N32,25,DivOperator,OpenFOAM,287384.0,OpenFOAM,with Allocation,1.0
3DCube,N32,26,DivOperator,SerialExecutor,382266.0,NeoN,with Allocation,0.7517906379327484
3DCube,N32,27,DivOperator,SerialExecutor,347064.0,NeoN,No allocation,0.828043242744854
3DCube,N32,28,DivOperator,GPUExecutor,1334010.0,NeoN,with Allocation,0.21542866995000037
3DCube,N32,29,DivOperator,GPUExecutor,717068.0,NeoN,No allocation,0.4007764953951369
3DCube,N64,125,DivOperator,OpenFOAM,2208800.0,OpenFOAM,with Allocation,1.0
3DCube,N64,126,DivOperator,SerialExecutor,2582130.0,NeoN,with Allocation,0.8554178139752839
3DCube,N64,127,DivOperator,SerialExecutor,2357010.0,NeoN,No allocation,0.9371194861286121
3DCube,N64,128,DivOperator,GPUExecutor,1581300.0,NeoN,with Allocation,1.3968253968253967
3DCube,N64,129,DivOperator,GPUExecutor,853755.0,NeoN,No allocation,2.5871590795954345
