MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N16,15,FaceInterpolation,OpenFOAM,831.045,OpenFOAM,with Allocation,1.0
2DSquare,N16,16,FaceInterpolation,SerialExecutor,13586.0,NeoN,with Allocation,0.06116921831296923
2DSquare,N16,17,FaceInterpolation,SerialExecutor,565.9,NeoN,No allocation,1.468536843965365
2DSquare,N16,18,FaceInterpolation,GPUExecutor,614364.0,NeoN,with Allocation,0.0013526915639588257
2DSquare,N16,19,FaceInterpolation,GPUExecutor,17074.3,NeoN,No allocation,0.048672273533907684
2DSquare,N256,90,FaceInterpolation,OpenFOAM,133089.0,OpenFOAM,with Allocation,1.0
2DSquare,N256,91,FaceInterpolation,SerialExecutor,240823.0,NeoN,with Allocation,0.5526423971132325
2DSquare,N256,92,FaceInterpolation,SerialExecutor,162906.0,NeoN,No allocation,0.8169680674744945
2DSquare,N256,93,FaceInterpolation,GPUExecutor,748225.0,NeoN,with Allocation,0.17787296601957966
2DSquare,N256,94,FaceInterpolation,GPUExecutor,23531.2,NeoN,No allocation,5.6558526551982045
2DSquare,N64,115,FaceInterpolation,OpenFOAM,5361.1,OpenFOAM,with Allocation,1.0
2DSquare,N64,116,FaceInterpolation,SerialExecutor,21653.1,NeoN,with Allocation,0.2475904143055729
2DSquare,N64,117,FaceInterpolation,SerialExecutor,6378.11,NeoN,No allocation,0.8405468077533941
2DSquare,N64,118,FaceInterpolation,GPUExecutor,604440.0,NeoN,with Allocation,0.008869532128912713
2DSquare,N64,119,FaceInterpolation,GPUExecutor,18670.1,NeoN,No allocation,0.2871489708142967
3DCube,N16,40,FaceInterpolation,OpenFOAM,7001.68,OpenFOAM,with Allocation,1.0
3DCube,N16,41,FaceInterpolation,SerialExecutor,25905.5,NeoN,with Allocation,0.27027774024820983
3DCube,N16,42,FaceInterpolation,SerialExecutor,9537.76,NeoN,No allocation,0.7341010887252353
3DCube,N16,43,FaceInterpolation,GPUExecutor,609655.0,NeoN,with Allocation,0.011484659356521312
3DCube,N16,44,FaceInterpolation,GPUExecutor,18021.2,NeoN,No allocation,0.3885246265509511
3DCube,N32,65,FaceInterpolation,OpenFOAM,119708.0,OpenFOAM,with Allocation,1.0
3DCube,N32,66,FaceInterpolation,SerialExecutor,214625.0,NeoN,with Allocation,0.5577542224810716
3DCube,N32,67,FaceInterpolation,SerialExecutor,112945.0,NeoN,No allocation,1.0598787020231086
3DCube,N32,68,FaceInterpolation,GPUExecutor,687701.0,NeoN,with Allocation,0.17406983558261513
3DCube,N32,69,FaceInterpolation,GPUExecutor,21245.2,NeoN,No allocation,5.634590401596596
3DCube,N64,140,FaceInterpolation,OpenFOAM,753692.0,OpenFOAM,with Allocation,1.0
3DCube,N64,141,FaceInterpolation,SerialExecutor,1095030.0,NeoN,with Allocation,0.6882843392418473
3DCube,N64,142,FaceInterpolation,SerialExecutor,702037.0,NeoN,No allocation,1.073578743000725
3DCube,N64,143,FaceInterpolation,GPUExecutor,719254.0,NeoN,with Allocation,1.0478801647262301
3DCube,N64,144,FaceInterpolation,GPUExecutor,35750.8,NeoN,No allocation,21.08182194524318
