MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N512,84,GradOperator,OpenFOAM,1946870.0,OpenFOAM,with Allocation,1.0
2DSquare,N512,85,GradOperator,SerialExecutor,12721000.0,NeoN,with Allocation,0.15304378586589104
2DSquare,N512,86,GradOperator,SerialExecutor,12345000.0,NeoN,No allocation,0.15770514378290806
2DSquare,N512,87,GradOperator,CPUExecutor,12697600.0,NeoN,with Allocation,0.15332582535282258
2DSquare,N512,88,GradOperator,CPUExecutor,12311500.0,NeoN,No allocation,0.15813426471185477
2DSquare,N512,89,GradOperator,GPUExecutor,1545940.0,NeoN,with Allocation,1.2593438296441
2DSquare,N512,90,GradOperator,GPUExecutor,942618.0,NeoN,No allocation,2.065385978201138
2DSquare,N64,49,GradOperator,OpenFOAM,27690.4,OpenFOAM,with Allocation,1.0
2DSquare,N64,50,GradOperator,SerialExecutor,217915.0,NeoN,with Allocation,0.12706972902278413
2DSquare,N64,51,GradOperator,SerialExecutor,200537.0,NeoN,No allocation,0.13808125183881279
2DSquare,N64,52,GradOperator,CPUExecutor,220258.0,NeoN,with Allocation,0.1257180215928593
2DSquare,N64,53,GradOperator,CPUExecutor,210036.0,NeoN,No allocation,0.13183644708526157
2DSquare,N64,54,GradOperator,GPUExecutor,1222560.0,NeoN,with Allocation,0.02264952231383327
2DSquare,N64,55,GradOperator,GPUExecutor,649910.0,NeoN,No allocation,0.042606514748195906
3DCube,N16,14,GradOperator,OpenFOAM,45095.5,OpenFOAM,with Allocation,1.0
3DCube,N16,15,GradOperator,SerialExecutor,314007.0,NeoN,with Allocation,0.14361304047362
3DCube,N16,16,GradOperator,SerialExecutor,292411.0,NeoN,No allocation,0.1542195745030112
3DCube,N16,17,GradOperator,CPUExecutor,314558.0,NeoN,with Allocation,0.1433614786462274
3DCube,N16,18,GradOperator,CPUExecutor,297913.0,NeoN,No allocation,0.1513713735218
3DCube,N16,19,GradOperator,GPUExecutor,1268790.0,NeoN,with Allocation,0.03554213069144618
3DCube,N16,20,GradOperator,GPUExecutor,681885.0,NeoN,No allocation,0.06613358557528029
3DCube,N64,119,GradOperator,OpenFOAM,2901710.0,OpenFOAM,with Allocation,1.0
3DCube,N64,120,GradOperator,SerialExecutor,18905300.0,NeoN,with Allocation,0.15348658841700474
3DCube,N64,121,GradOperator,SerialExecutor,18374500.0,NeoN,No allocation,0.15792048763231653
3DCube,N64,122,GradOperator,CPUExecutor,19030800.0,NeoN,with Allocation,0.15247440990394517
3DCube,N64,123,GradOperator,CPUExecutor,18514000.0,NeoN,No allocation,0.15673058226207195
3DCube,N64,124,GradOperator,GPUExecutor,1641310.0,NeoN,with Allocation,1.767923183310892
3DCube,N64,125,GradOperator,GPUExecutor,965702.0,NeoN,No allocation,3.004767516273136
