MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N16,0,momentum,OpenFOAM,10299.6,OpenFOAM,without RHS,1.0
2DSquare,N16,1,momentum,OpenFOAM,17110.2,OpenFOAM,with RHS,0.6019567275660133
2DSquare,N16,2,momentum,SerialExecutor,70697.0,NeoN,without RHS,0.14568652135168395
2DSquare,N16,3,momentum,SerialExecutor,116949.0,NeoN,with RHS,0.08806915835107611
2DSquare,N16,4,momentum,GPUExecutor,1251000.0,NeoN,without RHS,0.008233093525179857
2DSquare,N16,5,momentum,GPUExecutor,2119240.0,NeoN,with RHS,0.0048600441667767695
2DSquare,N256,18,momentum,OpenFOAM,2330590.0,OpenFOAM,without RHS,1.0
2DSquare,N256,19,momentum,OpenFOAM,3167620.0,OpenFOAM,with RHS,0.7357542887088729
2DSquare,N256,20,momentum,SerialExecutor,8098890.0,NeoN,without RHS,0.2877665951753882
2DSquare,N256,21,momentum,SerialExecutor,15334000.0,NeoN,with RHS,0.15198839180905177
2DSquare,N256,22,momentum,GPUExecutor,1695680.0,NeoN,without RHS,1.374427958105303
2DSquare,N256,23,momentum,GPUExecutor,2955640.0,NeoN,with RHS,0.7885229594943904
2DSquare,N64,24,momentum,OpenFOAM,78249.4,OpenFOAM,without RHS,1.0
2DSquare,N64,25,momentum,OpenFOAM,131346.0,OpenFOAM,with RHS,0.5957501560763174
2DSquare,N64,26,momentum,SerialExecutor,537700.0,NeoN,without RHS,0.1455261298121629
2DSquare,N64,27,momentum,SerialExecutor,946437.0,NeoN,with RHS,0.08267787501967906
2DSquare,N64,28,momentum,GPUExecutor,1321180.0,NeoN,without RHS,0.05922690322287651
2DSquare,N64,29,momentum,GPUExecutor,2241640.0,NeoN,with RHS,0.03490721079209864
3DCube,N16,6,momentum,OpenFOAM,116336.0,OpenFOAM,without RHS,1.0
3DCube,N16,7,momentum,OpenFOAM,191385.0,OpenFOAM,with RHS,0.6078637301773911
3DCube,N16,8,momentum,SerialExecutor,785355.0,NeoN,without RHS,0.14813173660319218
3DCube,N16,9,momentum,SerialExecutor,1465220.0,NeoN,with RHS,0.07939831561130752
3DCube,N16,10,momentum,GPUExecutor,1336910.0,NeoN,without RHS,0.08701857267878915
3DCube,N16,11,momentum,GPUExecutor,2311630.0,NeoN,with RHS,0.050326393064634045
3DCube,N32,12,momentum,OpenFOAM,1482740.0,OpenFOAM,without RHS,1.0
3DCube,N32,13,momentum,OpenFOAM,2147640.0,OpenFOAM,with RHS,0.690404350822298
3DCube,N32,14,momentum,SerialExecutor,6323660.0,NeoN,without RHS,0.23447497177267596
3DCube,N32,15,momentum,SerialExecutor,11941100.0,NeoN,with RHS,0.12417114001222668
3DCube,N32,16,momentum,GPUExecutor,1643210.0,NeoN,without RHS,0.9023435835955234
3DCube,N32,17,momentum,GPUExecutor,2847590.0,NeoN,with RHS,0.5206999603173209
3DCube,N64,30,momentum,OpenFOAM,14153900.0,OpenFOAM,without RHS,1.0
3DCube,N64,31,momentum,OpenFOAM,21521600.0,OpenFOAM,with RHS,0.6576602111367185
3DCube,N64,32,momentum,SerialExecutor,63825400.0,NeoN,without RHS,0.22175967561503726
3DCube,N64,33,momentum,SerialExecutor,115339000.0,NeoN,with RHS,0.12271564691908202
3DCube,N64,34,momentum,GPUExecutor,3829590.0,NeoN,without RHS,3.695930895996699
3DCube,N64,35,momentum,GPUExecutor,7012390.0,NeoN,with RHS,2.018413123057902
