MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N128,36,DivOperator,OpenFOAM,77341.7,OpenFOAM,with Allocation,1.0
2DSquare,N128,37,DivOperator,SerialExecutor,541787.0,NeoN,with Allocation,0.1427529638031182
2DSquare,N128,38,DivOperator,SerialExecutor,476326.0,NeoN,No allocation,0.16237135911119693
2DSquare,N16,18,DivOperator,OpenFOAM,2143.84,OpenFOAM,with Allocation,1.0
2DSquare,N16,19,DivOperator,SerialExecutor,23510.5,NeoN,with Allocation,0.09118649114225559
2DSquare,N16,20,DivOperator,SerialExecutor,17477.0,NeoN,No allocation,0.12266636150369058
2DSquare,N256,54,DivOperator,OpenFOAM,514309.0,OpenFOAM,with Allocation,1.0
2DSquare,N256,55,DivOperator,SerialExecutor,2316100.0,NeoN,with Allocation,0.22205820128664566
2DSquare,N256,56,DivOperator,SerialExecutor,1936340.0,NeoN,No allocation,0.26560882902795996
2DSquare,N32,12,DivOperator,OpenFOAM,4984.31,OpenFOAM,with Allocation,1.0
2DSquare,N32,13,DivOperator,SerialExecutor,47198.3,NeoN,with Allocation,0.10560359165478418
2DSquare,N32,14,DivOperator,SerialExecutor,38597.7,NeoN,No allocation,0.12913489663891892
2DSquare,N512,24,DivOperator,OpenFOAM,2347200.0,OpenFOAM,with Allocation,1.0
2DSquare,N512,25,DivOperator,SerialExecutor,9080770.0,NeoN,with Allocation,0.2584802830596965
2DSquare,N512,26,DivOperator,SerialExecutor,7712350.0,NeoN,No allocation,0.3043430342243285
2DSquare,N64,6,DivOperator,OpenFOAM,19757.6,OpenFOAM,with Allocation,1.0
2DSquare,N64,7,DivOperator,SerialExecutor,136128.0,NeoN,with Allocation,0.14513986835919135
2DSquare,N64,8,DivOperator,SerialExecutor,124734.0,NeoN,No allocation,0.15839787066878316
2DSquare,N8,60,DivOperator,OpenFOAM,1118.18,OpenFOAM,with Allocation,1.0
2DSquare,N8,61,DivOperator,SerialExecutor,17838.4,NeoN,with Allocation,0.06268387299309355
2DSquare,N8,62,DivOperator,SerialExecutor,11516.0,NeoN,No allocation,0.09709795067731852
3DCube,N128,30,DivOperator,OpenFOAM,59805000.0,OpenFOAM,with Allocation,1.0
3DCube,N128,31,DivOperator,SerialExecutor,173356000.0,NeoN,with Allocation,0.3449837328964674
3DCube,N128,32,DivOperator,SerialExecutor,111460000.0,NeoN,No allocation,0.5365602009689575
3DCube,N16,48,DivOperator,OpenFOAM,33631.0,OpenFOAM,with Allocation,1.0
3DCube,N16,49,DivOperator,SerialExecutor,202832.0,NeoN,with Allocation,0.16580717046619864
3DCube,N16,50,DivOperator,SerialExecutor,187710.0,NeoN,No allocation,0.17916466890416066
3DCube,N32,42,DivOperator,OpenFOAM,334665.0,OpenFOAM,with Allocation,1.0
3DCube,N32,43,DivOperator,SerialExecutor,1728260.0,NeoN,with Allocation,0.19364273893974288
3DCube,N32,44,DivOperator,SerialExecutor,1494930.0,NeoN,No allocation,0.22386666934237723
3DCube,N64,66,DivOperator,OpenFOAM,3481320.0,OpenFOAM,with Allocation,1.0
3DCube,N64,67,DivOperator,SerialExecutor,13695400.0,NeoN,with Allocation,0.2541962994874191
3DCube,N64,68,DivOperator,SerialExecutor,11672600.0,NeoN,No allocation,0.2982471771499066
3DCube,N8,0,DivOperator,OpenFOAM,4201.12,OpenFOAM,with Allocation,1.0
3DCube,N8,1,DivOperator,SerialExecutor,40858.3,NeoN,with Allocation,0.10282170330140998
3DCube,N8,2,DivOperator,SerialExecutor,34104.3,NeoN,No allocation,0.12318446647490197
