MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N128,99,FaceInterpolation,OpenFOAM,19285.1,OpenFOAM,with Allocation,1.0
2DSquare,N128,100,FaceInterpolation,SerialExecutor,33603.4,NeoN,with Allocation,0.5739032359820732
2DSquare,N128,101,FaceInterpolation,SerialExecutor,18179.3,NeoN,No allocation,1.060827424598307
2DSquare,N16,54,FaceInterpolation,OpenFOAM,859.746,OpenFOAM,with Allocation,1.0
2DSquare,N16,55,FaceInterpolation,SerialExecutor,9181.35,NeoN,with Allocation,0.09364047770752666
2DSquare,N16,56,FaceInterpolation,SerialExecutor,440.139,NeoN,No allocation,1.953351100447813
2DSquare,N256,144,FaceInterpolation,OpenFOAM,155270.0,OpenFOAM,with Allocation,1.0
2DSquare,N256,145,FaceInterpolation,SerialExecutor,231694.0,NeoN,with Allocation,0.6701511476343798
2DSquare,N256,146,FaceInterpolation,SerialExecutor,140132.0,NeoN,No allocation,1.1080267176662004
2DSquare,N32,39,FaceInterpolation,OpenFOAM,1787.36,OpenFOAM,with Allocation,1.0
2DSquare,N32,40,FaceInterpolation,SerialExecutor,11006.5,NeoN,with Allocation,0.16239131422341344
2DSquare,N32,41,FaceInterpolation,SerialExecutor,1305.5,NeoN,No allocation,1.3690999617004977
2DSquare,N512,69,FaceInterpolation,OpenFOAM,450996.0,OpenFOAM,with Allocation,1.0
2DSquare,N512,70,FaceInterpolation,SerialExecutor,862633.0,NeoN,with Allocation,0.5228132937181861
2DSquare,N512,71,FaceInterpolation,SerialExecutor,565333.0,NeoN,No allocation,0.7977528288636963
2DSquare,N64,24,FaceInterpolation,OpenFOAM,5347.85,OpenFOAM,with Allocation,1.0
2DSquare,N64,25,FaceInterpolation,SerialExecutor,15442.4,NeoN,with Allocation,0.3463095114749003
2DSquare,N64,26,FaceInterpolation,SerialExecutor,4662.17,NeoN,No allocation,1.1470731440509463
2DSquare,N8,159,FaceInterpolation,OpenFOAM,621.335,OpenFOAM,with Allocation,1.0
2DSquare,N8,160,FaceInterpolation,SerialExecutor,8885.75,NeoN,with Allocation,0.06992487972315224
2DSquare,N8,161,FaceInterpolation,SerialExecutor,235.413,NeoN,No allocation,2.6393402233521512
3DCube,N128,84,FaceInterpolation,OpenFOAM,11272400.0,OpenFOAM,with Allocation,1.0
3DCube,N128,85,FaceInterpolation,SerialExecutor,15972200.0,NeoN,with Allocation,0.7057512427843378
3DCube,N128,86,FaceInterpolation,SerialExecutor,8343780.0,NeoN,No allocation,1.350994393428398
3DCube,N16,129,FaceInterpolation,OpenFOAM,7286.66,OpenFOAM,with Allocation,1.0
3DCube,N16,130,FaceInterpolation,SerialExecutor,19675.9,NeoN,with Allocation,0.3703342667933868
3DCube,N16,131,FaceInterpolation,SerialExecutor,7146.57,NeoN,No allocation,1.0196024106669352
3DCube,N32,114,FaceInterpolation,OpenFOAM,81014.8,OpenFOAM,with Allocation,1.0
3DCube,N32,115,FaceInterpolation,SerialExecutor,162538.0,NeoN,with Allocation,0.49843605802950697
3DCube,N32,116,FaceInterpolation,SerialExecutor,94849.4,NeoN,No allocation,0.8541414073257185
3DCube,N64,174,FaceInterpolation,OpenFOAM,812710.0,OpenFOAM,with Allocation,1.0
3DCube,N64,175,FaceInterpolation,SerialExecutor,1075200.0,NeoN,with Allocation,0.7558686755952381
3DCube,N64,176,FaceInterpolation,SerialExecutor,653939.0,NeoN,No allocation,1.2427917588643589
3DCube,N8,9,FaceInterpolation,OpenFOAM,1634.5,OpenFOAM,with Allocation,1.0
3DCube,N8,10,FaceInterpolation,SerialExecutor,11071.7,NeoN,with Allocation,0.1476286387817589
3DCube,N8,11,FaceInterpolation,SerialExecutor,1062.69,NeoN,No allocation,1.5380778966584798
