MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N128,170,FaceNormalGradient,OpenFOAM,18534.3,OpenFOAM,with Allocation,1.0
2DSquare,N128,171,FaceNormalGradient,SerialExecutor,34319.8,NeoN,with Allocation,0.5400468534198917
2DSquare,N128,172,FaceNormalGradient,SerialExecutor,17971.4,NeoN,No allocation,1.031321989383131
2DSquare,N128,173,FaceNormalGradient,CPUExecutor,40336.8,NeoN,with Allocation,0.45948860593800195
2DSquare,N128,174,FaceNormalGradient,CPUExecutor,18413.3,NeoN,No allocation,1.0065713370226956
2DSquare,N16,95,FaceNormalGradient,OpenFOAM,979.515,OpenFOAM,with Allocation,1.0
2DSquare,N16,96,FaceNormalGradient,SerialExecutor,9389.44,NeoN,with Allocation,0.10432091796741871
2DSquare,N16,97,FaceNormalGradient,SerialExecutor,398.591,NeoN,No allocation,2.4574438459473495
2DSquare,N16,98,FaceNormalGradient,CPUExecutor,9819.08,NeoN,with Allocation,0.09975629081339596
2DSquare,N16,99,FaceNormalGradient,CPUExecutor,595.789,NeoN,No allocation,1.6440635862696358
2DSquare,N256,245,FaceNormalGradient,OpenFOAM,109112.0,OpenFOAM,with Allocation,1.0
2DSquare,N256,246,FaceNormalGradient,SerialExecutor,184073.0,NeoN,with Allocation,0.5927648269979845
2DSquare,N256,247,FaceNormalGradient,SerialExecutor,128485.0,NeoN,No allocation,0.8492197532785928
2DSquare,N256,248,FaceNormalGradient,CPUExecutor,181886.0,NeoN,with Allocation,0.5998922401944075
2DSquare,N256,249,FaceNormalGradient,CPUExecutor,107684.0,NeoN,No allocation,1.0132610229932024
2DSquare,N32,70,FaceNormalGradient,OpenFOAM,1877.83,OpenFOAM,with Allocation,1.0
2DSquare,N32,71,FaceNormalGradient,SerialExecutor,11076.3,NeoN,with Allocation,0.16953585583633524
2DSquare,N32,72,FaceNormalGradient,SerialExecutor,1280.48,NeoN,No allocation,1.4665047482194176
2DSquare,N32,73,FaceNormalGradient,CPUExecutor,11361.2,NeoN,with Allocation,0.16528447699186705
2DSquare,N32,74,FaceNormalGradient,CPUExecutor,1563.47,NeoN,No allocation,1.201065578488874
2DSquare,N512,120,FaceNormalGradient,OpenFOAM,420286.0,OpenFOAM,with Allocation,1.0
2DSquare,N512,121,FaceNormalGradient,SerialExecutor,735844.0,NeoN,with Allocation,0.5711618223427791
2DSquare,N512,122,FaceNormalGradient,SerialExecutor,480331.0,NeoN,No allocation,0.8749924531208687
2DSquare,N512,123,FaceNormalGradient,CPUExecutor,699018.0,NeoN,with Allocation,0.6012520421505598
2DSquare,N512,124,FaceNormalGradient,CPUExecutor,424950.0,NeoN,No allocation,0.989024591128368
2DSquare,N64,45,FaceNormalGradient,OpenFOAM,5209.88,OpenFOAM,with Allocation,1.0
2DSquare,N64,46,FaceNormalGradient,SerialExecutor,15436.2,NeoN,with Allocation,0.3375105272022907
2DSquare,N64,47,FaceNormalGradient,SerialExecutor,4620.8,NeoN,No allocation,1.1274844182825485
2DSquare,N64,48,FaceNormalGradient,CPUExecutor,16154.9,NeoN,with Allocation,0.32249534197054763
