MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N128,65,LaplacianOperator,OpenFOAM,68226.5,OpenFOAM,with Allocation,1.0
2DSquare,N128,66,LaplacianOperator,SerialExecutor,1685090.0,NeoN,with Allocation,0.040488341868980295
2DSquare,N128,67,LaplacianOperator,SerialExecutor,452439.0,NeoN,No allocation,0.15079712403218998
2DSquare,N128,68,LaplacianOperator,CPUExecutor,1739560.0,NeoN,with Allocation,0.039220550024144034
2DSquare,N128,69,LaplacianOperator,CPUExecutor,463241.0,NeoN,No allocation,0.14728078904932854
2DSquare,N16,35,LaplacianOperator,OpenFOAM,2767.57,OpenFOAM,with Allocation,1.0
2DSquare,N16,36,LaplacianOperator,SerialExecutor,48274.3,NeoN,with Allocation,0.057330090752222194
2DSquare,N16,37,LaplacianOperator,SerialExecutor,7649.02,NeoN,No allocation,0.36182020703305784
2DSquare,N16,38,LaplacianOperator,CPUExecutor,52027.4,NeoN,with Allocation,0.05319447060587306
2DSquare,N16,39,LaplacianOperator,CPUExecutor,8275.0,NeoN,No allocation,0.3344495468277946
2DSquare,N256,95,LaplacianOperator,OpenFOAM,422339.0,OpenFOAM,with Allocation,1.0
2DSquare,N256,96,LaplacianOperator,SerialExecutor,7015030.0,NeoN,with Allocation,0.06020487439112876
2DSquare,N256,97,LaplacianOperator,SerialExecutor,1859330.0,NeoN,No allocation,0.22714579983112196
2DSquare,N256,98,LaplacianOperator,CPUExecutor,7228690.0,NeoN,with Allocation,0.05842538551245108
2DSquare,N256,99,LaplacianOperator,CPUExecutor,1872850.0,NeoN,No allocation,0.22550604693381746
2DSquare,N32,25,LaplacianOperator,OpenFOAM,5645.45,OpenFOAM,with Allocation,1.0
2DSquare,N32,26,LaplacianOperator,SerialExecutor,122465.0,NeoN,with Allocation,0.04609847711591067
2DSquare,N32,27,LaplacianOperator,SerialExecutor,28906.6,NeoN,No allocation,0.195299689344302
2DSquare,N32,28,LaplacianOperator,CPUExecutor,128315.0,NeoN,with Allocation,0.043996804738339244
2DSquare,N32,29,LaplacianOperator,CPUExecutor,30133.8,NeoN,No allocation,0.1873461030470767
2DSquare,N512,45,LaplacianOperator,OpenFOAM,1719610.0,OpenFOAM,with Allocation,1.0
2DSquare,N512,46,LaplacianOperator,SerialExecutor,28075100.0,NeoN,with Allocation,0.06125036063985524
2DSquare,N512,47,LaplacianOperator,SerialExecutor,7430880.0,NeoN,No allocation,0.23141404517365372
2DSquare,N512,48,LaplacianOperator,CPUExecutor,28861900.0,NeoN,with Allocation,0.05958062359026953
2DSquare,N512,49,LaplacianOperator,CPUExecutor,7513070.0,NeoN,No allocation,0.2288824674866599
2DSquare,N64,15,LaplacianOperator,OpenFOAM,16352.8,OpenFOAM,with Allocation,1.0
2DSquare,N64,16,LaplacianOperator,SerialExecutor,421809.0,NeoN,with Allocation,0.03876825767112603
2DSquare,N64,17,LaplacianOperator,SerialExecutor,112880.0,NeoN,No allocation,0.14486888731396172
2DSquare,N64,18,LaplacianOperator,CPUExecutor,440249.0,NeoN,with Allocation,0.037144434172479666
2DSquare,N64,19,LaplacianOperator,CPUExecutor,116897.0,NeoN,No allocation,0.1398906729856198
2DSquare,N8,105,LaplacianOperator,OpenFOAM,1813.22,OpenFOAM,with Allocation,1.0
2DSquare,N8,106,LaplacianOperator,SerialExecutor,30059.0,NeoN,with Allocation,0.06032203333444226
2DSquare,N8,107,LaplacianOperator,SerialExecutor,2245.52,NeoN,No allocation,0.8074833446150558
2DSquare,N8,108,LaplacianOperator,CPUExecutor,30973.5,NeoN,with Allocation,0.05854101086412579
2DSquare,N8,109,LaplacianOperator,CPUExecutor,2640.08,NeoN,No allocation,0.6868049453046877
3DCube,N128,55,LaplacianOperator,OpenFOAM,45783600.0,OpenFOAM,with Allocation,1.0
3DCube,N128,56,LaplacianOperator,SerialExecutor,440029000.0,NeoN,with Allocation,0.10404677873503791
3DCube,N128,57,LaplacianOperator,SerialExecutor,97446900.0,NeoN,No allocation,0.4698312619488152
3DCube,N128,58,LaplacianOperator,CPUExecutor,449496000.0,NeoN,with Allocation,0.10185541139409472
3DCube,N128,59,LaplacianOperator,CPUExecutor,99218200.0,NeoN,No allocation,0.4614435657974041
3DCube,N16,85,LaplacianOperator,OpenFOAM,24795.2,OpenFOAM,with Allocation,1.0
3DCube,N16,86,LaplacianOperator,SerialExecutor,598459.0,NeoN,with Allocation,0.04143174386215263
3DCube,N16,87,LaplacianOperator,SerialExecutor,173518.0,NeoN,No allocation,0.14289699051395244
3DCube,N16,88,LaplacianOperator,CPUExecutor,626566.0,NeoN,with Allocation,0.03957316547658188
3DCube,N16,89,LaplacianOperator,CPUExecutor,179249.0,NeoN,No allocation,0.13832824729845075
3DCube,N32,75,LaplacianOperator,OpenFOAM,308169.0,OpenFOAM,with Allocation,1.0
3DCube,N32,76,LaplacianOperator,SerialExecutor,5112160.0,NeoN,with Allocation,0.06028156395730963
3DCube,N32,77,LaplacianOperator,SerialExecutor,1407760.0,NeoN,No allocation,0.21890734216059557
3DCube,N32,78,LaplacianOperator,CPUExecutor,5276830.0,NeoN,with Allocation,0.058400403272419237
3DCube,N32,79,LaplacianOperator,CPUExecutor,1428710.0,NeoN,No allocation,0.21569737735439662
3DCube,N64,115,LaplacianOperator,OpenFOAM,2574910.0,OpenFOAM,with Allocation,1.0
3DCube,N64,116,LaplacianOperator,SerialExecutor,41656300.0,NeoN,with Allocation,0.061813219128919274
3DCube,N64,117,LaplacianOperator,SerialExecutor,11154700.0,NeoN,No allocation,0.23083632908101517
3DCube,N64,118,LaplacianOperator,CPUExecutor,42893800.0,NeoN,with Allocation,0.060029887769327966
3DCube,N64,119,LaplacianOperator,CPUExecutor,11228700.0,NeoN,No allocation,0.22931505873342417
3DCube,N8,5,LaplacianOperator,OpenFOAM,5239.13,OpenFOAM,with Allocation,1.0
3DCube,N8,6,LaplacianOperator,SerialExecutor,93725.0,NeoN,with Allocation,0.05589895972259269
3DCube,N8,7,LaplacianOperator,SerialExecutor,22935.4,NeoN,No allocation,0.2284298507983292
3DCube,N8,8,LaplacianOperator,CPUExecutor,97347.9,NeoN,with Allocation,0.053818623719669355
3DCube,N8,9,LaplacianOperator,CPUExecutor,24232.7,NeoN,No allocation,0.21620083606036472
