MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N128,12,Poisson,OpenFOAM,155576.0,OpenFOAM,Poisson,1.0
2DSquare,N128,13,Poisson,SerialExecutor,83630.6,NeoN,Poisson,1.8602760233694364
2DSquare,N16,6,Poisson,OpenFOAM,5157.55,OpenFOAM,Poisson,1.0
2DSquare,N16,7,Poisson,SerialExecutor,17800.8,NeoN,Poisson,0.28973697811334326
2DSquare,N256,18,Poisson,OpenFOAM,741932.0,OpenFOAM,Poisson,1.0
2DSquare,N256,19,Poisson,SerialExecutor,498066.0,NeoN,Poisson,1.4896258728762855
2DSquare,N32,4,Poisson,OpenFOAM,11127.5,OpenFOAM,Poisson,1.0
2DSquare,N32,5,Poisson,SerialExecutor,20885.7,NeoN,Poisson,0.5327808021756513
2DSquare,N512,8,Poisson,OpenFOAM,3184970.0,OpenFOAM,Poisson,1.0
2DSquare,N512,9,Poisson,SerialExecutor,1796410.0,NeoN,Poisson,1.7729638556899594
2DSquare,N64,2,Poisson,OpenFOAM,35083.5,OpenFOAM,Poisson,1.0
2DSquare,N64,3,Poisson,SerialExecutor,28922.6,NeoN,Poisson,1.213013352879755
2DSquare,N8,20,Poisson,OpenFOAM,3341.99,OpenFOAM,Poisson,1.0
2DSquare,N8,21,Poisson,SerialExecutor,16674.3,NeoN,Poisson,0.20042760415729596
3DCube,N128,10,Poisson,OpenFOAM,87070200.0,OpenFOAM,Poisson,1.0
3DCube,N128,11,Poisson,SerialExecutor,74319400.0,NeoN,Poisson,1.1715675853141978
3DCube,N16,16,Poisson,OpenFOAM,52339.5,OpenFOAM,Poisson,1.0
3DCube,N16,17,Poisson,SerialExecutor,32632.1,NeoN,Poisson,1.603926808265481
3DCube,N32,14,Poisson,OpenFOAM,534243.0,OpenFOAM,Poisson,1.0
3DCube,N32,15,Poisson,SerialExecutor,320327.0,NeoN,Poisson,1.667805086677052
3DCube,N64,22,Poisson,OpenFOAM,4608930.0,OpenFOAM,Poisson,1.0
3DCube,N64,23,Poisson,SerialExecutor,2446380.0,NeoN,Poisson,1.8839795943393913
3DCube,N8,0,Poisson,OpenFOAM,10707.6,OpenFOAM,Poisson,1.0
3DCube,N8,1,Poisson,SerialExecutor,19732.1,NeoN,Poisson,0.5426487804136407
