MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N128,24,momentum,OpenFOAM,413817.0,OpenFOAM,without RHS,1.0
2DSquare,N128,25,momentum,OpenFOAM,664279.0,OpenFOAM,with RHS,0.6229566191314192
2DSquare,N128,26,momentum,SerialExecutor,2158230.0,NeoN,without RHS,0.1917390639551855
2DSquare,N128,27,momentum,SerialExecutor,4077300.0,NeoN,with RHS,0.1014928997130454
2DSquare,N16,12,momentum,OpenFOAM,10470.2,OpenFOAM,without RHS,1.0
2DSquare,N16,13,momentum,OpenFOAM,15352.5,OpenFOAM,with RHS,0.6819866471258753
2DSquare,N16,14,momentum,SerialExecutor,66455.4,NeoN,without RHS,0.15755228318541462
2DSquare,N16,15,momentum,SerialExecutor,107228.0,NeoN,with RHS,0.09764427201850263
2DSquare,N256,36,momentum,OpenFOAM,2165710.0,OpenFOAM,without RHS,1.0
2DSquare,N256,37,momentum,OpenFOAM,3191260.0,OpenFOAM,with RHS,0.6786379047774234
2DSquare,N256,38,momentum,SerialExecutor,8474600.0,NeoN,without RHS,0.2555530644514195
2DSquare,N256,39,momentum,SerialExecutor,15962000.0,NeoN,with RHS,0.13567911289312115
2DSquare,N32,8,momentum,OpenFOAM,23461.5,OpenFOAM,without RHS,1.0
2DSquare,N32,9,momentum,OpenFOAM,35970.4,OpenFOAM,with RHS,0.6522446233569824
2DSquare,N32,10,momentum,SerialExecutor,156149.0,NeoN,without RHS,0.15025072206674395
2DSquare,N32,11,momentum,SerialExecutor,276747.0,NeoN,with RHS,0.08477598673156349
2DSquare,N512,16,momentum,OpenFOAM,9489950.0,OpenFOAM,without RHS,1.0
2DSquare,N512,17,momentum,OpenFOAM,14400700.0,OpenFOAM,with RHS,0.6589922712090385
2DSquare,N512,18,momentum,SerialExecutor,37317700.0,NeoN,without RHS,0.25430157807153175
2DSquare,N512,19,momentum,SerialExecutor,68166300.0,NeoN,with RHS,0.1392176192634777
2DSquare,N64,4,momentum,OpenFOAM,80350.9,OpenFOAM,without RHS,1.0
2DSquare,N64,5,momentum,OpenFOAM,124084.0,OpenFOAM,with RHS,0.6475524644595596
2DSquare,N64,6,momentum,SerialExecutor,530170.0,NeoN,without RHS,0.1515568591206594
2DSquare,N64,7,momentum,SerialExecutor,980314.0,NeoN,with RHS,0.08196445220612987
2DSquare,N8,40,momentum,OpenFOAM,6284.37,OpenFOAM,without RHS,1.0
2DSquare,N8,41,momentum,OpenFOAM,9039.51,OpenFOAM,with RHS,0.6952113554827639
2DSquare,N8,42,momentum,SerialExecutor,42626.8,NeoN,without RHS,0.14742767460846226
2DSquare,N8,43,momentum,SerialExecutor,63537.2,NeoN,with RHS,0.09890851343779707
3DCube,N128,20,momentum,OpenFOAM,247760000.0,OpenFOAM,without RHS,1.0
3DCube,N128,21,momentum,OpenFOAM,348625000.0,OpenFOAM,with RHS,0.7106776622445321
3DCube,N128,22,momentum,SerialExecutor,612725000.0,NeoN,without RHS,0.40435758292872004
3DCube,N128,23,momentum,SerialExecutor,1087440000.0,NeoN,with RHS,0.22783785772088574
3DCube,N16,32,momentum,OpenFOAM,117591.0,OpenFOAM,without RHS,1.0
3DCube,N16,33,momentum,OpenFOAM,193158.0,OpenFOAM,with RHS,0.6087814121082222
3DCube,N16,34,momentum,SerialExecutor,819801.0,NeoN,without RHS,0.14343846860396609
3DCube,N16,35,momentum,SerialExecutor,1529620.0,NeoN,with RHS,0.07687595611982061
3DCube,N32,28,momentum,OpenFOAM,1392140.0,OpenFOAM,without RHS,1.0
3DCube,N32,29,momentum,OpenFOAM,2013130.0,OpenFOAM,with RHS,0.6915301048615837
3DCube,N32,30,momentum,SerialExecutor,6339060.0,NeoN,without RHS,0.219613002558739
3DCube,N32,31,momentum,SerialExecutor,12098400.0,NeoN,with RHS,0.115068108179594
3DCube,N64,44,momentum,OpenFOAM,12934100.0,OpenFOAM,without RHS,1.0
3DCube,N64,45,momentum,OpenFOAM,19599200.0,OpenFOAM,with RHS,0.6599299971427405
3DCube,N64,46,momentum,SerialExecutor,64177400.0,NeoN,without RHS,0.20153667802061162
3DCube,N64,47,momentum,SerialExecutor,116045000.0,NeoN,with RHS,0.11145762419750958
3DCube,N8,0,momentum,OpenFOAM,21626.4,OpenFOAM,without RHS,1.0
3DCube,N8,1,momentum,OpenFOAM,33312.1,OpenFOAM,with RHS,0.6492055439314844
3DCube,N8,2,momentum,SerialExecutor,131599.0,NeoN,without RHS,0.1643355952552831
3DCube,N8,3,momentum,SerialExecutor,232937.0,NeoN,with RHS,0.0928422706568729
