MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N128,36,pressureVelocityCoupling,CPU,25041.6,OpenFOAM,Compute rAU,
2DSquare,N128,37,pressureVelocityCoupling,CPU,227146.0,OpenFOAM,Compute HbyA,
2DSquare,N128,38,pressureVelocityCoupling,CPU,244104.0,OpenFOAM,constrainHbyA,
2DSquare,N128,39,pressureVelocityCoupling,SerialExecutor,153913.0,NeoN,Compute rAU,
2DSquare,N128,40,pressureVelocityCoupling,SerialExecutor,342776.0,NeoN,Compute HbyA,
2DSquare,N128,41,pressureVelocityCoupling,SerialExecutor,60.112,NeoN,constrainHbyA,
2DSquare,N16,18,pressureVelocityCoupling,CPU,1344.53,OpenFOAM,Compute rAU,
2DSquare,N16,19,pressureVelocityCoupling,CPU,4605.98,OpenFOAM,Compute HbyA,
2DSquare,N16,20,pressureVelocityCoupling,CPU,4600.03,OpenFOAM,constrainHbyA,
2DSquare,N16,21,pressureVelocityCoupling,SerialExecutor,11467.3,NeoN,Compute rAU,
2DSquare,N16,22,pressureVelocityCoupling,SerialExecutor,35489.4,NeoN,Compute HbyA,
2DSquare,N16,23,pressureVelocityCoupling,SerialExecutor,60.6456,NeoN,constrainHbyA,
2DSquare,N256,54,pressureVelocityCoupling,CPU,110245.0,OpenFOAM,Compute rAU,
2DSquare,N256,55,pressureVelocityCoupling,CPU,1242960.0,OpenFOAM,Compute HbyA,
2DSquare,N256,56,pressureVelocityCoupling,CPU,1243010.0,OpenFOAM,constrainHbyA,
2DSquare,N256,57,pressureVelocityCoupling,SerialExecutor,662237.0,NeoN,Compute rAU,
2DSquare,N256,58,pressureVelocityCoupling,SerialExecutor,1465920.0,NeoN,Compute HbyA,
2DSquare,N256,59,pressureVelocityCoupling,SerialExecutor,60.2872,NeoN,constrainHbyA,
2DSquare,N32,12,pressureVelocityCoupling,CPU,2410.48,OpenFOAM,Compute rAU,
2DSquare,N32,13,pressureVelocityCoupling,CPU,14119.3,OpenFOAM,Compute HbyA,
2DSquare,N32,14,pressureVelocityCoupling,CPU,14216.5,OpenFOAM,constrainHbyA,
2DSquare,N32,15,pressureVelocityCoupling,SerialExecutor,15100.8,NeoN,Compute rAU,
2DSquare,N32,16,pressureVelocityCoupling,SerialExecutor,45468.2,NeoN,Compute HbyA,
2DSquare,N32,17,pressureVelocityCoupling,SerialExecutor,60.4648,NeoN,constrainHbyA,
2DSquare,N512,24,pressureVelocityCoupling,CPU,575113.0,OpenFOAM,Compute rAU,
2DSquare,N512,25,pressureVelocityCoupling,CPU,5453100.0,OpenFOAM,Compute HbyA,
2DSquare,N512,26,pressureVelocityCoupling,CPU,5475290.0,OpenFOAM,constrainHbyA,
2DSquare,N512,27,pressureVelocityCoupling,SerialExecutor,2753880.0,NeoN,Compute rAU,
2DSquare,N512,28,pressureVelocityCoupling,SerialExecutor,5930830.0,NeoN,Compute HbyA,
2DSquare,N512,29,pressureVelocityCoupling,SerialExecutor,59.8572,NeoN,constrainHbyA,
2DSquare,N64,6,pressureVelocityCoupling,CPU,7300.86,OpenFOAM,Compute rAU,
2DSquare,N64,7,pressureVelocityCoupling,CPU,52915.1,OpenFOAM,Compute HbyA,
2DSquare,N64,8,pressureVelocityCoupling,CPU,52725.9,OpenFOAM,constrainHbyA,
2DSquare,N64,9,pressureVelocityCoupling,SerialExecutor,26652.4,NeoN,Compute rAU,
2DSquare,N64,10,pressureVelocityCoupling,SerialExecutor,81641.8,NeoN,Compute HbyA,
2DSquare,N64,11,pressureVelocityCoupling,SerialExecutor,59.5976,NeoN,constrainHbyA,
2DSquare,N8,60,pressureVelocityCoupling,CPU,1044.12,OpenFOAM,Compute rAU,
2DSquare,N8,61,pressureVelocityCoupling,CPU,2197.37,OpenFOAM,Compute HbyA,
2DSquare,N8,62,pressureVelocityCoupling,CPU,2131.67,OpenFOAM,constrainHbyA,
2DSquare,N8,63,pressureVelocityCoupling,SerialExecutor,10389.3,NeoN,Compute rAU,
2DSquare,N8,64,pressureVelocityCoupling,SerialExecutor,30784.4,NeoN,Compute HbyA,
2DSquare,N8,65,pressureVelocityCoupling,SerialExecutor,62.0314,NeoN,constrainHbyA,
3DCube,N128,30,pressureVelocityCoupling,CPU,5313880.0,OpenFOAM,Compute rAU,
3DCube,N128,31,pressureVelocityCoupling,CPU,94892900.0,OpenFOAM,Compute HbyA,
3DCube,N128,32,pressureVelocityCoupling,CPU,94861000.0,OpenFOAM,constrainHbyA,
