MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N512,105,DivOperator,OpenFOAM,1417010.0,OpenFOAM,with Allocation,1.0
2DSquare,N512,106,DivOperator,SerialExecutor,2224910.0,NeoN,with Allocation,0.6368841885739198
2DSquare,N512,107,DivOperator,SerialExecutor,2032640.0,NeoN,No allocation,0.6971278731108312
2DSquare,N512,108,DivOperator,CPUExecutor,8451720.0,NeoN,with Allocation,0.16765936401111253
2DSquare,N512,109,DivOperator,CPUExecutor,8294690.0,NeoN,No allocation,0.17083338858956754
2DSquare,N512,110,DivOperator,GPUExecutor,948368.0,NeoN,with Allocation,1.4941562768882966
2DSquare,N512,111,DivOperator,GPUExecutor,506531.0,NeoN,No allocation,2.797479325056117
2DSquare,N64,0,DivOperator,OpenFOAM,40204.6,OpenFOAM,with Allocation,1.0
2DSquare,N64,1,DivOperator,SerialExecutor,70938.6,NeoN,with Allocation,0.5667520926547747
2DSquare,N64,2,DivOperator,SerialExecutor,50400.5,NeoN,No allocation,0.7977024037459945
2DSquare,N64,3,DivOperator,CPUExecutor,162923.0,NeoN,with Allocation,0.24677056032604358
2DSquare,N64,4,DivOperator,CPUExecutor,140729.0,NeoN,No allocation,0.2856880955595506
2DSquare,N64,5,DivOperator,GPUExecutor,458665.0,NeoN,with Allocation,0.08765569642331549
2DSquare,N64,6,DivOperator,GPUExecutor,240030.0,NeoN,No allocation,0.16749822938799316
3DCube,N16,70,DivOperator,OpenFOAM,30006.0,OpenFOAM,with Allocation,1.0
3DCube,N16,71,DivOperator,SerialExecutor,87171.0,NeoN,with Allocation,0.3442199814158378
3DCube,N16,72,DivOperator,SerialExecutor,65994.5,NeoN,No allocation,0.4546742531574601
3DCube,N16,73,DivOperator,CPUExecutor,223000.0,NeoN,with Allocation,0.1345560538116592
3DCube,N16,74,DivOperator,CPUExecutor,200865.0,NeoN,No allocation,0.14938391456948696
3DCube,N16,75,DivOperator,GPUExecutor,468524.0,NeoN,with Allocation,0.06404367759175623
3DCube,N16,76,DivOperator,GPUExecutor,244774.0,NeoN,No allocation,0.12258654922499938
3DCube,N64,35,DivOperator,OpenFOAM,2063650.0,OpenFOAM,with Allocation,1.0
3DCube,N64,36,DivOperator,SerialExecutor,3183600.0,NeoN,with Allocation,0.6482127151652217
3DCube,N64,37,DivOperator,SerialExecutor,2958780.0,NeoN,No allocation,0.6974665233643597
3DCube,N64,38,DivOperator,CPUExecutor,12410200.0,NeoN,with Allocation,0.16628660295563327
3DCube,N64,39,DivOperator,CPUExecutor,12288500.0,NeoN,No allocation,0.1679334336981731
3DCube,N64,40,DivOperator,GPUExecutor,1138440.0,NeoN,with Allocation,1.8126998348617407
3DCube,N64,41,DivOperator,GPUExecutor,589389.0,NeoN,No allocation,3.5013378261216275
