MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N512,126,FaceInterpolation,OpenFOAM,382487.0,OpenFOAM,with Allocation,1.0
2DSquare,N512,127,FaceInterpolation,SerialExecutor,1028870.0,NeoN,with Allocation,0.3717544490557602
2DSquare,N512,128,FaceInterpolation,SerialExecutor,833354.0,NeoN,No allocation,0.45897301746916674
2DSquare,N512,129,FaceInterpolation,CPUExecutor,1318590.0,NeoN,with Allocation,0.29007272920316396
2DSquare,N512,130,FaceInterpolation,CPUExecutor,1066530.0,NeoN,No allocation,0.3586275116499301
2DSquare,N512,131,FaceInterpolation,GPUExecutor,509088.0,NeoN,with Allocation,0.7513180432459614
2DSquare,N512,132,FaceInterpolation,GPUExecutor,10535.5,NeoN,No allocation,36.304589245882966
2DSquare,N64,21,FaceInterpolation,OpenFOAM,5064.92,OpenFOAM,with Allocation,1.0
2DSquare,N64,22,FaceInterpolation,SerialExecutor,36908.2,NeoN,with Allocation,0.13723020900504496
2DSquare,N64,23,FaceInterpolation,SerialExecutor,12226.1,NeoN,No allocation,0.4142711085301118
2DSquare,N64,24,FaceInterpolation,CPUExecutor,40783.9,NeoN,with Allocation,0.12418920211161757
2DSquare,N64,25,FaceInterpolation,CPUExecutor,16148.1,NeoN,No allocation,0.31365423795988384
2DSquare,N64,26,FaceInterpolation,GPUExecutor,221607.0,NeoN,with Allocation,0.022855415217028344
2DSquare,N64,27,FaceInterpolation,GPUExecutor,6889.72,NeoN,No allocation,0.7351416312999657
3DCube,N16,91,FaceInterpolation,OpenFOAM,7202.05,OpenFOAM,with Allocation,1.0
3DCube,N16,92,FaceInterpolation,SerialExecutor,46097.9,NeoN,with Allocation,0.1562337980688925
3DCube,N16,93,FaceInterpolation,SerialExecutor,18812.9,NeoN,No allocation,0.38282508278893734
3DCube,N16,94,FaceInterpolation,CPUExecutor,51890.8,NeoN,with Allocation,0.13879242563228933
3DCube,N16,95,FaceInterpolation,CPUExecutor,24636.6,NeoN,No allocation,0.29233132818651925
3DCube,N16,96,FaceInterpolation,GPUExecutor,223799.0,NeoN,with Allocation,0.03218088552674498
3DCube,N16,97,FaceInterpolation,GPUExecutor,6891.84,NeoN,No allocation,1.0450112016529693
3DCube,N64,56,FaceInterpolation,OpenFOAM,539853.0,OpenFOAM,with Allocation,1.0
3DCube,N64,57,FaceInterpolation,SerialExecutor,1598550.0,NeoN,with Allocation,0.3377141784742423
3DCube,N64,58,FaceInterpolation,SerialExecutor,1285570.0,NeoN,No allocation,0.4199327924578203
3DCube,N64,59,FaceInterpolation,CPUExecutor,1930750.0,NeoN,with Allocation,0.27960792438171694
3DCube,N64,60,FaceInterpolation,CPUExecutor,1498620.0,NeoN,No allocation,0.36023341474156223
3DCube,N64,61,FaceInterpolation,GPUExecutor,686875.0,NeoN,with Allocation,0.7859552320291174
3DCube,N64,62,FaceInterpolation,GPUExecutor,12263.0,NeoN,No allocation,44.02291445812607
