MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N512,133,FaceNormalGradient,OpenFOAM,386649.0,OpenFOAM,with Allocation,1.0
2DSquare,N512,134,FaceNormalGradient,SerialExecutor,1063680.0,NeoN,with Allocation,0.36350124097472925
2DSquare,N512,135,FaceNormalGradient,SerialExecutor,799811.0,NeoN,No allocation,0.4834254592647513
2DSquare,N512,136,FaceNormalGradient,CPUExecutor,1207340.0,NeoN,with Allocation,0.3202486457832922
2DSquare,N512,137,FaceNormalGradient,CPUExecutor,941730.0,NeoN,No allocation,0.41057309419897425
2DSquare,N512,138,FaceNormalGradient,GPUExecutor,508342.0,NeoN,with Allocation,0.7606080158633362
2DSquare,N512,139,FaceNormalGradient,GPUExecutor,11660.5,NeoN,No allocation,33.1588696882638
2DSquare,N64,28,FaceNormalGradient,OpenFOAM,5769.68,OpenFOAM,with Allocation,1.0
2DSquare,N64,29,FaceNormalGradient,SerialExecutor,38054.2,NeoN,with Allocation,0.1516174298763343
2DSquare,N64,30,FaceNormalGradient,SerialExecutor,12901.7,NeoN,No allocation,0.44720308176441864
2DSquare,N64,31,FaceNormalGradient,CPUExecutor,41056.2,NeoN,with Allocation,0.14053127176894112
2DSquare,N64,32,FaceNormalGradient,CPUExecutor,15824.1,NeoN,No allocation,0.3646134693284294
2DSquare,N64,33,FaceNormalGradient,GPUExecutor,225857.0,NeoN,with Allocation,0.025545721407793428
2DSquare,N64,34,FaceNormalGradient,GPUExecutor,8932.62,NeoN,No allocation,0.6459112779901082
3DCube,N16,98,FaceNormalGradient,OpenFOAM,8754.55,OpenFOAM,with Allocation,1.0
3DCube,N16,99,FaceNormalGradient,SerialExecutor,47167.6,NeoN,with Allocation,0.18560516116995565
3DCube,N16,100,FaceNormalGradient,SerialExecutor,20110.7,NeoN,No allocation,0.4353180147881476
3DCube,N16,101,FaceNormalGradient,CPUExecutor,52008.1,NeoN,with Allocation,0.16833051005516447
3DCube,N16,102,FaceNormalGradient,CPUExecutor,25061.0,NeoN,No allocation,0.349329635688919
3DCube,N16,103,FaceNormalGradient,GPUExecutor,224772.0,NeoN,with Allocation,0.03894857900450234
3DCube,N16,104,FaceNormalGradient,GPUExecutor,9073.91,NeoN,No allocation,0.9648045880992868
3DCube,N64,63,FaceNormalGradient,OpenFOAM,569231.0,OpenFOAM,with Allocation,1.0
3DCube,N64,64,FaceNormalGradient,SerialExecutor,1672420.0,NeoN,with Allocation,0.3403636646296983
3DCube,N64,65,FaceNormalGradient,SerialExecutor,1244040.0,NeoN,No allocation,0.4575664769621556
3DCube,N64,66,FaceNormalGradient,CPUExecutor,1891290.0,NeoN,with Allocation,0.3009749959022678
3DCube,N64,67,FaceNormalGradient,CPUExecutor,1531240.0,NeoN,No allocation,0.37174512160079415
3DCube,N64,68,FaceNormalGradient,GPUExecutor,589267.0,NeoN,with Allocation,0.9659984353442497
3DCube,N64,69,FaceNormalGradient,GPUExecutor,13021.1,NeoN,No allocation,43.71604549538825
