MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N512,119,GradOperator,OpenFOAM,2388320.0,OpenFOAM,with Allocation,1.0
2DSquare,N512,120,GradOperator,SerialExecutor,13991000.0,NeoN,with Allocation,0.1707040240154385
2DSquare,N512,121,GradOperator,SerialExecutor,13291700.0,NeoN,No allocation,0.17968506662052258
2DSquare,N512,122,GradOperator,CPUExecutor,14256400.0,NeoN,with Allocation,0.16752616368788756
2DSquare,N512,123,GradOperator,CPUExecutor,13878000.0,NeoN,No allocation,0.1720939616659461
2DSquare,N512,124,GradOperator,GPUExecutor,1160980.0,NeoN,with Allocation,2.0571586073834176
2DSquare,N512,125,GradOperator,GPUExecutor,552564.0,NeoN,No allocation,4.322250454246024
2DSquare,N64,14,GradOperator,OpenFOAM,31415.7,OpenFOAM,with Allocation,1.0
2DSquare,N64,15,GradOperator,SerialExecutor,251220.0,NeoN,with Allocation,0.125052543587294
2DSquare,N64,16,GradOperator,SerialExecutor,227395.0,NeoN,No allocation,0.13815475274302425
2DSquare,N64,17,GradOperator,CPUExecutor,269949.0,NeoN,with Allocation,0.11637642665836881
2DSquare,N64,18,GradOperator,CPUExecutor,239772.0,NeoN,No allocation,0.1310232220609579
2DSquare,N64,19,GradOperator,GPUExecutor,458817.0,NeoN,with Allocation,0.06847108978089304
2DSquare,N64,20,GradOperator,GPUExecutor,243124.0,NeoN,No allocation,0.12921677826952502
3DCube,N16,84,GradOperator,OpenFOAM,51202.7,OpenFOAM,with Allocation,1.0
3DCube,N16,85,GradOperator,SerialExecutor,357886.0,NeoN,with Allocation,0.14306986023482338
3DCube,N16,86,GradOperator,SerialExecutor,329192.0,NeoN,No allocation,0.15554053561447423
3DCube,N16,87,GradOperator,CPUExecutor,378117.0,NeoN,with Allocation,0.13541496415130766
3DCube,N16,88,GradOperator,CPUExecutor,344518.0,NeoN,No allocation,0.14862126216917548
3DCube,N16,89,GradOperator,GPUExecutor,473366.0,NeoN,with Allocation,0.10816725324590275
3DCube,N16,90,GradOperator,GPUExecutor,245268.0,NeoN,No allocation,0.20876225190403966
3DCube,N64,49,GradOperator,OpenFOAM,3381350.0,OpenFOAM,with Allocation,1.0
3DCube,N64,50,GradOperator,SerialExecutor,20600900.0,NeoN,with Allocation,0.16413603289176687
3DCube,N64,51,GradOperator,SerialExecutor,20217900.0,NeoN,No allocation,0.16724536178337018
3DCube,N64,52,GradOperator,CPUExecutor,21367900.0,NeoN,with Allocation,0.15824437590965887
3DCube,N64,53,GradOperator,CPUExecutor,20856700.0,NeoN,No allocation,0.1621229628848284
3DCube,N64,54,GradOperator,GPUExecutor,1359470.0,NeoN,with Allocation,2.487256063024561
3DCube,N64,55,GradOperator,GPUExecutor,644483.0,NeoN,No allocation,5.246608521869468
