MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N512,112,LaplacianOperator,OpenFOAM,1682880.0,OpenFOAM,with Allocation,1.0
2DSquare,N512,113,LaplacianOperator,SerialExecutor,8103760.0,NeoN,with Allocation,0.2076665646564064
2DSquare,N512,114,LaplacianOperator,SerialExecutor,7875130.0,NeoN,No allocation,0.2136955199469723
2DSquare,N512,115,LaplacianOperator,CPUExecutor,8655510.0,NeoN,with Allocation,0.1944287511654426
2DSquare,N512,116,LaplacianOperator,CPUExecutor,8416210.0,NeoN,No allocation,0.19995698776527676
2DSquare,N512,117,LaplacianOperator,GPUExecutor,947039.0,NeoN,with Allocation,1.776991232673628
2DSquare,N512,118,LaplacianOperator,GPUExecutor,507091.0,NeoN,No allocation,3.318694277752908
2DSquare,N64,7,LaplacianOperator,OpenFOAM,23671.0,OpenFOAM,with Allocation,1.0
2DSquare,N64,8,LaplacianOperator,SerialExecutor,157377.0,NeoN,with Allocation,0.1504095261696436
2DSquare,N64,9,LaplacianOperator,SerialExecutor,133253.0,NeoN,No allocation,0.17763952781550885
2DSquare,N64,10,LaplacianOperator,CPUExecutor,169569.0,NeoN,with Allocation,0.13959509108386556
2DSquare,N64,11,LaplacianOperator,CPUExecutor,144285.0,NeoN,No allocation,0.16405724780815747
2DSquare,N64,12,LaplacianOperator,GPUExecutor,460299.0,NeoN,with Allocation,0.051425269227176246
2DSquare,N64,13,LaplacianOperator,GPUExecutor,240449.0,NeoN,No allocation,0.09844499249321062
3DCube,N16,77,LaplacianOperator,OpenFOAM,35147.0,OpenFOAM,with Allocation,1.0
3DCube,N16,78,LaplacianOperator,SerialExecutor,213699.0,NeoN,with Allocation,0.16446965123842414
3DCube,N16,79,LaplacianOperator,SerialExecutor,189670.0,NeoN,No allocation,0.1853060578900195
3DCube,N16,80,LaplacianOperator,CPUExecutor,228472.0,NeoN,with Allocation,0.15383504324381106
3DCube,N16,81,LaplacianOperator,CPUExecutor,206268.0,NeoN,No allocation,0.17039482614850582
3DCube,N16,82,LaplacianOperator,GPUExecutor,472836.0,NeoN,with Allocation,0.07433232664179547
3DCube,N16,83,LaplacianOperator,GPUExecutor,241693.0,NeoN,No allocation,0.14542001630167195
3DCube,N64,42,LaplacianOperator,OpenFOAM,2663240.0,OpenFOAM,with Allocation,1.0
3DCube,N64,43,LaplacianOperator,SerialExecutor,11980400.0,NeoN,with Allocation,0.222299756268572
3DCube,N64,44,LaplacianOperator,SerialExecutor,11490700.0,NeoN,No allocation,0.2317735211954015
3DCube,N64,45,LaplacianOperator,CPUExecutor,12442000.0,NeoN,with Allocation,0.21405240315061888
3DCube,N64,46,LaplacianOperator,CPUExecutor,12172700.0,NeoN,No allocation,0.2187879435129429
3DCube,N64,47,LaplacianOperator,GPUExecutor,1130820.0,NeoN,with Allocation,2.355140517500575
3DCube,N64,48,LaplacianOperator,GPUExecutor,588684.0,NeoN,No allocation,4.524057049282807
