MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N512,24,momentum,OpenFOAM,10160000.0,OpenFOAM,without RHS,1.0
2DSquare,N512,25,momentum,OpenFOAM,15620000.0,OpenFOAM,with RHS,0.6504481434058899
2DSquare,N512,26,momentum,SerialExecutor,32236200.0,NeoN,without RHS,0.31517362468281
2DSquare,N512,27,momentum,SerialExecutor,65406400.0,NeoN,with RHS,0.15533648083367987
2DSquare,N512,28,momentum,CPUExecutor,32680300.0,NeoN,without RHS,0.3108906588984801
2DSquare,N512,29,momentum,CPUExecutor,85060400.0,NeoN,with RHS,0.11944453588273744
2DSquare,N512,30,momentum,GPUExecutor,1861070.0,NeoN,without RHS,5.459225069449295
2DSquare,N512,31,momentum,GPUExecutor,3626640.0,NeoN,with RHS,2.8014911874352015
2DSquare,N64,0,momentum,OpenFOAM,72155.0,OpenFOAM,without RHS,1.0
2DSquare,N64,1,momentum,OpenFOAM,115370.0,OpenFOAM,with RHS,0.6254225535234463
2DSquare,N64,2,momentum,SerialExecutor,500365.0,NeoN,without RHS,0.1442047305467009
2DSquare,N64,3,momentum,SerialExecutor,988427.0,NeoN,with RHS,0.07299982699784607
2DSquare,N64,4,momentum,CPUExecutor,513365.0,NeoN,without RHS,0.14055301783331547
2DSquare,N64,5,momentum,CPUExecutor,1028600.0,NeoN,with RHS,0.07014874586817033
2DSquare,N64,6,momentum,GPUExecutor,361793.0,NeoN,without RHS,0.19943724726570167
2DSquare,N64,7,momentum,GPUExecutor,722417.0,NeoN,with RHS,0.09987998621294904
3DCube,N16,16,momentum,OpenFOAM,114276.0,OpenFOAM,without RHS,1.0
3DCube,N16,17,momentum,OpenFOAM,185081.0,OpenFOAM,with RHS,0.6174377704896775
3DCube,N16,18,momentum,SerialExecutor,772788.0,NeoN,without RHS,0.1478749670025932
3DCube,N16,19,momentum,SerialExecutor,1555040.0,NeoN,with RHS,0.07348749871385946
3DCube,N16,20,momentum,CPUExecutor,798606.0,NeoN,without RHS,0.14309434189074463
3DCube,N16,21,momentum,CPUExecutor,1591240.0,NeoN,with RHS,0.07181569090771976
3DCube,N16,22,momentum,GPUExecutor,378758.0,NeoN,without RHS,0.3017124390771944
3DCube,N16,23,momentum,GPUExecutor,752460.0,NeoN,with RHS,0.15186986683677536
3DCube,N64,8,momentum,OpenFOAM,15562400.0,OpenFOAM,without RHS,1.0
3DCube,N64,9,momentum,OpenFOAM,22147100.0,OpenFOAM,with RHS,0.702683421305724
3DCube,N64,10,momentum,SerialExecutor,54743400.0,NeoN,without RHS,0.28427901810994566
3DCube,N64,11,momentum,SerialExecutor,110239000.0,NeoN,with RHS,0.14116964050835004
3DCube,N64,12,momentum,CPUExecutor,50829000.0,NeoN,without RHS,0.3061716736508686
3DCube,N64,13,momentum,CPUExecutor,110015000.0,NeoN,with RHS,0.14145707403535882
3DCube,N64,14,momentum,GPUExecutor,2386490.0,NeoN,without RHS,6.521041362000259
3DCube,N64,15,momentum,GPUExecutor,4719150.0,NeoN,with RHS,3.2977125117870805
