MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N512,24,scalarAdvection,OpenFOAM,4962930.0,OpenFOAM,explicit-time-integration,1.0
2DSquare,N512,25,scalarAdvection,OpenFOAM,8790160.0,OpenFOAM,implicit-time-integration,0.5646006443568717
2DSquare,N512,26,scalarAdvection,SerialExecutor,1404340.0,NeoN,explicit-time-integration,3.5339946166882665
2DSquare,N512,27,scalarAdvection,SerialExecutor,17422600.0,NeoN,implicit-time-integration,0.2848558768496091
2DSquare,N512,28,scalarAdvection,CPUExecutor,1481810.0,NeoN,explicit-time-integration,3.3492350571260823
2DSquare,N512,29,scalarAdvection,CPUExecutor,18031200.0,NeoN,implicit-time-integration,0.2752412485025955
2DSquare,N512,30,scalarAdvection,GPUExecutor,481137.0,NeoN,explicit-time-integration,10.315003834666634
2DSquare,N512,31,scalarAdvection,GPUExecutor,988844.0,NeoN,implicit-time-integration,5.018921083608739
2DSquare,N64,0,scalarAdvection,OpenFOAM,51737.6,OpenFOAM,explicit-time-integration,1.0
2DSquare,N64,1,scalarAdvection,OpenFOAM,57314.6,OpenFOAM,implicit-time-integration,0.9026949503267928
2DSquare,N64,2,scalarAdvection,SerialExecutor,31610.1,NeoN,explicit-time-integration,1.6367426866729304
2DSquare,N64,3,scalarAdvection,SerialExecutor,289003.0,NeoN,implicit-time-integration,0.17902097902097902
2DSquare,N64,4,scalarAdvection,CPUExecutor,34609.4,NeoN,explicit-time-integration,1.4949002294174414
2DSquare,N64,5,scalarAdvection,CPUExecutor,298762.0,NeoN,implicit-time-integration,0.17317329513124158
2DSquare,N64,6,scalarAdvection,GPUExecutor,102029.0,NeoN,explicit-time-integration,0.5070872006978407
2DSquare,N64,7,scalarAdvection,GPUExecutor,346033.0,NeoN,implicit-time-integration,0.1495163756057948
3DCube,N16,16,scalarAdvection,OpenFOAM,72704.2,OpenFOAM,explicit-time-integration,1.0
3DCube,N16,17,scalarAdvection,OpenFOAM,88493.5,OpenFOAM,implicit-time-integration,0.821576725974224
3DCube,N16,18,scalarAdvection,SerialExecutor,32946.6,NeoN,explicit-time-integration,2.2067284636350943
3DCube,N16,19,scalarAdvection,SerialExecutor,425077.0,NeoN,implicit-time-integration,0.17103771787229136
3DCube,N16,20,scalarAdvection,CPUExecutor,37107.6,NeoN,explicit-time-integration,1.9592805786415721
3DCube,N16,21,scalarAdvection,CPUExecutor,437715.0,NeoN,implicit-time-integration,0.1660994025793039
3DCube,N16,22,scalarAdvection,GPUExecutor,100300.0,NeoN,explicit-time-integration,0.7248673978065803
3DCube,N16,23,scalarAdvection,GPUExecutor,350016.0,NeoN,implicit-time-integration,0.2077167900895959
3DCube,N64,8,scalarAdvection,OpenFOAM,7445680.0,OpenFOAM,explicit-time-integration,1.0
3DCube,N64,9,scalarAdvection,OpenFOAM,12300700.0,OpenFOAM,implicit-time-integration,0.6053053891241962
3DCube,N64,10,scalarAdvection,SerialExecutor,1582260.0,NeoN,explicit-time-integration,4.705724722864763
3DCube,N64,11,scalarAdvection,SerialExecutor,25818400.0,NeoN,implicit-time-integration,0.2883865770148421
3DCube,N64,12,scalarAdvection,CPUExecutor,1762810.0,NeoN,explicit-time-integration,4.2237563889471925
3DCube,N64,13,scalarAdvection,CPUExecutor,26172900.0,NeoN,implicit-time-integration,0.2844805122856084
3DCube,N64,14,scalarAdvection,GPUExecutor,560122.0,NeoN,explicit-time-integration,13.29296117631516
3DCube,N64,15,scalarAdvection,GPUExecutor,1257180.0,NeoN,implicit-time-integration,5.922525016306336
