MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N16,0,momentum,OpenFOAM,10284.1,OpenFOAM,without RHS,1.0
2DSquare,N16,1,momentum,OpenFOAM,15535.0,OpenFOAM,with RHS,0.6619954940457032
2DSquare,N16,2,momentum,SerialExecutor,88267.0,NeoN,without RHS,0.1165112669514088
2DSquare,N16,3,momentum,SerialExecutor,140098.0,NeoN,with RHS,0.07340647261202872
2DSquare,N16,4,momentum,GPUExecutor,2078340.0,NeoN,without RHS,0.004948227912661066
2DSquare,N16,5,momentum,GPUExecutor,3165820.0,NeoN,with RHS,0.003248479067034765
2DSquare,N256,18,momentum,OpenFOAM,2343310.0,OpenFOAM,without RHS,1.0
2DSquare,N256,19,momentum,OpenFOAM,3337890.0,OpenFOAM,with RHS,0.7020333204509436
2DSquare,N256,20,momentum,SerialExecutor,10502300.0,NeoN,without RHS,0.22312350627957686
2DSquare,N256,21,momentum,SerialExecutor,15776100.0,NeoN,with RHS,0.14853544285343018
2DSquare,N256,22,momentum,GPUExecutor,2550720.0,NeoN,without RHS,0.9186857044285535
2DSquare,N256,23,momentum,GPUExecutor,4185920.0,NeoN,with RHS,0.5598076408531458
2DSquare,N64,24,momentum,OpenFOAM,77761.0,OpenFOAM,without RHS,1.0
2DSquare,N64,25,momentum,OpenFOAM,124499.0,OpenFOAM,with RHS,0.6245913621796159
2DSquare,N64,26,momentum,SerialExecutor,550614.0,NeoN,without RHS,0.14122597681860613
2DSquare,N64,27,momentum,SerialExecutor,1014950.0,NeoN,with RHS,0.07661559682742992
2DSquare,N64,28,momentum,GPUExecutor,2149590.0,NeoN,without RHS,0.03617480542801185
2DSquare,N64,29,momentum,GPUExecutor,3245180.0,NeoN,with RHS,0.023961999026248158
3DCube,N16,6,momentum,OpenFOAM,118308.0,OpenFOAM,without RHS,1.0
3DCube,N16,7,momentum,OpenFOAM,197934.0,OpenFOAM,with RHS,0.5977143896450332
3DCube,N16,8,momentum,SerialExecutor,826421.0,NeoN,without RHS,0.14315705917444016
3DCube,N16,9,momentum,SerialExecutor,1535900.0,NeoN,with RHS,0.07702845237320138
3DCube,N16,10,momentum,GPUExecutor,2255650.0,NeoN,without RHS,0.05244962649347195
3DCube,N16,11,momentum,GPUExecutor,3425020.0,NeoN,with RHS,0.03454228004508003
3DCube,N32,12,momentum,OpenFOAM,1423830.0,OpenFOAM,without RHS,1.0
3DCube,N32,13,momentum,OpenFOAM,2014050.0,OpenFOAM,with RHS,0.7069486854844715
3DCube,N32,14,momentum,SerialExecutor,6349310.0,NeoN,without RHS,0.22424956412586564
3DCube,N32,15,momentum,SerialExecutor,11944000.0,NeoN,with RHS,0.11920880776959143
3DCube,N32,16,momentum,GPUExecutor,2491380.0,NeoN,without RHS,0.5715025407605423
3DCube,N32,17,momentum,GPUExecutor,3955270.0,NeoN,with RHS,0.35998301000943045
3DCube,N64,30,momentum,OpenFOAM,14828600.0,OpenFOAM,without RHS,1.0
3DCube,N64,31,momentum,OpenFOAM,21687500.0,OpenFOAM,with RHS,0.6837394812680115
3DCube,N64,32,momentum,SerialExecutor,65738100.0,NeoN,without RHS,0.2255708637761055
3DCube,N64,33,momentum,SerialExecutor,119459000.0,NeoN,with RHS,0.12413129190768381
3DCube,N64,34,momentum,GPUExecutor,4724800.0,NeoN,without RHS,3.138460887233322
3DCube,N64,35,momentum,GPUExecutor,8207740.0,NeoN,with RHS,1.8066605423661082
