MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N512,6,Poisson,OpenFOAM,3246350.0,OpenFOAM,Poisson,1.0
2DSquare,N512,7,Poisson,SerialExecutor,2664110.0,NeoN,Poisson,1.2185495343660735
2DSquare,N512,8,Poisson,GPUExecutor,1720490.0,NeoN,Poisson,1.8868752506553366
2DSquare,N64,3,Poisson,OpenFOAM,33870.2,OpenFOAM,Poisson,1.0
2DSquare,N64,4,Poisson,SerialExecutor,51968.7,NeoN,Poisson,0.6517422987298124
2DSquare,N64,5,Poisson,GPUExecutor,1402200.0,NeoN,Poisson,0.024155042076736556
3DCube,N16,0,Poisson,OpenFOAM,50744.2,OpenFOAM,Poisson,1.0
3DCube,N16,1,Poisson,SerialExecutor,60897.4,NeoN,Poisson,0.8332736701402687
3DCube,N16,2,Poisson,GPUExecutor,1393340.0,NeoN,Poisson,0.03641910804254525
3DCube,N64,9,Poisson,OpenFOAM,4807190.0,OpenFOAM,Poisson,1.0
3DCube,N64,10,Poisson,SerialExecutor,4020890.0,NeoN,Poisson,1.1955537206936773
3DCube,N64,11,Poisson,GPUExecutor,1719690.0,NeoN,Poisson,2.7953817257761573
