MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N128,96,GradOperator,OpenFOAM,113701.0,OpenFOAM,with Allocation,1.0
2DSquare,N128,97,GradOperator,SerialExecutor,816944.0,NeoN,with Allocation,0.13917845042010224
2DSquare,N128,98,GradOperator,SerialExecutor,795354.0,NeoN,No allocation,0.1429564696977698
2DSquare,N16,51,GradOperator,OpenFOAM,3549.2,OpenFOAM,with Allocation,1.0
2DSquare,N16,52,GradOperator,SerialExecutor,31230.7,NeoN,with Allocation,0.1136445868968675
2DSquare,N16,53,GradOperator,SerialExecutor,20934.1,NeoN,No allocation,0.16954156137593687
2DSquare,N256,141,GradOperator,OpenFOAM,516973.0,OpenFOAM,with Allocation,1.0
2DSquare,N256,142,GradOperator,SerialExecutor,3307470.0,NeoN,with Allocation,0.1563046679183787
2DSquare,N256,143,GradOperator,SerialExecutor,3204620.0,NeoN,No allocation,0.16132115508234987
2DSquare,N32,36,GradOperator,OpenFOAM,8711.81,OpenFOAM,with Allocation,1.0
2DSquare,N32,37,GradOperator,SerialExecutor,67874.7,NeoN,with Allocation,0.12835135919569443
2DSquare,N32,38,GradOperator,SerialExecutor,57677.8,NeoN,No allocation,0.1510426888681607
2DSquare,N512,66,GradOperator,OpenFOAM,1916190.0,OpenFOAM,with Allocation,1.0
2DSquare,N512,67,GradOperator,SerialExecutor,13202600.0,NeoN,with Allocation,0.1451373214366867
2DSquare,N512,68,GradOperator,SerialExecutor,12823500.0,NeoN,No allocation,0.14942800327523686
2DSquare,N64,21,GradOperator,OpenFOAM,28627.6,OpenFOAM,with Allocation,1.0
2DSquare,N64,22,GradOperator,SerialExecutor,212761.0,NeoN,with Allocation,0.1345528550815234
2DSquare,N64,23,GradOperator,SerialExecutor,201757.0,NeoN,No allocation,0.1418914833190422
2DSquare,N8,156,GradOperator,OpenFOAM,1932.74,OpenFOAM,with Allocation,1.0
2DSquare,N8,157,GradOperator,SerialExecutor,21057.0,NeoN,with Allocation,0.09178610438334046
2DSquare,N8,158,GradOperator,SerialExecutor,12071.5,NeoN,No allocation,0.1601076916704635
3DCube,N128,81,GradOperator,OpenFOAM,45350300.0,OpenFOAM,with Allocation,1.0
3DCube,N128,82,GradOperator,SerialExecutor,172488000.0,NeoN,with Allocation,0.26291857984323547
3DCube,N128,83,GradOperator,SerialExecutor,165104000.0,NeoN,No allocation,0.27467717317569534
3DCube,N16,126,GradOperator,OpenFOAM,46591.2,OpenFOAM,with Allocation,1.0
3DCube,N16,127,GradOperator,SerialExecutor,312435.0,NeoN,with Allocation,0.1491228575543713
3DCube,N16,128,GradOperator,SerialExecutor,298047.0,NeoN,No allocation,0.15632165396732728
3DCube,N32,111,GradOperator,OpenFOAM,419492.0,OpenFOAM,with Allocation,1.0
3DCube,N32,112,GradOperator,SerialExecutor,2497590.0,NeoN,with Allocation,0.1679587121985594
3DCube,N32,113,GradOperator,SerialExecutor,2436520.0,NeoN,No allocation,0.17216850261848868
3DCube,N64,171,GradOperator,OpenFOAM,2875830.0,OpenFOAM,with Allocation,1.0
3DCube,N64,172,GradOperator,SerialExecutor,19692900.0,NeoN,with Allocation,0.1460338497631126
3DCube,N64,173,GradOperator,SerialExecutor,19276000.0,NeoN,No allocation,0.14919225980493878
3DCube,N8,6,GradOperator,OpenFOAM,9800.3,OpenFOAM,with Allocation,1.0
3DCube,N8,7,GradOperator,SerialExecutor,55965.3,NeoN,with Allocation,0.17511386519861413
3DCube,N8,8,GradOperator,SerialExecutor,45819.2,NeoN,No allocation,0.21389068338163914
