MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N128,24,scalarAdvection,OpenFOAM,214726.0,OpenFOAM,explicit-time-integration,1.0
2DSquare,N128,25,scalarAdvection,OpenFOAM,270899.0,OpenFOAM,implicit-time-integration,0.7926422762727068
2DSquare,N128,26,scalarAdvection,SerialExecutor,240774.0,NeoN,explicit-time-integration,0.8918155614808908
2DSquare,N128,27,scalarAdvection,SerialExecutor,1115610.0,NeoN,implicit-time-integration,0.19247407248052634
2DSquare,N16,12,scalarAdvection,OpenFOAM,8083.57,OpenFOAM,explicit-time-integration,1.0
2DSquare,N16,13,scalarAdvection,OpenFOAM,7527.38,OpenFOAM,implicit-time-integration,1.0738889228390223
2DSquare,N16,14,scalarAdvection,SerialExecutor,28722.5,NeoN,explicit-time-integration,0.28143685264165724
2DSquare,N16,15,scalarAdvection,SerialExecutor,53445.3,NeoN,implicit-time-integration,0.1512494082735058
2DSquare,N256,36,scalarAdvection,OpenFOAM,1034730.0,OpenFOAM,explicit-time-integration,1.0
2DSquare,N256,37,scalarAdvection,OpenFOAM,1566200.0,OpenFOAM,implicit-time-integration,0.6606627506065637
2DSquare,N256,38,scalarAdvection,SerialExecutor,896624.0,NeoN,explicit-time-integration,1.1540288905940506
2DSquare,N256,39,scalarAdvection,SerialExecutor,4391180.0,NeoN,implicit-time-integration,0.23563825668726857
2DSquare,N32,8,scalarAdvection,OpenFOAM,16950.8,OpenFOAM,explicit-time-integration,1.0
2DSquare,N32,9,scalarAdvection,OpenFOAM,15704.6,OpenFOAM,implicit-time-integration,1.0793525463876825
2DSquare,N32,10,scalarAdvection,SerialExecutor,35415.4,NeoN,explicit-time-integration,0.47862794151696714
2DSquare,N32,11,scalarAdvection,SerialExecutor,98947.9,NeoN,implicit-time-integration,0.17131035625819244
2DSquare,N512,16,scalarAdvection,OpenFOAM,4709800.0,OpenFOAM,explicit-time-integration,1.0
2DSquare,N512,17,scalarAdvection,OpenFOAM,7022920.0,OpenFOAM,implicit-time-integration,0.6706327282668747
2DSquare,N512,18,scalarAdvection,SerialExecutor,3254380.0,NeoN,explicit-time-integration,1.447218825091108
2DSquare,N512,19,scalarAdvection,SerialExecutor,17483600.0,NeoN,implicit-time-integration,0.26938387975016587
2DSquare,N64,4,scalarAdvection,OpenFOAM,51163.3,OpenFOAM,explicit-time-integration,1.0
2DSquare,N64,5,scalarAdvection,OpenFOAM,57140.3,OpenFOAM,implicit-time-integration,0.8953978190524026
2DSquare,N64,6,scalarAdvection,SerialExecutor,50934.7,NeoN,explicit-time-integration,1.0044880994685352
2DSquare,N64,7,scalarAdvection,SerialExecutor,283723.0,NeoN,implicit-time-integration,0.18032834842434348
2DSquare,N8,40,scalarAdvection,OpenFOAM,5885.78,OpenFOAM,explicit-time-integration,1.0
2DSquare,N8,41,scalarAdvection,OpenFOAM,4724.45,OpenFOAM,implicit-time-integration,1.245812740107314
2DSquare,N8,42,scalarAdvection,SerialExecutor,28210.1,NeoN,explicit-time-integration,0.2086408768490718
2DSquare,N8,43,scalarAdvection,SerialExecutor,41781.1,NeoN,implicit-time-integration,0.14087182960716688
3DCube,N128,20,scalarAdvection,OpenFOAM,99136600.0,OpenFOAM,explicit-time-integration,1.0
3DCube,N128,21,scalarAdvection,OpenFOAM,188546000.0,OpenFOAM,implicit-time-integration,0.5257952966384861
3DCube,N128,22,scalarAdvection,SerialExecutor,118447000.0,NeoN,explicit-time-integration,0.8369701216577878
3DCube,N128,23,scalarAdvection,SerialExecutor,301045000.0,NeoN,implicit-time-integration,0.32930824295371125
3DCube,N16,32,scalarAdvection,OpenFOAM,73962.5,OpenFOAM,explicit-time-integration,1.0
3DCube,N16,33,scalarAdvection,OpenFOAM,81861.5,OpenFOAM,implicit-time-integration,0.9035077539502696
3DCube,N16,34,scalarAdvection,SerialExecutor,65393.1,NeoN,explicit-time-integration,1.1310444068257965
3DCube,N16,35,scalarAdvection,SerialExecutor,424789.0,NeoN,implicit-time-integration,0.1741158551657411
3DCube,N32,28,scalarAdvection,OpenFOAM,732282.0,OpenFOAM,explicit-time-integration,1.0
3DCube,N32,29,scalarAdvection,OpenFOAM,1060590.0,OpenFOAM,implicit-time-integration,0.6904477696376545
3DCube,N32,30,scalarAdvection,SerialExecutor,619854.0,NeoN,explicit-time-integration,1.1813781955105558
3DCube,N32,31,scalarAdvection,SerialExecutor,3329300.0,NeoN,implicit-time-integration,0.219950740395879
3DCube,N64,44,scalarAdvection,OpenFOAM,6337750.0,OpenFOAM,explicit-time-integration,1.0
3DCube,N64,45,scalarAdvection,OpenFOAM,9917830.0,OpenFOAM,implicit-time-integration,0.6390258756199693
3DCube,N64,46,scalarAdvection,SerialExecutor,4386840.0,NeoN,explicit-time-integration,1.4447187497150569
3DCube,N64,47,scalarAdvection,SerialExecutor,26919100.0,NeoN,implicit-time-integration,0.2354369202536489
3DCube,N8,0,scalarAdvection,OpenFOAM,15651.5,OpenFOAM,explicit-time-integration,1.0
3DCube,N8,1,scalarAdvection,OpenFOAM,14791.3,OpenFOAM,implicit-time-integration,1.05815580780594
3DCube,N8,2,scalarAdvection,SerialExecutor,33920.1,NeoN,explicit-time-integration,0.4614225783532478
3DCube,N8,3,scalarAdvection,SerialExecutor,88725.9,NeoN,implicit-time-integration,0.17640283164216988
