MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N16,20,FaceNormalGradient,OpenFOAM,901.459,OpenFOAM,with Allocation,1.0
2DSquare,N16,21,FaceNormalGradient,SerialExecutor,13582.8,NeoN,with Allocation,0.06636768560237948
2DSquare,N16,22,FaceNormalGradient,SerialExecutor,440.95,NeoN,No allocation,2.0443565030048756
2DSquare,N16,23,FaceNormalGradient,GPUExecutor,624500.0,NeoN,with Allocation,0.0014434891913530823
2DSquare,N16,24,FaceNormalGradient,GPUExecutor,20177.4,NeoN,No allocation,0.04467666795523704
2DSquare,N256,95,FaceNormalGradient,OpenFOAM,141527.0,OpenFOAM,with Allocation,1.0
2DSquare,N256,96,FaceNormalGradient,SerialExecutor,238549.0,NeoN,with Allocation,0.5932827217888149
2DSquare,N256,97,FaceNormalGradient,SerialExecutor,130930.0,NeoN,No allocation,1.080936378217368
2DSquare,N256,98,FaceNormalGradient,GPUExecutor,632329.0,NeoN,with Allocation,0.22381861341168915
2DSquare,N256,99,FaceNormalGradient,GPUExecutor,27817.0,NeoN,No allocation,5.087788043282885
2DSquare,N64,120,FaceNormalGradient,OpenFOAM,5193.07,OpenFOAM,with Allocation,1.0
2DSquare,N64,121,FaceNormalGradient,SerialExecutor,19677.6,NeoN,with Allocation,0.2639076919949587
2DSquare,N64,122,FaceNormalGradient,SerialExecutor,4704.38,NeoN,No allocation,1.1038797886225176
2DSquare,N64,123,FaceNormalGradient,GPUExecutor,669650.0,NeoN,with Allocation,0.007754901814380646
2DSquare,N64,124,FaceNormalGradient,GPUExecutor,23927.9,NeoN,No allocation,0.21702991069003127
3DCube,N16,45,FaceNormalGradient,OpenFOAM,8001.31,OpenFOAM,with Allocation,1.0
3DCube,N16,46,FaceNormalGradient,SerialExecutor,24463.5,NeoN,with Allocation,0.3270713511966808
3DCube,N16,47,FaceNormalGradient,SerialExecutor,7154.84,NeoN,No allocation,1.1183073276271727
3DCube,N16,48,FaceNormalGradient,GPUExecutor,684234.0,NeoN,with Allocation,0.011693821119675433
3DCube,N16,49,FaceNormalGradient,GPUExecutor,24997.6,NeoN,No allocation,0.32008312798028615
3DCube,N32,70,FaceNormalGradient,OpenFOAM,104590.0,OpenFOAM,with Allocation,1.0
3DCube,N32,71,FaceNormalGradient,SerialExecutor,194904.0,NeoN,with Allocation,0.5366231580675614
3DCube,N32,72,FaceNormalGradient,SerialExecutor,103698.0,NeoN,No allocation,1.0086019016760208
3DCube,N32,73,FaceNormalGradient,GPUExecutor,686836.0,NeoN,with Allocation,0.15227798193455205
3DCube,N32,74,FaceNormalGradient,GPUExecutor,29870.1,NeoN,No allocation,3.5014948058426323
3DCube,N64,145,FaceNormalGradient,OpenFOAM,766302.0,OpenFOAM,with Allocation,1.0
3DCube,N64,146,FaceNormalGradient,SerialExecutor,1060710.0,NeoN,with Allocation,0.7224425149192522
3DCube,N64,147,FaceNormalGradient,SerialExecutor,638028.0,NeoN,No allocation,1.2010476029265174
3DCube,N64,148,FaceNormalGradient,GPUExecutor,927149.0,NeoN,with Allocation,0.8265144005979621
3DCube,N64,149,FaceNormalGradient,GPUExecutor,44454.2,NeoN,No allocation,17.238011256529195
