MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N16,5,LaplacianOperator,OpenFOAM,3516.42,OpenFOAM,with Allocation,1.0
2DSquare,N16,6,LaplacianOperator,SerialExecutor,33574.8,NeoN,with Allocation,0.10473390757353729
2DSquare,N16,7,LaplacianOperator,SerialExecutor,19867.7,NeoN,No allocation,0.1769918007620409
2DSquare,N16,8,LaplacianOperator,GPUExecutor,1265730.0,NeoN,with Allocation,0.0027781754402597713
2DSquare,N16,9,LaplacianOperator,GPUExecutor,655158.0,NeoN,No allocation,0.005367285448700924
2DSquare,N256,80,LaplacianOperator,OpenFOAM,460315.0,OpenFOAM,with Allocation,1.0
2DSquare,N256,81,LaplacianOperator,SerialExecutor,1617090.0,NeoN,with Allocation,0.2846563889455751
2DSquare,N256,82,LaplacianOperator,SerialExecutor,1632220.0,NeoN,No allocation,0.28201774270625285
2DSquare,N256,83,LaplacianOperator,GPUExecutor,1318120.0,NeoN,with Allocation,0.34922086001274544
2DSquare,N256,84,LaplacianOperator,GPUExecutor,691589.0,NeoN,No allocation,0.6655904012354158
2DSquare,N64,105,LaplacianOperator,OpenFOAM,20267.4,OpenFOAM,with Allocation,1.0
2DSquare,N64,106,LaplacianOperator,SerialExecutor,123334.0,NeoN,with Allocation,0.16432938200334055
2DSquare,N64,107,LaplacianOperator,SerialExecutor,107010.0,NeoN,No allocation,0.1893972525932156
2DSquare,N64,108,LaplacianOperator,GPUExecutor,1308970.0,NeoN,with Allocation,0.015483471737320184
2DSquare,N64,109,LaplacianOperator,GPUExecutor,697676.0,NeoN,No allocation,0.029049874153618586
3DCube,N16,30,LaplacianOperator,OpenFOAM,32123.0,OpenFOAM,with Allocation,1.0
3DCube,N16,31,LaplacianOperator,SerialExecutor,170733.0,NeoN,with Allocation,0.18814757545407157
3DCube,N16,32,LaplacianOperator,SerialExecutor,154502.0,NeoN,No allocation,0.2079131661726062
3DCube,N16,33,LaplacianOperator,GPUExecutor,1339370.0,NeoN,with Allocation,0.023983663961414697
3DCube,N16,34,LaplacianOperator,GPUExecutor,681617.0,NeoN,No allocation,0.047127639128718916
3DCube,N32,55,LaplacianOperator,OpenFOAM,336830.0,OpenFOAM,with Allocation,1.0
3DCube,N32,56,LaplacianOperator,SerialExecutor,1337910.0,NeoN,with Allocation,0.2517583394996674
3DCube,N32,57,LaplacianOperator,SerialExecutor,1281050.0,NeoN,No allocation,0.2629327504781234
3DCube,N32,58,LaplacianOperator,GPUExecutor,1390320.0,NeoN,with Allocation,0.24226796708671386
3DCube,N32,59,LaplacianOperator,GPUExecutor,751912.0,NeoN,No allocation,0.44796465543840236
3DCube,N64,130,LaplacianOperator,OpenFOAM,3341450.0,OpenFOAM,with Allocation,1.0
3DCube,N64,131,LaplacianOperator,SerialExecutor,10205000.0,NeoN,with Allocation,0.3274326310632043
3DCube,N64,132,LaplacianOperator,SerialExecutor,10036900.0,NeoN,No allocation,0.3329165379748727
3DCube,N64,133,LaplacianOperator,GPUExecutor,1561690.0,NeoN,with Allocation,2.139637187918217
3DCube,N64,134,LaplacianOperator,GPUExecutor,913533.0,NeoN,No allocation,3.6577222716639683
