MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N16,0,DivOperator,OpenFOAM,2587.39,OpenFOAM,with Allocation,1.0
2DSquare,N16,1,DivOperator,SerialExecutor,27640.5,NeoN,with Allocation,0.0936086539679094
2DSquare,N16,2,DivOperator,SerialExecutor,14108.0,NeoN,No allocation,0.18339878083356959
2DSquare,N16,3,DivOperator,GPUExecutor,1240820.0,NeoN,with Allocation,0.0020852258990022724
2DSquare,N16,4,DivOperator,GPUExecutor,638419.0,NeoN,No allocation,0.00405280857869205
2DSquare,N256,75,DivOperator,OpenFOAM,381506.0,OpenFOAM,with Allocation,1.0
2DSquare,N256,76,DivOperator,SerialExecutor,489840.0,NeoN,with Allocation,0.778837987914421
2DSquare,N256,77,DivOperator,SerialExecutor,430618.0,NeoN,No allocation,0.8859499602896302
2DSquare,N256,78,DivOperator,GPUExecutor,1263160.0,NeoN,with Allocation,0.30202507995820005
2DSquare,N256,79,DivOperator,GPUExecutor,668954.0,NeoN,No allocation,0.570302292833289
2DSquare,N64,100,DivOperator,OpenFOAM,18017.4,OpenFOAM,with Allocation,1.0
2DSquare,N64,101,DivOperator,SerialExecutor,46793.8,NeoN,with Allocation,0.3850381888198864
2DSquare,N64,102,DivOperator,SerialExecutor,32870.2,NeoN,No allocation,0.5481378269678919
2DSquare,N64,103,DivOperator,GPUExecutor,1475100.0,NeoN,with Allocation,0.012214358348586538
2DSquare,N64,104,DivOperator,GPUExecutor,781149.0,NeoN,No allocation,0.023065253876021093
3DCube,N16,25,DivOperator,OpenFOAM,27212.3,OpenFOAM,with Allocation,1.0
3DCube,N16,26,DivOperator,SerialExecutor,56983.7,NeoN,with Allocation,0.4775453331391258
3DCube,N16,27,DivOperator,SerialExecutor,41228.3,NeoN,No allocation,0.6600393419083493
3DCube,N16,28,DivOperator,GPUExecutor,1250420.0,NeoN,with Allocation,0.021762527790662338
3DCube,N16,29,DivOperator,GPUExecutor,666346.0,NeoN,No allocation,0.04083809312279206
3DCube,N32,50,DivOperator,OpenFOAM,289009.0,OpenFOAM,with Allocation,1.0
3DCube,N32,51,DivOperator,SerialExecutor,377982.0,NeoN,with Allocation,0.7646104840971263
3DCube,N32,52,DivOperator,SerialExecutor,343222.0,NeoN,No allocation,0.8420468384893742
3DCube,N32,53,DivOperator,GPUExecutor,1268440.0,NeoN,with Allocation,0.22784601557819054
3DCube,N32,54,DivOperator,GPUExecutor,675266.0,NeoN,No allocation,0.42799282060699045
3DCube,N64,125,DivOperator,OpenFOAM,2016630.0,OpenFOAM,with Allocation,1.0
3DCube,N64,126,DivOperator,SerialExecutor,2377460.0,NeoN,with Allocation,0.8482287819774045
3DCube,N64,127,DivOperator,SerialExecutor,2152270.0,NeoN,No allocation,0.9369781672373819
3DCube,N64,128,DivOperator,GPUExecutor,1510480.0,NeoN,with Allocation,1.3350921561357978
3DCube,N64,129,DivOperator,GPUExecutor,828790.0,NeoN,No allocation,2.433221925940226
