MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N16,15,FaceInterpolation,OpenFOAM,839.071,OpenFOAM,with Allocation,1.0
2DSquare,N16,16,FaceInterpolation,SerialExecutor,13458.5,NeoN,with Allocation,0.062345060742281834
2DSquare,N16,17,FaceInterpolation,SerialExecutor,537.976,NeoN,No allocation,1.5596811010156588
2DSquare,N16,18,FaceInterpolation,GPUExecutor,582977.0,NeoN,with Allocation,0.0014392866270882042
2DSquare,N16,19,FaceInterpolation,GPUExecutor,16637.3,NeoN,No allocation,0.05043312316301323
2DSquare,N256,90,FaceInterpolation,OpenFOAM,102512.0,OpenFOAM,with Allocation,1.0
2DSquare,N256,91,FaceInterpolation,SerialExecutor,174198.0,NeoN,with Allocation,0.5884797758872088
2DSquare,N256,92,FaceInterpolation,SerialExecutor,100582.0,NeoN,No allocation,1.0191883239545843
2DSquare,N256,93,FaceInterpolation,GPUExecutor,609750.0,NeoN,with Allocation,0.16812136121361212
2DSquare,N256,94,FaceInterpolation,GPUExecutor,22745.6,NeoN,No allocation,4.506893640967924
2DSquare,N64,115,FaceInterpolation,OpenFOAM,4890.58,OpenFOAM,with Allocation,1.0
2DSquare,N64,116,FaceInterpolation,SerialExecutor,20739.4,NeoN,with Allocation,0.23581106492955436
2DSquare,N64,117,FaceInterpolation,SerialExecutor,6325.09,NeoN,No allocation,0.773203227147756
2DSquare,N64,118,FaceInterpolation,GPUExecutor,591108.0,NeoN,with Allocation,0.008273581139148853
2DSquare,N64,119,FaceInterpolation,GPUExecutor,22540.7,NeoN,No allocation,0.21696664256212095
3DCube,N16,40,FaceInterpolation,OpenFOAM,7121.42,OpenFOAM,with Allocation,1.0
3DCube,N16,41,FaceInterpolation,SerialExecutor,25819.7,NeoN,with Allocation,0.275813429280743
3DCube,N16,42,FaceInterpolation,SerialExecutor,9700.05,NeoN,No allocation,0.7341632259627529
3DCube,N16,43,FaceInterpolation,GPUExecutor,599645.0,NeoN,with Allocation,0.011876060002167949
3DCube,N16,44,FaceInterpolation,GPUExecutor,17942.6,NeoN,No allocation,0.3969001148105626
3DCube,N32,65,FaceInterpolation,OpenFOAM,78205.3,OpenFOAM,with Allocation,1.0
3DCube,N32,66,FaceInterpolation,SerialExecutor,154395.0,NeoN,with Allocation,0.5065274134525082
3DCube,N32,67,FaceInterpolation,SerialExecutor,77583.8,NeoN,No allocation,1.0080106929539414
3DCube,N32,68,FaceInterpolation,GPUExecutor,603152.0,NeoN,with Allocation,0.12966101413905617
3DCube,N32,69,FaceInterpolation,GPUExecutor,20442.3,NeoN,No allocation,3.8256605176521234
3DCube,N64,140,FaceInterpolation,OpenFOAM,670886.0,OpenFOAM,with Allocation,1.0
3DCube,N64,141,FaceInterpolation,SerialExecutor,1124570.0,NeoN,with Allocation,0.596571133855607
3DCube,N64,142,FaceInterpolation,SerialExecutor,665561.0,NeoN,No allocation,1.008000769275844
3DCube,N64,143,FaceInterpolation,GPUExecutor,718319.0,NeoN,with Allocation,0.9339666638359837
3DCube,N64,144,FaceInterpolation,GPUExecutor,35724.3,NeoN,No allocation,18.77954221636253
