MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N16,20,FaceNormalGradient,OpenFOAM,912.9,OpenFOAM,with Allocation,1.0
2DSquare,N16,21,FaceNormalGradient,SerialExecutor,13452.9,NeoN,with Allocation,0.0678589746448721
2DSquare,N16,22,FaceNormalGradient,SerialExecutor,446.516,NeoN,No allocation,2.044495605980525
2DSquare,N16,23,FaceNormalGradient,GPUExecutor,580142.0,NeoN,with Allocation,0.0015735802613842818
2DSquare,N16,24,FaceNormalGradient,GPUExecutor,19816.2,NeoN,No allocation,0.04606836830472038
2DSquare,N256,95,FaceNormalGradient,OpenFOAM,102246.0,OpenFOAM,with Allocation,1.0
2DSquare,N256,96,FaceNormalGradient,SerialExecutor,175409.0,NeoN,with Allocation,0.5829005353203085
2DSquare,N256,97,FaceNormalGradient,SerialExecutor,100366.0,NeoN,No allocation,1.0187314429189167
2DSquare,N256,98,FaceNormalGradient,GPUExecutor,615182.0,NeoN,with Allocation,0.16620447282267686
2DSquare,N256,99,FaceNormalGradient,GPUExecutor,32538.5,NeoN,No allocation,3.1423083424251272
2DSquare,N64,120,FaceNormalGradient,OpenFOAM,5213.82,OpenFOAM,with Allocation,1.0
2DSquare,N64,121,FaceNormalGradient,SerialExecutor,19875.4,NeoN,with Allocation,0.2623252865351137
2DSquare,N64,122,FaceNormalGradient,SerialExecutor,4645.76,NeoN,No allocation,1.1222749345639895
2DSquare,N64,123,FaceNormalGradient,GPUExecutor,595478.0,NeoN,with Allocation,0.00875568870722344
2DSquare,N64,124,FaceNormalGradient,GPUExecutor,29701.8,NeoN,No allocation,0.17553885623093549
3DCube,N16,45,FaceNormalGradient,OpenFOAM,7654.33,OpenFOAM,with Allocation,1.0
3DCube,N16,46,FaceNormalGradient,SerialExecutor,24038.9,NeoN,with Allocation,0.31841432012280096
3DCube,N16,47,FaceNormalGradient,SerialExecutor,7206.99,NeoN,No allocation,1.062070295643535
3DCube,N16,48,FaceNormalGradient,GPUExecutor,617438.0,NeoN,with Allocation,0.012396920824439052
3DCube,N16,49,FaceNormalGradient,GPUExecutor,22587.0,NeoN,No allocation,0.33888210032319477
3DCube,N32,70,FaceNormalGradient,OpenFOAM,87505.0,OpenFOAM,with Allocation,1.0
3DCube,N32,71,FaceNormalGradient,SerialExecutor,186354.0,NeoN,with Allocation,0.46956330424890264
3DCube,N32,72,FaceNormalGradient,SerialExecutor,76062.2,NeoN,No allocation,1.150440034603259
3DCube,N32,73,FaceNormalGradient,GPUExecutor,613112.0,NeoN,with Allocation,0.1427226999308446
3DCube,N32,74,FaceNormalGradient,GPUExecutor,29601.7,NeoN,No allocation,2.956080225122206
3DCube,N64,145,FaceNormalGradient,OpenFOAM,679166.0,OpenFOAM,with Allocation,1.0
3DCube,N64,146,FaceNormalGradient,SerialExecutor,1175300.0,NeoN,with Allocation,0.5778660767463626
3DCube,N64,147,FaceNormalGradient,SerialExecutor,722096.0,NeoN,No allocation,0.9405480711705922
3DCube,N64,148,FaceNormalGradient,GPUExecutor,753776.0,NeoN,with Allocation,0.9010183396658954
3DCube,N64,149,FaceNormalGradient,GPUExecutor,44069.8,NeoN,No allocation,15.411143231873073
