MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N16,10,GradOperator,OpenFOAM,3645.24,OpenFOAM,with Allocation,1.0
2DSquare,N16,11,GradOperator,SerialExecutor,40213.6,NeoN,with Allocation,0.09064694531203374
2DSquare,N16,12,GradOperator,SerialExecutor,24897.4,NeoN,No allocation,0.14641046856298245
2DSquare,N16,13,GradOperator,GPUExecutor,1289970.0,NeoN,with Allocation,0.002825833158910672
2DSquare,N16,14,GradOperator,GPUExecutor,692915.0,NeoN,No allocation,0.005260731835795155
2DSquare,N256,85,GradOperator,OpenFOAM,511313.0,OpenFOAM,with Allocation,1.0
2DSquare,N256,86,GradOperator,SerialExecutor,3204040.0,NeoN,with Allocation,0.1595838379046454
2DSquare,N256,87,GradOperator,SerialExecutor,3080180.0,NeoN,No allocation,0.1660010129278159
2DSquare,N256,88,GradOperator,GPUExecutor,1291740.0,NeoN,with Allocation,0.3958327527211358
2DSquare,N256,89,GradOperator,GPUExecutor,705331.0,NeoN,No allocation,0.724926311192901
2DSquare,N64,110,GradOperator,OpenFOAM,28598.1,OpenFOAM,with Allocation,1.0
2DSquare,N64,111,GradOperator,SerialExecutor,220245.0,NeoN,with Allocation,0.1298467615609889
2DSquare,N64,112,GradOperator,SerialExecutor,204591.0,NeoN,No allocation,0.1397818085839553
2DSquare,N64,113,GradOperator,GPUExecutor,1322400.0,NeoN,with Allocation,0.021625907441016334
2DSquare,N64,114,GradOperator,GPUExecutor,727411.0,NeoN,No allocation,0.03931491275221299
3DCube,N16,35,GradOperator,OpenFOAM,45390.6,OpenFOAM,with Allocation,1.0
3DCube,N16,36,GradOperator,SerialExecutor,312786.0,NeoN,with Allocation,0.1451171088220061
3DCube,N16,37,GradOperator,SerialExecutor,294060.0,NeoN,No allocation,0.1543582942256682
3DCube,N16,38,GradOperator,GPUExecutor,1389540.0,NeoN,with Allocation,0.03266591821753961
3DCube,N16,39,GradOperator,GPUExecutor,753354.0,NeoN,No allocation,0.060251355936253075
3DCube,N32,60,GradOperator,OpenFOAM,443855.0,OpenFOAM,with Allocation,1.0
3DCube,N32,61,GradOperator,SerialExecutor,2405880.0,NeoN,with Allocation,0.18448758874091808
3DCube,N32,62,GradOperator,SerialExecutor,2333180.0,NeoN,No allocation,0.19023607265620313
3DCube,N32,63,GradOperator,GPUExecutor,1361230.0,NeoN,with Allocation,0.3260690698853243
3DCube,N32,64,GradOperator,GPUExecutor,737187.0,NeoN,No allocation,0.6020928204105607
3DCube,N64,135,GradOperator,OpenFOAM,3282600.0,OpenFOAM,with Allocation,1.0
3DCube,N64,136,GradOperator,SerialExecutor,19068600.0,NeoN,with Allocation,0.17214688021144708
3DCube,N64,137,GradOperator,SerialExecutor,18481600.0,NeoN,No allocation,0.1776144922517531
3DCube,N64,138,GradOperator,GPUExecutor,1735350.0,NeoN,with Allocation,1.8916068804563921
3DCube,N64,139,GradOperator,GPUExecutor,1024950.0,NeoN,No allocation,3.2026928142836235
