MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N16,0,Poisson,OpenFOAM,5297.0,OpenFOAM,Poisson,1.0
2DSquare,N16,1,Poisson,SerialExecutor,37495.2,NeoN,Poisson,0.1412714160745909
2DSquare,N16,2,Poisson,GPUExecutor,1464260.0,NeoN,Poisson,0.003617526941936541
2DSquare,N256,9,Poisson,OpenFOAM,870095.0,OpenFOAM,Poisson,1.0
2DSquare,N256,10,Poisson,SerialExecutor,866365.0,NeoN,Poisson,1.0043053447449979
2DSquare,N256,11,Poisson,GPUExecutor,1632710.0,NeoN,Poisson,0.5329146021032517
2DSquare,N64,12,Poisson,OpenFOAM,34006.4,OpenFOAM,Poisson,1.0
2DSquare,N64,13,Poisson,SerialExecutor,52085.3,NeoN,Poisson,0.6528982265629649
2DSquare,N64,14,Poisson,GPUExecutor,1534590.0,NeoN,Poisson,0.022159925452400968
3DCube,N16,3,Poisson,OpenFOAM,50100.4,OpenFOAM,Poisson,1.0
3DCube,N16,4,Poisson,SerialExecutor,61100.5,NeoN,Poisson,0.8199671033788595
3DCube,N16,5,Poisson,GPUExecutor,1519260.0,NeoN,Poisson,0.032976843989837155
3DCube,N32,6,Poisson,OpenFOAM,643012.0,OpenFOAM,Poisson,1.0
3DCube,N32,7,Poisson,SerialExecutor,626682.0,NeoN,Poisson,1.0260578730520424
3DCube,N32,8,Poisson,GPUExecutor,1799400.0,NeoN,Poisson,0.35734800489051904
3DCube,N64,15,Poisson,OpenFOAM,4930450.0,OpenFOAM,Poisson,1.0
3DCube,N64,16,Poisson,SerialExecutor,4146160.0,NeoN,Poisson,1.1891605726744747
3DCube,N64,17,Poisson,GPUExecutor,1886180.0,NeoN,Poisson,2.6139870001802583
