MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N16,0,scalarAdvection,OpenFOAM,8747.08,OpenFOAM,explicit-time-integration,1.0
2DSquare,N16,1,scalarAdvection,OpenFOAM,8167.04,OpenFOAM,implicit-time-integration,1.0710220593997335
2DSquare,N16,2,scalarAdvection,SerialExecutor,37502.4,NeoN,explicit-time-integration,0.23324053927215324
2DSquare,N16,3,scalarAdvection,SerialExecutor,64642.3,NeoN,implicit-time-integration,0.13531511100316665
2DSquare,N16,4,scalarAdvection,GPUExecutor,1684990.0,NeoN,explicit-time-integration,0.005191176208760883
2DSquare,N16,5,scalarAdvection,GPUExecutor,2438220.0,NeoN,implicit-time-integration,0.0035874859528672557
2DSquare,N256,18,scalarAdvection,OpenFOAM,1180760.0,OpenFOAM,explicit-time-integration,1.0
2DSquare,N256,19,scalarAdvection,OpenFOAM,1466090.0,OpenFOAM,implicit-time-integration,0.8053802972532382
2DSquare,N256,20,scalarAdvection,SerialExecutor,812723.0,NeoN,explicit-time-integration,1.4528443270339342
2DSquare,N256,21,scalarAdvection,SerialExecutor,4246500.0,NeoN,implicit-time-integration,0.2780548687154127
2DSquare,N256,22,scalarAdvection,GPUExecutor,1546210.0,NeoN,explicit-time-integration,0.7636478874150342
2DSquare,N256,23,scalarAdvection,GPUExecutor,2293700.0,NeoN,implicit-time-integration,0.5147839734926102
2DSquare,N64,24,scalarAdvection,OpenFOAM,49550.9,OpenFOAM,explicit-time-integration,1.0
2DSquare,N64,25,scalarAdvection,OpenFOAM,56792.1,OpenFOAM,implicit-time-integration,0.8724963507248368
2DSquare,N64,26,scalarAdvection,SerialExecutor,56591.4,NeoN,explicit-time-integration,0.8755906374466792
2DSquare,N64,27,scalarAdvection,SerialExecutor,280472.0,NeoN,implicit-time-integration,0.17666968538748967
2DSquare,N64,28,scalarAdvection,GPUExecutor,1613160.0,NeoN,explicit-time-integration,0.03071666790646929
2DSquare,N64,29,scalarAdvection,GPUExecutor,2430910.0,NeoN,implicit-time-integration,0.02038368347655816
3DCube,N16,6,scalarAdvection,OpenFOAM,67711.5,OpenFOAM,explicit-time-integration,1.0
3DCube,N16,7,scalarAdvection,OpenFOAM,77927.2,OpenFOAM,implicit-time-integration,0.8689071338377358
3DCube,N16,8,scalarAdvection,SerialExecutor,63463.2,NeoN,explicit-time-integration,1.066941156449722
3DCube,N16,9,scalarAdvection,SerialExecutor,410799.0,NeoN,implicit-time-integration,0.1648287848801969
3DCube,N16,10,scalarAdvection,GPUExecutor,1674260.0,NeoN,explicit-time-integration,0.040442643317047534
3DCube,N16,11,scalarAdvection,GPUExecutor,2149520.0,NeoN,implicit-time-integration,0.03150075365663032
3DCube,N32,12,scalarAdvection,OpenFOAM,624954.0,OpenFOAM,explicit-time-integration,1.0
3DCube,N32,13,scalarAdvection,OpenFOAM,916786.0,OpenFOAM,implicit-time-integration,0.6816792577548086
3DCube,N32,14,scalarAdvection,SerialExecutor,548092.0,NeoN,explicit-time-integration,1.1402355808878801
3DCube,N32,15,scalarAdvection,SerialExecutor,3144500.0,NeoN,implicit-time-integration,0.19874511051041502
3DCube,N32,16,scalarAdvection,GPUExecutor,1464240.0,NeoN,explicit-time-integration,0.4268111784953286
3DCube,N32,17,scalarAdvection,GPUExecutor,2198100.0,NeoN,implicit-time-integration,0.2843155452436195
3DCube,N64,30,scalarAdvection,OpenFOAM,9935420.0,OpenFOAM,explicit-time-integration,1.0
3DCube,N64,31,scalarAdvection,OpenFOAM,12415300.0,OpenFOAM,implicit-time-integration,0.8002561355746538
3DCube,N64,32,scalarAdvection,SerialExecutor,6387480.0,NeoN,explicit-time-integration,1.5554522284218502
3DCube,N64,33,scalarAdvection,SerialExecutor,28170100.0,NeoN,implicit-time-integration,0.3526938136534837
3DCube,N64,34,scalarAdvection,GPUExecutor,1809780.0,NeoN,explicit-time-integration,5.489849594978395
3DCube,N64,35,scalarAdvection,GPUExecutor,2976000.0,NeoN,implicit-time-integration,3.3385147849462364
