MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N16,0,pressureVelocityCoupling,CPU,1378.23,OpenFOAM,Compute rAU,
2DSquare,N16,1,pressureVelocityCoupling,CPU,4594.47,OpenFOAM,Compute HbyA,
2DSquare,N16,2,pressureVelocityCoupling,CPU,4291.39,OpenFOAM,constrainHbyA,
2DSquare,N16,3,pressureVelocityCoupling,SerialExecutor,12912.1,NeoN,Compute rAU,
2DSquare,N16,4,pressureVelocityCoupling,SerialExecutor,55319.0,NeoN,Compute HbyA,
2DSquare,N16,5,pressureVelocityCoupling,SerialExecutor,58.9759,NeoN,constrainHbyA,
2DSquare,N16,6,pressureVelocityCoupling,GPUExecutor,594706.0,NeoN,Compute rAU,
2DSquare,N16,7,pressureVelocityCoupling,GPUExecutor,1907910.0,NeoN,Compute HbyA,
2DSquare,N16,8,pressureVelocityCoupling,GPUExecutor,379.625,NeoN,constrainHbyA,
2DSquare,N256,27,pressureVelocityCoupling,CPU,97893.9,OpenFOAM,Compute rAU,
2DSquare,N256,28,pressureVelocityCoupling,CPU,1196750.0,OpenFOAM,Compute HbyA,
2DSquare,N256,29,pressureVelocityCoupling,CPU,1189900.0,OpenFOAM,constrainHbyA,
2DSquare,N256,30,pressureVelocityCoupling,SerialExecutor,272040.0,NeoN,Compute rAU,
2DSquare,N256,31,pressureVelocityCoupling,SerialExecutor,3536380.0,NeoN,Compute HbyA,
2DSquare,N256,32,pressureVelocityCoupling,SerialExecutor,59.6046,NeoN,constrainHbyA,
2DSquare,N256,33,pressureVelocityCoupling,GPUExecutor,627200.0,NeoN,Compute rAU,
2DSquare,N256,34,pressureVelocityCoupling,GPUExecutor,2038410.0,NeoN,Compute HbyA,
2DSquare,N256,35,pressureVelocityCoupling,GPUExecutor,369.392,NeoN,constrainHbyA,
2DSquare,N64,36,pressureVelocityCoupling,CPU,7040.2,OpenFOAM,Compute rAU,
2DSquare,N64,37,pressureVelocityCoupling,CPU,48554.6,OpenFOAM,Compute HbyA,
2DSquare,N64,38,pressureVelocityCoupling,CPU,49835.8,OpenFOAM,constrainHbyA,
2DSquare,N64,39,pressureVelocityCoupling,SerialExecutor,18004.8,NeoN,Compute rAU,
2DSquare,N64,40,pressureVelocityCoupling,SerialExecutor,239001.0,NeoN,Compute HbyA,
2DSquare,N64,41,pressureVelocityCoupling,SerialExecutor,59.4054,NeoN,constrainHbyA,
2DSquare,N64,42,pressureVelocityCoupling,GPUExecutor,622959.0,NeoN,Compute rAU,
2DSquare,N64,43,pressureVelocityCoupling,GPUExecutor,1948780.0,NeoN,Compute HbyA,
2DSquare,N64,44,pressureVelocityCoupling,GPUExecutor,366.719,NeoN,constrainHbyA,
3DCube,N16,9,pressureVelocityCoupling,CPU,10093.8,OpenFOAM,Compute rAU,
3DCube,N16,10,pressureVelocityCoupling,CPU,65210.5,OpenFOAM,Compute HbyA,
3DCube,N16,11,pressureVelocityCoupling,CPU,63924.6,OpenFOAM,constrainHbyA,
3DCube,N16,12,pressureVelocityCoupling,SerialExecutor,19489.9,NeoN,Compute rAU,
3DCube,N16,13,pressureVelocityCoupling,SerialExecutor,332157.0,NeoN,Compute HbyA,
3DCube,N16,14,pressureVelocityCoupling,SerialExecutor,255.769,NeoN,constrainHbyA,
3DCube,N16,15,pressureVelocityCoupling,GPUExecutor,662476.0,NeoN,Compute rAU,
3DCube,N16,16,pressureVelocityCoupling,GPUExecutor,2025500.0,NeoN,Compute HbyA,
3DCube,N16,17,pressureVelocityCoupling,GPUExecutor,22682.1,NeoN,constrainHbyA,
3DCube,N32,18,pressureVelocityCoupling,CPU,64744.0,OpenFOAM,Compute rAU,
3DCube,N32,19,pressureVelocityCoupling,CPU,700331.0,OpenFOAM,Compute HbyA,
3DCube,N32,20,pressureVelocityCoupling,CPU,710452.0,OpenFOAM,constrainHbyA,
3DCube,N32,21,pressureVelocityCoupling,SerialExecutor,169855.0,NeoN,Compute rAU,
3DCube,N32,22,pressureVelocityCoupling,SerialExecutor,2593320.0,NeoN,Compute HbyA,
3DCube,N32,23,pressureVelocityCoupling,SerialExecutor,1841.97,NeoN,constrainHbyA,
3DCube,N32,24,pressureVelocityCoupling,GPUExecutor,637916.0,NeoN,Compute rAU,
3DCube,N32,25,pressureVelocityCoupling,GPUExecutor,2056420.0,NeoN,Compute HbyA,
3DCube,N32,26,pressureVelocityCoupling,GPUExecutor,23816.2,NeoN,constrainHbyA,
3DCube,N64,45,pressureVelocityCoupling,CPU,728224.0,OpenFOAM,Compute rAU,
3DCube,N64,46,pressureVelocityCoupling,CPU,5925920.0,OpenFOAM,Compute HbyA,
3DCube,N64,47,pressureVelocityCoupling,CPU,6718640.0,OpenFOAM,constrainHbyA,
3DCube,N64,48,pressureVelocityCoupling,SerialExecutor,1074890.0,NeoN,Compute rAU,
3DCube,N64,49,pressureVelocityCoupling,SerialExecutor,21645400.0,NeoN,Compute HbyA,
3DCube,N64,50,pressureVelocityCoupling,SerialExecutor,7044.26,NeoN,constrainHbyA,
3DCube,N64,51,pressureVelocityCoupling,GPUExecutor,736132.0,NeoN,Compute rAU,
3DCube,N64,52,pressureVelocityCoupling,GPUExecutor,2543810.0,NeoN,Compute HbyA,
3DCube,N64,53,pressureVelocityCoupling,GPUExecutor,23711.4,NeoN,constrainHbyA,
