MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N16,0,scalarAdvection,OpenFOAM,8789.58,OpenFOAM,explicit-time-integration,1.0
2DSquare,N16,1,scalarAdvection,OpenFOAM,7890.66,OpenFOAM,implicit-time-integration,1.113922029335949
2DSquare,N16,2,scalarAdvection,SerialExecutor,37009.6,NeoN,explicit-time-integration,0.23749459599671438
2DSquare,N16,3,scalarAdvection,SerialExecutor,63914.8,NeoN,implicit-time-integration,0.13752026134791942
2DSquare,N16,4,scalarAdvection,GPUExecutor,1674390.0,NeoN,explicit-time-integration,0.0052494221776288675
2DSquare,N16,5,scalarAdvection,GPUExecutor,2448600.0,NeoN,implicit-time-integration,0.0035896348934084782
2DSquare,N256,18,scalarAdvection,OpenFOAM,1254060.0,OpenFOAM,explicit-time-integration,1.0
2DSquare,N256,19,scalarAdvection,OpenFOAM,1463090.0,OpenFOAM,implicit-time-integration,0.8571311402579472
2DSquare,N256,20,scalarAdvection,SerialExecutor,813236.0,NeoN,explicit-time-integration,1.5420615909772808
2DSquare,N256,21,scalarAdvection,SerialExecutor,4254720.0,NeoN,implicit-time-integration,0.29474560018050544
2DSquare,N256,22,scalarAdvection,GPUExecutor,1654570.0,NeoN,explicit-time-integration,0.7579371075264268
2DSquare,N256,23,scalarAdvection,GPUExecutor,2430160.0,NeoN,implicit-time-integration,0.516040096125358
2DSquare,N64,24,scalarAdvection,OpenFOAM,48484.2,OpenFOAM,explicit-time-integration,1.0
2DSquare,N64,25,scalarAdvection,OpenFOAM,56265.1,OpenFOAM,implicit-time-integration,0.8617100120678716
2DSquare,N64,26,scalarAdvection,SerialExecutor,55615.8,NeoN,explicit-time-integration,0.8717702523383641
2DSquare,N64,27,scalarAdvection,SerialExecutor,279527.0,NeoN,implicit-time-integration,0.17345086521158956
2DSquare,N64,28,scalarAdvection,GPUExecutor,1466260.0,NeoN,explicit-time-integration,0.03306657755104824
2DSquare,N64,29,scalarAdvection,GPUExecutor,2179090.0,NeoN,implicit-time-integration,0.022249746453794933
3DCube,N16,6,scalarAdvection,OpenFOAM,71929.9,OpenFOAM,explicit-time-integration,1.0
3DCube,N16,7,scalarAdvection,OpenFOAM,80592.0,OpenFOAM,implicit-time-integration,0.8925191085963866
3DCube,N16,8,scalarAdvection,SerialExecutor,64598.2,NeoN,explicit-time-integration,1.113496970503822
3DCube,N16,9,scalarAdvection,SerialExecutor,412081.0,NeoN,implicit-time-integration,0.17455281849927562
3DCube,N16,10,scalarAdvection,GPUExecutor,1429780.0,NeoN,explicit-time-integration,0.05030836911972471
3DCube,N16,11,scalarAdvection,GPUExecutor,2118780.0,NeoN,implicit-time-integration,0.03394873464918491
3DCube,N32,12,scalarAdvection,OpenFOAM,629358.0,OpenFOAM,explicit-time-integration,1.0
3DCube,N32,13,scalarAdvection,OpenFOAM,891619.0,OpenFOAM,implicit-time-integration,0.7058597898878333
3DCube,N32,14,scalarAdvection,SerialExecutor,550478.0,NeoN,explicit-time-integration,1.1432936466125803
3DCube,N32,15,scalarAdvection,SerialExecutor,3156900.0,NeoN,implicit-time-integration,0.1993594982419462
3DCube,N32,16,scalarAdvection,GPUExecutor,1689480.0,NeoN,explicit-time-integration,0.3725158036792386
3DCube,N32,17,scalarAdvection,GPUExecutor,2704640.0,NeoN,implicit-time-integration,0.23269566374822528
3DCube,N64,30,scalarAdvection,OpenFOAM,7877760.0,OpenFOAM,explicit-time-integration,1.0
3DCube,N64,31,scalarAdvection,OpenFOAM,12401300.0,OpenFOAM,implicit-time-integration,0.6352366284179884
3DCube,N64,32,scalarAdvection,SerialExecutor,6519530.0,NeoN,explicit-time-integration,1.2083325024963456
3DCube,N64,33,scalarAdvection,SerialExecutor,28167500.0,NeoN,implicit-time-integration,0.2796755125588
3DCube,N64,34,scalarAdvection,GPUExecutor,1894890.0,NeoN,explicit-time-integration,4.157370612542153
3DCube,N64,35,scalarAdvection,GPUExecutor,3108840.0,NeoN,implicit-time-integration,2.533986953333076
