MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N512,70,DivOperator,OpenFOAM,1396570.0,OpenFOAM,with Allocation,1.0
2DSquare,N512,71,DivOperator,SerialExecutor,1709470.0,NeoN,with Allocation,0.816960812415544
2DSquare,N512,72,DivOperator,SerialExecutor,1555740.0,NeoN,No allocation,0.897688559785054
2DSquare,N512,73,DivOperator,CPUExecutor,7178110.0,NeoN,with Allocation,0.19455957069479293
2DSquare,N512,74,DivOperator,CPUExecutor,7028190.0,NeoN,No allocation,0.1987097673796525
2DSquare,N512,75,DivOperator,GPUExecutor,1558240.0,NeoN,with Allocation,0.8962483314508677
2DSquare,N512,76,DivOperator,GPUExecutor,847094.0,NeoN,No allocation,1.6486600070358188
2DSquare,N64,35,DivOperator,OpenFOAM,18058.6,OpenFOAM,with Allocation,1.0
2DSquare,N64,36,DivOperator,SerialExecutor,48757.9,NeoN,with Allocation,0.37037280112556115
2DSquare,N64,37,DivOperator,SerialExecutor,33308.0,NeoN,No allocation,0.5421700492374204
2DSquare,N64,38,DivOperator,CPUExecutor,129268.0,NeoN,with Allocation,0.13969892007302656
2DSquare,N64,39,DivOperator,CPUExecutor,113612.0,NeoN,No allocation,0.15894975882829276
2DSquare,N64,40,DivOperator,GPUExecutor,1491760.0,NeoN,with Allocation,0.01210556657907438
2DSquare,N64,41,DivOperator,GPUExecutor,803172.0,NeoN,No allocation,0.02248410054135353
3DCube,N16,0,DivOperator,OpenFOAM,55139.0,OpenFOAM,with Allocation,1.0
3DCube,N16,1,DivOperator,SerialExecutor,121465.0,NeoN,with Allocation,0.45394969744370806
3DCube,N16,2,DivOperator,SerialExecutor,43182.1,NeoN,No allocation,1.2768948244758824
3DCube,N16,3,DivOperator,CPUExecutor,179441.0,NeoN,with Allocation,0.3072820592841101
3DCube,N16,4,DivOperator,CPUExecutor,162466.0,NeoN,No allocation,0.33938793347531176
3DCube,N16,5,DivOperator,GPUExecutor,1337310.0,NeoN,with Allocation,0.04123127771421735
3DCube,N16,6,DivOperator,GPUExecutor,708331.0,NeoN,No allocation,0.07784355054346061
3DCube,N64,105,DivOperator,OpenFOAM,2205490.0,OpenFOAM,with Allocation,1.0
3DCube,N64,106,DivOperator,SerialExecutor,2580900.0,NeoN,with Allocation,0.8545429888798481
3DCube,N64,107,DivOperator,SerialExecutor,2374220.0,NeoN,No allocation,0.9289324493939062
3DCube,N64,108,DivOperator,CPUExecutor,10479400.0,NeoN,with Allocation,0.2104595682958948
3DCube,N64,109,DivOperator,CPUExecutor,10345100.0,NeoN,No allocation,0.21319175261718107
3DCube,N64,110,DivOperator,GPUExecutor,1603000.0,NeoN,with Allocation,1.3758515283842794
3DCube,N64,111,DivOperator,GPUExecutor,933199.0,NeoN,No allocation,2.363365155770634
