MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N512,91,FaceInterpolation,OpenFOAM,648322.0,OpenFOAM,with Allocation,1.0
2DSquare,N512,92,FaceInterpolation,SerialExecutor,1191450.0,NeoN,with Allocation,0.544145369088086
2DSquare,N512,93,FaceInterpolation,SerialExecutor,542419.0,NeoN,No allocation,1.195242054574047
2DSquare,N512,94,FaceInterpolation,CPUExecutor,805028.0,NeoN,with Allocation,0.8053409322408661
2DSquare,N512,95,FaceInterpolation,CPUExecutor,548713.0,NeoN,No allocation,1.18153205774239
2DSquare,N512,96,FaceInterpolation,GPUExecutor,779957.0,NeoN,with Allocation,0.8312278753828737
2DSquare,N512,97,FaceInterpolation,GPUExecutor,32317.7,NeoN,No allocation,20.06089542263218
2DSquare,N64,56,FaceInterpolation,OpenFOAM,5015.02,OpenFOAM,with Allocation,1.0
2DSquare,N64,57,FaceInterpolation,SerialExecutor,21966.3,NeoN,with Allocation,0.22830517656592147
2DSquare,N64,58,FaceInterpolation,SerialExecutor,6423.59,NeoN,No allocation,0.7807191928501042
2DSquare,N64,59,FaceInterpolation,CPUExecutor,23060.5,NeoN,with Allocation,0.21747230112096444
2DSquare,N64,60,FaceInterpolation,CPUExecutor,6625.3,NeoN,No allocation,0.7569498739679713
2DSquare,N64,61,FaceInterpolation,GPUExecutor,762506.0,NeoN,with Allocation,0.006577023656207296
2DSquare,N64,62,FaceInterpolation,GPUExecutor,22892.4,NeoN,No allocation,0.2190692107424298
3DCube,N16,21,FaceInterpolation,OpenFOAM,6984.5,OpenFOAM,with Allocation,1.0
3DCube,N16,22,FaceInterpolation,SerialExecutor,26742.6,NeoN,with Allocation,0.2611750540336392
3DCube,N16,23,FaceInterpolation,SerialExecutor,9546.38,NeoN,No allocation,0.7316385897062552
3DCube,N16,24,FaceInterpolation,CPUExecutor,28571.9,NeoN,with Allocation,0.24445346651780245
3DCube,N16,25,FaceInterpolation,CPUExecutor,9973.9,NeoN,No allocation,0.7002777248618896
3DCube,N16,26,FaceInterpolation,GPUExecutor,676598.0,NeoN,with Allocation,0.010322968734758306
3DCube,N16,27,FaceInterpolation,GPUExecutor,19822.3,NeoN,No allocation,0.3523556802187435
3DCube,N64,126,FaceInterpolation,OpenFOAM,756598.0,OpenFOAM,with Allocation,1.0
3DCube,N64,127,FaceInterpolation,SerialExecutor,1304080.0,NeoN,with Allocation,0.5801775964664745
3DCube,N64,128,FaceInterpolation,SerialExecutor,865969.0,NeoN,No allocation,0.8737010216301045
3DCube,N64,129,FaceInterpolation,CPUExecutor,1289320.0,NeoN,with Allocation,0.5868194086805448
3DCube,N64,130,FaceInterpolation,CPUExecutor,850182.0,NeoN,No allocation,0.8899247455250758
3DCube,N64,131,FaceInterpolation,GPUExecutor,787340.0,NeoN,with Allocation,0.96095460665024
3DCube,N64,132,FaceInterpolation,GPUExecutor,35708.3,NeoN,No allocation,21.188295158268524
