MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N512,98,FaceNormalGradient,OpenFOAM,562391.0,OpenFOAM,with Allocation,1.0
2DSquare,N512,99,FaceNormalGradient,SerialExecutor,812692.0,NeoN,with Allocation,0.6920100111727444
2DSquare,N512,100,FaceNormalGradient,SerialExecutor,516569.0,NeoN,No allocation,1.0887045099493
2DSquare,N512,101,FaceNormalGradient,CPUExecutor,826827.0,NeoN,with Allocation,0.6801797715846241
2DSquare,N512,102,FaceNormalGradient,CPUExecutor,567259.0,NeoN,No allocation,0.9914183820794381
2DSquare,N512,103,FaceNormalGradient,GPUExecutor,787200.0,NeoN,with Allocation,0.7144194613821139
2DSquare,N512,104,FaceNormalGradient,GPUExecutor,37041.5,NeoN,No allocation,15.1827274813385
2DSquare,N64,63,FaceNormalGradient,OpenFOAM,5172.48,OpenFOAM,with Allocation,1.0
2DSquare,N64,64,FaceNormalGradient,SerialExecutor,20631.2,NeoN,with Allocation,0.2507115436814145
2DSquare,N64,65,FaceNormalGradient,SerialExecutor,4720.18,NeoN,No allocation,1.0958226169340999
2DSquare,N64,66,FaceNormalGradient,CPUExecutor,21686.7,NeoN,with Allocation,0.2385093167701863
2DSquare,N64,67,FaceNormalGradient,CPUExecutor,4904.39,NeoN,No allocation,1.0546632710693886
2DSquare,N64,68,FaceNormalGradient,GPUExecutor,775349.0,NeoN,with Allocation,0.006671163566342382
2DSquare,N64,69,FaceNormalGradient,GPUExecutor,26659.5,NeoN,No allocation,0.19402014291340797
3DCube,N16,28,FaceNormalGradient,OpenFOAM,8241.4,OpenFOAM,with Allocation,1.0
3DCube,N16,29,FaceNormalGradient,SerialExecutor,25245.7,NeoN,with Allocation,0.32644767227686294
3DCube,N16,30,FaceNormalGradient,SerialExecutor,7296.28,NeoN,No allocation,1.1295345025136097
3DCube,N16,31,FaceNormalGradient,CPUExecutor,26418.9,NeoN,with Allocation,0.31195091392904317
3DCube,N16,32,FaceNormalGradient,CPUExecutor,7504.96,NeoN,No allocation,1.0981271052743784
3DCube,N16,33,FaceNormalGradient,GPUExecutor,677656.0,NeoN,with Allocation,0.012161627728523026
3DCube,N16,34,FaceNormalGradient,GPUExecutor,25054.8,NeoN,No allocation,0.3289349745358175
3DCube,N64,133,FaceNormalGradient,OpenFOAM,772696.0,OpenFOAM,with Allocation,1.0
3DCube,N64,134,FaceNormalGradient,SerialExecutor,1211280.0,NeoN,with Allocation,0.6379169143385509
3DCube,N64,135,FaceNormalGradient,SerialExecutor,795545.0,NeoN,No allocation,0.9712788088668775
3DCube,N64,136,FaceNormalGradient,CPUExecutor,1212610.0,NeoN,with Allocation,0.6372172421471042
3DCube,N64,137,FaceNormalGradient,CPUExecutor,796105.0,NeoN,No allocation,0.9705955872654989
3DCube,N64,138,FaceNormalGradient,GPUExecutor,806553.0,NeoN,with Allocation,0.958022597399055
3DCube,N64,139,FaceNormalGradient,GPUExecutor,46474.5,NeoN,No allocation,16.62623589280143
