MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N512,84,GradOperator,OpenFOAM,2154910.0,OpenFOAM,with Allocation,1.0
2DSquare,N512,85,GradOperator,SerialExecutor,12860800.0,NeoN,with Allocation,0.1675564506096044
2DSquare,N512,86,GradOperator,SerialExecutor,12420800.0,NeoN,No allocation,0.17349204560092749
2DSquare,N512,87,GradOperator,CPUExecutor,12804400.0,NeoN,with Allocation,0.16829449251819686
2DSquare,N512,88,GradOperator,CPUExecutor,12395700.0,NeoN,No allocation,0.1738433489032487
2DSquare,N512,89,GradOperator,GPUExecutor,1638130.0,NeoN,with Allocation,1.3154694682351218
2DSquare,N512,90,GradOperator,GPUExecutor,949995.0,NeoN,No allocation,2.2683382544118653
2DSquare,N64,49,GradOperator,OpenFOAM,27559.6,OpenFOAM,with Allocation,1.0
2DSquare,N64,50,GradOperator,SerialExecutor,217813.0,NeoN,with Allocation,0.12652871958973982
2DSquare,N64,51,GradOperator,SerialExecutor,200928.0,NeoN,No allocation,0.1371615703137442
2DSquare,N64,52,GradOperator,CPUExecutor,220010.0,NeoN,with Allocation,0.1252652152174901
2DSquare,N64,53,GradOperator,CPUExecutor,203249.0,NeoN,No allocation,0.13559525508120582
2DSquare,N64,54,GradOperator,GPUExecutor,1511950.0,NeoN,with Allocation,0.01822785145011409
2DSquare,N64,55,GradOperator,GPUExecutor,806159.0,NeoN,No allocation,0.03418630816005279
3DCube,N16,14,GradOperator,OpenFOAM,47931.3,OpenFOAM,with Allocation,1.0
3DCube,N16,15,GradOperator,SerialExecutor,315604.0,NeoN,with Allocation,0.15187164928201163
3DCube,N16,16,GradOperator,SerialExecutor,297586.0,NeoN,No allocation,0.16106705288555243
3DCube,N16,17,GradOperator,CPUExecutor,317945.0,NeoN,with Allocation,0.15075343219739265
3DCube,N16,18,GradOperator,CPUExecutor,301584.0,NeoN,No allocation,0.15893183988540507
3DCube,N16,19,GradOperator,GPUExecutor,1342860.0,NeoN,with Allocation,0.035693445333095035
3DCube,N16,20,GradOperator,GPUExecutor,725534.0,NeoN,No allocation,0.0660634787618499
3DCube,N64,119,GradOperator,OpenFOAM,3118100.0,OpenFOAM,with Allocation,1.0
3DCube,N64,120,GradOperator,SerialExecutor,19113800.0,NeoN,with Allocation,0.16313344285280793
3DCube,N64,121,GradOperator,SerialExecutor,20445800.0,NeoN,No allocation,0.15250564908196304
3DCube,N64,122,GradOperator,CPUExecutor,21543600.0,NeoN,with Allocation,0.14473439907907684
3DCube,N64,123,GradOperator,CPUExecutor,18601200.0,NeoN,No allocation,0.16762897017396727
3DCube,N64,124,GradOperator,GPUExecutor,1727150.0,NeoN,with Allocation,1.805344063920331
3DCube,N64,125,GradOperator,GPUExecutor,1011040.0,NeoN,No allocation,3.08405206520019
