MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N512,77,LaplacianOperator,OpenFOAM,2875440.0,OpenFOAM,with Allocation,1.0
2DSquare,N512,78,LaplacianOperator,SerialExecutor,7103490.0,NeoN,with Allocation,0.40479257379119277
2DSquare,N512,79,LaplacianOperator,SerialExecutor,6935630.0,NeoN,No allocation,0.4145895902751444
2DSquare,N512,80,LaplacianOperator,CPUExecutor,7265070.0,NeoN,with Allocation,0.39578971709838995
2DSquare,N512,81,LaplacianOperator,CPUExecutor,7113960.0,NeoN,No allocation,0.40419681864952856
2DSquare,N512,82,LaplacianOperator,GPUExecutor,1572740.0,NeoN,with Allocation,1.8282996553785114
2DSquare,N512,83,LaplacianOperator,GPUExecutor,855822.0,NeoN,No allocation,3.359857540469864
2DSquare,N64,42,LaplacianOperator,OpenFOAM,20275.5,OpenFOAM,with Allocation,1.0
2DSquare,N64,43,LaplacianOperator,SerialExecutor,124090.0,NeoN,with Allocation,0.16339350471432026
2DSquare,N64,44,LaplacianOperator,SerialExecutor,109613.0,NeoN,No allocation,0.1849734976690721
2DSquare,N64,45,LaplacianOperator,CPUExecutor,128382.0,NeoN,with Allocation,0.1579310183670608
2DSquare,N64,46,LaplacianOperator,CPUExecutor,112732.0,NeoN,No allocation,0.17985576411311785
2DSquare,N64,47,LaplacianOperator,GPUExecutor,1523800.0,NeoN,with Allocation,0.01330588003675023
2DSquare,N64,48,LaplacianOperator,GPUExecutor,807124.0,NeoN,No allocation,0.025120675385690426
3DCube,N16,7,LaplacianOperator,OpenFOAM,32096.7,OpenFOAM,with Allocation,1.0
3DCube,N16,8,LaplacianOperator,SerialExecutor,171720.0,NeoN,with Allocation,0.18691299790356394
3DCube,N16,9,LaplacianOperator,SerialExecutor,155843.0,NeoN,No allocation,0.20595535250219774
3DCube,N16,10,LaplacianOperator,CPUExecutor,177949.0,NeoN,with Allocation,0.18037021843337137
3DCube,N16,11,LaplacianOperator,CPUExecutor,161275.0,NeoN,No allocation,0.19901844675244149
3DCube,N16,12,LaplacianOperator,GPUExecutor,1338290.0,NeoN,with Allocation,0.023983366833795365
3DCube,N16,13,LaplacianOperator,GPUExecutor,713885.0,NeoN,No allocation,0.044960602898225906
3DCube,N64,112,LaplacianOperator,OpenFOAM,2618840.0,OpenFOAM,with Allocation,1.0
3DCube,N64,113,LaplacianOperator,SerialExecutor,10359500.0,NeoN,with Allocation,0.25279598436217965
3DCube,N64,114,LaplacianOperator,SerialExecutor,10137100.0,NeoN,No allocation,0.25834212940584583
3DCube,N64,115,LaplacianOperator,CPUExecutor,10568900.0,NeoN,with Allocation,0.24778737616970545
3DCube,N64,116,LaplacianOperator,CPUExecutor,10337500.0,NeoN,No allocation,0.2533339782345828
3DCube,N64,117,LaplacianOperator,GPUExecutor,1608460.0,NeoN,with Allocation,1.6281660718948558
3DCube,N64,118,LaplacianOperator,GPUExecutor,895374.0,NeoN,No allocation,2.9248559819695457
