MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N512,8,Poisson,OpenFOAM,3350520.0,OpenFOAM,Poisson,1.0
2DSquare,N512,9,Poisson,SerialExecutor,958389.0,NeoN,Poisson,3.495991711090173
2DSquare,N512,10,Poisson,CPUExecutor,962332.0,NeoN,Poisson,3.4816674494872872
2DSquare,N512,11,Poisson,GPUExecutor,373144.0,NeoN,Poisson,8.979160860150506
2DSquare,N64,4,Poisson,OpenFOAM,34171.5,OpenFOAM,Poisson,1.0
2DSquare,N64,5,Poisson,SerialExecutor,19625.9,NeoN,Poisson,1.7411430813363973
2DSquare,N64,6,Poisson,CPUExecutor,20426.9,NeoN,Poisson,1.6728676402195144
2DSquare,N64,7,Poisson,GPUExecutor,280064.0,NeoN,Poisson,0.12201318270109689
3DCube,N16,0,Poisson,OpenFOAM,50374.4,OpenFOAM,Poisson,1.0
3DCube,N16,1,Poisson,SerialExecutor,22005.6,NeoN,Poisson,2.289162758570546
3DCube,N16,2,Poisson,CPUExecutor,21784.4,NeoN,Poisson,2.3124070435724646
3DCube,N16,3,Poisson,GPUExecutor,333002.0,NeoN,Poisson,0.15127356592452898
3DCube,N64,12,Poisson,OpenFOAM,5372860.0,OpenFOAM,Poisson,1.0
3DCube,N64,13,Poisson,SerialExecutor,1192750.0,NeoN,Poisson,4.504598616642213
3DCube,N64,14,Poisson,CPUExecutor,1184500.0,NeoN,Poisson,4.535972984381596
3DCube,N64,15,Poisson,GPUExecutor,418215.0,NeoN,Poisson,12.847124086893105
