MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N512,16,momentum,OpenFOAM,9148040.0,OpenFOAM,without RHS,1.0
2DSquare,N512,17,momentum,OpenFOAM,14653200.0,OpenFOAM,with RHS,0.624303223869189
2DSquare,N512,18,momentum,SerialExecutor,32776500.0,NeoN,without RHS,0.2791036260735588
2DSquare,N512,19,momentum,SerialExecutor,62817200.0,NeoN,with RHS,0.14562954095375152
2DSquare,N512,20,momentum,CPUExecutor,31107500.0,NeoN,without RHS,0.29407827694285943
2DSquare,N512,21,momentum,CPUExecutor,63004700.0,NeoN,with RHS,0.1451961520331023
2DSquare,N512,22,momentum,GPUExecutor,2411380.0,NeoN,without RHS,3.793694896698156
2DSquare,N512,23,momentum,GPUExecutor,4733230.0,NeoN,with RHS,1.9327267003716277
2DSquare,N64,8,momentum,OpenFOAM,72111.4,OpenFOAM,without RHS,1.0
2DSquare,N64,9,momentum,OpenFOAM,115502.0,OpenFOAM,with RHS,0.6243303146265865
2DSquare,N64,10,momentum,SerialExecutor,467867.0,NeoN,without RHS,0.15412798936449887
2DSquare,N64,11,momentum,SerialExecutor,929573.0,NeoN,with RHS,0.07757475744239559
2DSquare,N64,12,momentum,CPUExecutor,472789.0,NeoN,without RHS,0.15252343011364478
2DSquare,N64,13,momentum,CPUExecutor,941785.0,NeoN,with RHS,0.07656885594907542
2DSquare,N64,14,momentum,GPUExecutor,957458.0,NeoN,without RHS,0.07531547075694181
2DSquare,N64,15,momentum,GPUExecutor,1986670.0,NeoN,with RHS,0.03629762366170526
3DCube,N16,0,momentum,OpenFOAM,111018.0,OpenFOAM,without RHS,1.0
3DCube,N16,1,momentum,OpenFOAM,191025.0,OpenFOAM,with RHS,0.5811700039261877
3DCube,N16,2,momentum,SerialExecutor,724505.0,NeoN,without RHS,0.15323289694343034
3DCube,N16,3,momentum,SerialExecutor,1446010.0,NeoN,with RHS,0.07677540265973265
3DCube,N16,4,momentum,CPUExecutor,736459.0,NeoN,without RHS,0.15074566269133788
3DCube,N16,5,momentum,CPUExecutor,1467170.0,NeoN,with RHS,0.07566812298506649
3DCube,N16,6,momentum,GPUExecutor,1035630.0,NeoN,without RHS,0.1071985168448191
3DCube,N16,7,momentum,GPUExecutor,2024870.0,NeoN,with RHS,0.05482722347607501
3DCube,N64,24,momentum,OpenFOAM,13072000.0,OpenFOAM,without RHS,1.0
3DCube,N64,25,momentum,OpenFOAM,20479600.0,OpenFOAM,with RHS,0.6382937166741538
3DCube,N64,26,momentum,SerialExecutor,46604600.0,NeoN,without RHS,0.2804873338683306
3DCube,N64,27,momentum,SerialExecutor,101603000.0,NeoN,with RHS,0.1286576183774101
3DCube,N64,28,momentum,CPUExecutor,50437600.0,NeoN,without RHS,0.25917172902755087
3DCube,N64,29,momentum,CPUExecutor,102188000.0,NeoN,with RHS,0.1279210866246526
3DCube,N64,30,momentum,GPUExecutor,3268270.0,NeoN,without RHS,3.999669549945384
3DCube,N64,31,momentum,GPUExecutor,6418170.0,NeoN,with RHS,2.036717631349746
