MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N512,24,pressureVelocityCoupling,CPU,662471.0,OpenFOAM,Compute rAU,8.217416309544117
2DSquare,N512,25,pressureVelocityCoupling,CPU,5449600.0,OpenFOAM,Compute HbyA,0.9989357017028773
2DSquare,N512,26,pressureVelocityCoupling,OpenFOAM,5443800.0,OpenFOAM,constrainHbyA,1.0
2DSquare,N512,27,pressureVelocityCoupling,SerialExecutor,1053290.0,NeoN,Compute rAU,5.168377180073864
2DSquare,N512,28,pressureVelocityCoupling,SerialExecutor,3823850.0,NeoN,Compute HbyA,1.4236437098735568
2DSquare,N512,29,pressureVelocityCoupling,SerialExecutor,56.6345,NeoN,constrainHbyA,96121.62197953544
2DSquare,N512,30,pressureVelocityCoupling,CPUExecutor,1239110.0,NeoN,Compute rAU,4.393314556415492
2DSquare,N512,31,pressureVelocityCoupling,CPUExecutor,3915700.0,NeoN,Compute HbyA,1.3902495083893045
2DSquare,N512,32,pressureVelocityCoupling,CPUExecutor,57.0373,NeoN,constrainHbyA,95442.80672472224
2DSquare,N512,33,pressureVelocityCoupling,GPUExecutor,794025.0,NeoN,Compute rAU,6.8559554170208745
2DSquare,N512,34,pressureVelocityCoupling,GPUExecutor,2576570.0,NeoN,Compute HbyA,2.112808889337375
2DSquare,N512,35,pressureVelocityCoupling,GPUExecutor,387.476,NeoN,constrainHbyA,14049.386284569882
2DSquare,N64,12,pressureVelocityCoupling,CPU,7009.42,OpenFOAM,Compute rAU,6.832904862313857
2DSquare,N64,13,pressureVelocityCoupling,CPU,48458.8,OpenFOAM,Compute HbyA,0.9883591834713199
2DSquare,N64,14,pressureVelocityCoupling,OpenFOAM,47894.7,OpenFOAM,constrainHbyA,1.0
2DSquare,N64,15,pressureVelocityCoupling,SerialExecutor,19204.8,NeoN,Compute rAU,2.4938921519620094
2DSquare,N64,16,pressureVelocityCoupling,SerialExecutor,82030.1,NeoN,Compute HbyA,0.5838673852646772
2DSquare,N64,17,pressureVelocityCoupling,SerialExecutor,55.9533,NeoN,constrainHbyA,855.9763231123097
2DSquare,N64,18,pressureVelocityCoupling,CPUExecutor,19626.1,NeoN,Compute rAU,2.4403574831474413
2DSquare,N64,19,pressureVelocityCoupling,CPUExecutor,83304.9,NeoN,Compute HbyA,0.5749325669918576
2DSquare,N64,20,pressureVelocityCoupling,CPUExecutor,57.5028,NeoN,constrainHbyA,832.9107452158851
2DSquare,N64,21,pressureVelocityCoupling,GPUExecutor,655540.0,NeoN,Compute rAU,0.07306144552582604
2DSquare,N64,22,pressureVelocityCoupling,GPUExecutor,2068770.0,NeoN,Compute HbyA,0.02315129279716933
2DSquare,N64,23,pressureVelocityCoupling,GPUExecutor,395.624,NeoN,constrainHbyA,121.0611590803389
3DCube,N16,0,pressureVelocityCoupling,CPU,10009.5,OpenFOAM,Compute rAU,6.333852839802188
3DCube,N16,1,pressureVelocityCoupling,CPU,64741.9,OpenFOAM,Compute HbyA,0.9792530030783773
3DCube,N16,2,pressureVelocityCoupling,OpenFOAM,63398.7,OpenFOAM,constrainHbyA,1.0
3DCube,N16,3,pressureVelocityCoupling,SerialExecutor,22936.7,NeoN,Compute rAU,2.7640724254142923
3DCube,N16,4,pressureVelocityCoupling,SerialExecutor,108460.0,NeoN,Compute HbyA,0.5845353125576249
3DCube,N16,5,pressureVelocityCoupling,SerialExecutor,254.799,NeoN,constrainHbyA,248.81848044929532
3DCube,N16,6,pressureVelocityCoupling,CPUExecutor,23536.3,NeoN,Compute rAU,2.6936561821526745
3DCube,N16,7,pressureVelocityCoupling,CPUExecutor,111034.0,NeoN,Compute HbyA,0.570984563286921
3DCube,N16,8,pressureVelocityCoupling,CPUExecutor,553.379,NeoN,constrainHbyA,114.56650866765814
3DCube,N16,9,pressureVelocityCoupling,GPUExecutor,696479.0,NeoN,Compute rAU,0.0910274394489999
3DCube,N16,10,pressureVelocityCoupling,GPUExecutor,2119340.0,NeoN,Compute HbyA,0.029914360130984172
3DCube,N16,11,pressureVelocityCoupling,GPUExecutor,22982.9,NeoN,constrainHbyA,2.7585161141544363
3DCube,N64,36,pressureVelocityCoupling,CPU,711579.0,OpenFOAM,Compute rAU,10.05399259955676
3DCube,N64,37,pressureVelocityCoupling,CPU,5975400.0,OpenFOAM,Compute HbyA,1.197277169729223
3DCube,N64,38,pressureVelocityCoupling,OpenFOAM,7154210.0,OpenFOAM,constrainHbyA,1.0
3DCube,N64,39,pressureVelocityCoupling,SerialExecutor,1162380.0,NeoN,Compute rAU,6.154794473408008
3DCube,N64,40,pressureVelocityCoupling,SerialExecutor,5141960.0,NeoN,Compute HbyA,1.3913391002652684
3DCube,N64,41,pressureVelocityCoupling,SerialExecutor,7035.6,NeoN,constrainHbyA,1016.8585479561089
3DCube,N64,42,pressureVelocityCoupling,CPUExecutor,1259750.0,NeoN,Compute rAU,5.679071244294503
3DCube,N64,43,pressureVelocityCoupling,CPUExecutor,5434330.0,NeoN,Compute HbyA,1.316484276810573
3DCube,N64,44,pressureVelocityCoupling,CPUExecutor,8700.99,NeoN,constrainHbyA,822.2294244677905
3DCube,N64,45,pressureVelocityCoupling,GPUExecutor,812376.0,NeoN,Compute rAU,8.806525549745437
3DCube,N64,46,pressureVelocityCoupling,GPUExecutor,3097810.0,NeoN,Compute HbyA,2.3094411858700177
3DCube,N64,47,pressureVelocityCoupling,GPUExecutor,28546.4,NeoN,constrainHbyA,250.61689039598687
