MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N512,16,scalarAdvection,OpenFOAM,4748810.0,OpenFOAM,explicit-time-integration,1.0
2DSquare,N512,17,scalarAdvection,OpenFOAM,7141310.0,OpenFOAM,implicit-time-integration,0.6649774341122288
2DSquare,N512,18,scalarAdvection,SerialExecutor,1383270.0,NeoN,explicit-time-integration,3.433031873748437
2DSquare,N512,19,scalarAdvection,SerialExecutor,14944600.0,NeoN,implicit-time-integration,0.31776093036949804
2DSquare,N512,20,scalarAdvection,CPUExecutor,1510210.0,NeoN,explicit-time-integration,3.1444699743744247
2DSquare,N512,21,scalarAdvection,CPUExecutor,15428000.0,NeoN,implicit-time-integration,0.3078046409126264
2DSquare,N512,22,scalarAdvection,GPUExecutor,415965.0,NeoN,explicit-time-integration,11.416369165674997
2DSquare,N512,23,scalarAdvection,GPUExecutor,1360210.0,NeoN,implicit-time-integration,3.4912329713794192
2DSquare,N64,8,scalarAdvection,OpenFOAM,49446.1,OpenFOAM,explicit-time-integration,1.0
2DSquare,N64,9,scalarAdvection,OpenFOAM,54951.8,OpenFOAM,implicit-time-integration,0.8998085595012355
2DSquare,N64,10,scalarAdvection,SerialExecutor,23578.8,NeoN,explicit-time-integration,2.0970575262523963
2DSquare,N64,11,scalarAdvection,SerialExecutor,246012.0,NeoN,implicit-time-integration,0.20099060208445116
2DSquare,N64,12,scalarAdvection,CPUExecutor,24872.6,NeoN,explicit-time-integration,1.9879747191688848
2DSquare,N64,13,scalarAdvection,CPUExecutor,254417.0,NeoN,implicit-time-integration,0.19435061336310072
2DSquare,N64,14,scalarAdvection,GPUExecutor,276995.0,NeoN,explicit-time-integration,0.17850899835737108
2DSquare,N64,15,scalarAdvection,GPUExecutor,907289.0,NeoN,implicit-time-integration,0.054498731936571475
3DCube,N16,0,scalarAdvection,OpenFOAM,67668.8,OpenFOAM,explicit-time-integration,1.0
3DCube,N16,1,scalarAdvection,OpenFOAM,77699.0,OpenFOAM,implicit-time-integration,0.8709095355152576
3DCube,N16,2,scalarAdvection,SerialExecutor,25222.9,NeoN,explicit-time-integration,2.6828318710378265
3DCube,N16,3,scalarAdvection,SerialExecutor,366237.0,NeoN,implicit-time-integration,0.18476778697946958
3DCube,N16,4,scalarAdvection,CPUExecutor,26479.8,NeoN,explicit-time-integration,2.5554875792113236
3DCube,N16,5,scalarAdvection,CPUExecutor,384858.0,NeoN,implicit-time-integration,0.17582796771796352
3DCube,N16,6,scalarAdvection,GPUExecutor,278982.0,NeoN,explicit-time-integration,0.24255615057602284
3DCube,N16,7,scalarAdvection,GPUExecutor,974553.0,NeoN,implicit-time-integration,0.0694357310479779
3DCube,N64,24,scalarAdvection,OpenFOAM,7075020.0,OpenFOAM,explicit-time-integration,1.0
3DCube,N64,25,scalarAdvection,OpenFOAM,10274300.0,OpenFOAM,implicit-time-integration,0.6886133361883535
3DCube,N64,26,scalarAdvection,SerialExecutor,1707510.0,NeoN,explicit-time-integration,4.143472073369995
3DCube,N64,27,scalarAdvection,SerialExecutor,22619100.0,NeoN,implicit-time-integration,0.312789633539796
3DCube,N64,28,scalarAdvection,CPUExecutor,1760140.0,NeoN,explicit-time-integration,4.019577988114582
3DCube,N64,29,scalarAdvection,CPUExecutor,23103000.0,NeoN,implicit-time-integration,0.30623815088949485
3DCube,N64,30,scalarAdvection,GPUExecutor,418550.0,NeoN,explicit-time-integration,16.9036435312388
3DCube,N64,31,scalarAdvection,GPUExecutor,1565460.0,NeoN,implicit-time-integration,4.5194511517381475
