MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N512,70,FaceNormalGradient,OpenFOAM,645390.0,OpenFOAM,with Allocation,1.0
2DSquare,N512,71,FaceNormalGradient,SerialExecutor,930803.0,NeoN,with Allocation,0.6933690587589425
2DSquare,N512,72,FaceNormalGradient,SerialExecutor,644264.0,NeoN,No allocation,1.0017477307439187
2DSquare,N512,73,FaceNormalGradient,GPUExecutor,789400.0,NeoN,with Allocation,0.8175703065619457
2DSquare,N512,74,FaceNormalGradient,GPUExecutor,38295.1,NeoN,No allocation,16.85306997500986
2DSquare,N64,45,FaceNormalGradient,OpenFOAM,5713.21,OpenFOAM,with Allocation,1.0
2DSquare,N64,46,FaceNormalGradient,SerialExecutor,20425.3,NeoN,with Allocation,0.2797124154847175
2DSquare,N64,47,FaceNormalGradient,SerialExecutor,4673.76,NeoN,No allocation,1.2224012358358152
2DSquare,N64,48,FaceNormalGradient,GPUExecutor,667399.0,NeoN,with Allocation,0.008560411388090184
2DSquare,N64,49,FaceNormalGradient,GPUExecutor,24250.2,NeoN,No allocation,0.23559434561364442
3DCube,N16,20,FaceNormalGradient,OpenFOAM,8293.85,OpenFOAM,with Allocation,1.0
3DCube,N16,21,FaceNormalGradient,SerialExecutor,24377.6,NeoN,with Allocation,0.3402242222368076
3DCube,N16,22,FaceNormalGradient,SerialExecutor,7186.97,NeoN,No allocation,1.154012052366992
3DCube,N16,23,FaceNormalGradient,GPUExecutor,684584.0,NeoN,with Allocation,0.012115167751510407
3DCube,N16,24,FaceNormalGradient,GPUExecutor,24974.2,NeoN,No allocation,0.3320967238189812
3DCube,N64,95,FaceNormalGradient,OpenFOAM,765806.0,OpenFOAM,with Allocation,1.0
3DCube,N64,96,FaceNormalGradient,SerialExecutor,1208020.0,NeoN,with Allocation,0.6339348686280029
3DCube,N64,97,FaceNormalGradient,SerialExecutor,802549.0,NeoN,No allocation,0.9542171256832916
3DCube,N64,98,FaceNormalGradient,GPUExecutor,801502.0,NeoN,with Allocation,0.9554636170589718
3DCube,N64,99,FaceNormalGradient,GPUExecutor,44506.8,NeoN,No allocation,17.206494288513216
