MeshType,Resolution,level_2,test_case,benchmark_name,avg_runtime,section1,section2,normalized_speedup
2DSquare,N512,12,momentum,OpenFOAM,10285600.0,OpenFOAM,without RHS,1.0
2DSquare,N512,13,momentum,OpenFOAM,16579700.0,OpenFOAM,with RHS,0.6203731068716563
2DSquare,N512,14,momentum,SerialExecutor,39071500.0,NeoN,without RHS,0.26325070703709863
2DSquare,N512,15,momentum,SerialExecutor,70817800.0,NeoN,with RHS,0.1452403209362618
2DSquare,N512,16,momentum,GPUExecutor,3985500.0,NeoN,without RHS,2.580755237736796
2DSquare,N512,17,momentum,GPUExecutor,6622910.0,NeoN,with RHS,1.5530333342896099
2DSquare,N64,6,momentum,OpenFOAM,77891.3,OpenFOAM,without RHS,1.0
2DSquare,N64,7,momentum,OpenFOAM,124824.0,OpenFOAM,with RHS,0.6240090046785874
2DSquare,N64,8,momentum,SerialExecutor,557709.0,NeoN,without RHS,0.1396629783632683
2DSquare,N64,9,momentum,SerialExecutor,1006700.0,NeoN,with RHS,0.07737290155955101
2DSquare,N64,10,momentum,GPUExecutor,2254960.0,NeoN,without RHS,0.03454220917444212
2DSquare,N64,11,momentum,GPUExecutor,3491940.0,NeoN,with RHS,0.022306024731238223
3DCube,N16,0,momentum,OpenFOAM,121822.0,OpenFOAM,without RHS,1.0
3DCube,N16,1,momentum,OpenFOAM,206356.0,OpenFOAM,with RHS,0.5903487177499079
3DCube,N16,2,momentum,SerialExecutor,853012.0,NeoN,without RHS,0.1428139346222562
3DCube,N16,3,momentum,SerialExecutor,1553100.0,NeoN,with RHS,0.0784379627841092
3DCube,N16,4,momentum,GPUExecutor,2339840.0,NeoN,without RHS,0.05206424370897155
3DCube,N16,5,momentum,GPUExecutor,3577930.0,NeoN,with RHS,0.03404817869550271
3DCube,N64,18,momentum,OpenFOAM,14346400.0,OpenFOAM,without RHS,1.0
3DCube,N64,19,momentum,OpenFOAM,21591300.0,OpenFOAM,with RHS,0.6644528120122457
3DCube,N64,20,momentum,SerialExecutor,65220000.0,NeoN,without RHS,0.21996933455995094
3DCube,N64,21,momentum,SerialExecutor,117609000.0,NeoN,with RHS,0.1219838617792856
3DCube,N64,22,momentum,GPUExecutor,5145670.0,NeoN,without RHS,2.788052867750944
3DCube,N64,23,momentum,GPUExecutor,8350330.0,NeoN,with RHS,1.7180638369980588
